timestamp,station_id,hour,day_of_week,is_weekend,is_peak_hour,passenger_count,traffic_index,weather_condition,signal_issue,delay_minutes,delay_risk
2026-01-01 08:00:00,ST-001,8,0,0,1,1850,0.85,Rain,0,12,Orange
2026-01-01 09:00:00,ST-001,9,0,0,1,1920,0.90,Rain,1,25,Red
2026-01-01 10:00:00,ST-001,10,0,0,0,1400,0.60,Clear,0,4,Green
2026-01-01 08:00:00,ST-002,8,0,0,1,1600,0.75,Clear,0,2,Green
2026-01-01 18:00:00,ST-002,18,0,0,1,1750,0.88,Fog,0,15,Orange
2026-01-02 08:30:00,ST-003,8,1,0,1,1500,0.82,Clear,0,8,Yellow
2026-01-02 17:30:00,ST-003,17,1,0,1,1650,0.92,Rain,1,30,Red
2026-01-02 19:00:00,ST-004,19,1,0,1,1800,0.80,Clear,0,6,Yellow
2026-01-03 14:00:00,ST-005,14,2,0,0,850,0.40,Clear,0,0,Green
2026-01-03 18:30:00,ST-005,18,2,0,1,1350,0.78,Fog,0,9,Yellow
2026-01-04 09:00:00,ST-006,9,3,0,1,1200,0.70,Clear,0,3,Green
2026-01-04 18:00:00,ST-008,18,3,0,1,1380,0.84,Rain,0,14,Orange
2026-01-05 08:00:00,ST-009,8,4,0,1,1150,0.68,Clear,0,1,Green
2026-01-05 17:30:00,ST-018,17,4,0,1,1280,0.79,Fog,1,18,Orange
2026-01-06 11:00:00,ST-017,11,5,1,0,620,0.30,Clear,0,0,Green
2026-01-06 16:00:00,ST-001,16,5,1,0,1100,0.50,Clear,0,2,Green
2026-01-07 12:00:00,ST-004,12,6,1,0,900,0.42,Clear,0,0,Green
2026-01-07 18:00:00,ST-003,18,6,1,1,1300,0.72,Rain,0,10,Yellow
