date,day,hour,station,line,footfall_count,direction,is_peak_hour,is_holiday,weather
2026-01-03,Saturday,9,Rohini Sector 18,Yellow Line,363,Up,1,0,Cloudy
2026-01-12,Monday,21,Sector 28,Violet Line,72,Down,0,0,Foggy
2026-01-16,Friday,7,Qutab Minar,Yellow Line,338,Down,0,0,Foggy
2026-02-16,Monday,9,Uttam Nagar East,Blue Line,454,Up,1,0,Clear
2026-02-14,Saturday,12,Jahangirpuri,Yellow Line,240,Up,0,0,Foggy
2026-01-18,Sunday,18,Janakpuri West,Blue Line,153,Up,1,1,Clear
2026-02-04,Wednesday,5,Dilshad Garden,Red Line,232,Down,0,0,Clear
2026-02-23,Monday,14,Paschim Vihar East,Green Line,61,Up,0,0,Foggy
2026-02-20,Friday,19,Jama Masjid,Violet Line,458,Up,1,0,Rainy
2026-01-04,Sunday,13,Maharaja Surajmal Stadium,Green Line,98,Up,0,1,Cloudy
2026-01-10,Saturday,18,Khan Market,Violet Line,372,Down,1,0,Foggy
2026-02-18,Wednesday,15,Mohan Estate,Violet Line,42,Down,0,0,Clear
2026-02-11,Wednesday,9,Adarsh Nagar,Yellow Line,470,Up,1,0,Rainy
2026-01-10,Saturday,23,Pratap Nagar,Red Line,68,Down,0,0,Foggy
2026-01-31,Saturday,9,Green Park,Yellow Line,354,Up,1,0,Rainy
2026-02-27,Friday,11,Adarsh Nagar,Yellow Line,194,Down,0,0,Foggy
2026-02-11,Wednesday,9,Kirti Nagar,Blue Line,438,Down,1,0,Smoggy
2026-01-12,Monday,23,New Delhi,Yellow Line,197,Down,0,0,Cloudy
2026-01-10,Saturday,21,Peeragarhi,Green Line,53,Up,0,0,Cloudy
2026-01-14,Wednesday,5,Dilshad Garden,Red Line,132,Up,0,0,Smoggy
2026-01-13,Tuesday,6,Old Faridabad,Violet Line,117,Down,0,0,Foggy
2026-02-10,Tuesday,23,Punjabi Bagh,Green Line,74,Up,0,0,Clear
2026-01-09,Friday,22,Lajpat Nagar,Violet Line,131,Up,0,0,Clear
2026-01-06,Tuesday,5,Dilshad Garden,Red Line,149,Up,0,0,Clear
2026-01-18,Sunday,10,Maharaja Surajmal Stadium,Green Line,94,Down,1,1,Foggy
2026-01-23,Friday,5,Welcome,Red Line,69,Up,0,0,Rainy
2026-01-10,Saturday,6,Moti Nagar,Blue Line,111,Down,0,0,Clear
2026-02-11,Wednesday,8,Sarita Vihar,Violet Line,420,Up,1,0,Foggy
2026-02-07,Saturday,12,Vidhan Sabha,Yellow Line,218,Down,0,0,Foggy
2026-02-10,Tuesday,23,INA,Yellow Line,74,Down,0,0,Clear
2026-01-21,Wednesday,22,Jasola Apollo,Violet Line,141,Down,0,0,Foggy
2026-02-16,Monday,23,New Delhi,Yellow Line,262,Down,0,0,Foggy
2026-01-12,Monday,13,Seelampur,Red Line,188,Down,0,0,Foggy
2026-01-15,Thursday,10,Satguru Ram Singh Marg,Green Line,512,Down,1,0,Smoggy
2026-02-24,Tuesday,17,Escorts Mujesar,Violet Line,538,Up,1,0,Foggy
2026-02-15,Sunday,18,Janakpuri West,Blue Line,183,Up,1,1,Clear
2026-01-08,Thursday,21,Ramesh Nagar,Blue Line,58,Down,0,0,Foggy
2026-01-17,Saturday,11,Old Faridabad,Violet Line,248,Down,0,0,Clear
2026-01-11,Sunday,7,Chawri Bazar,Yellow Line,107,Down,0,1,Foggy
2026-01-05,Monday,21,Sultanpur,Yellow Line,71,Down,0,0,Foggy
2026-02-23,Monday,18,Hauz Khas,Yellow Line,953,Down,1,0,Clear
2026-01-23,Friday,15,Chawri Bazar,Yellow Line,83,Down,0,0,Foggy
2026-02-04,Wednesday,12,Govindpuri,Violet Line,205,Up,0,0,Foggy
2026-02-15,Sunday,10,GTB Nagar,Yellow Line,97,Down,1,1,Foggy
2026-02-03,Tuesday,22,Model Town,Yellow Line,146,Down,0,0,Foggy
2026-02-27,Friday,6,Yamuna Bank,Blue Line,260,Down,0,0,Cloudy
2026-01-16,Friday,9,Chandni Chowk,Yellow Line,2212,Down,1,0,Clear
2026-01-15,Thursday,13,Civil Lines,Yellow Line,432,Down,0,0,Foggy
2026-02-24,Tuesday,21,Janpath,Violet Line,67,Up,0,0,Clear
2026-02-26,Thursday,12,Paschim Vihar East,Green Line,116,Up,0,1,Clear
2026-01-19,Monday,13,Barakhamba Road,Blue Line,309,Up,0,0,Cloudy
2026-02-23,Monday,6,Dwarka,Blue Line,57,Up,0,0,Smoggy
2026-01-28,Wednesday,13,Madipur,Green Line,269,Down,0,0,Cloudy
2026-01-04,Sunday,9,Green Park,Yellow Line,58,Up,1,1,Foggy
2026-02-20,Friday,11,Vidhan Sabha,Yellow Line,156,Down,0,0,Rainy
2026-01-03,Saturday,19,Pragati Maidan,Blue Line,448,Down,1,0,Foggy
2026-02-10,Tuesday,10,Paschim Vihar West,Green Line,419,Down,1,0,Rainy
2026-01-05,Monday,5,Govindpuri,Violet Line,81,Up,0,0,Foggy
2026-02-01,Sunday,13,Paschim Vihar West,Green Line,92,Up,0,1,Clear
2026-02-06,Friday,7,Badarpur Border,Violet Line,239,Down,0,0,Clear
2026-01-02,Friday,17,Keshav Puram,Red Line,508,Down,1,0,Clear
2026-02-01,Sunday,8,Rajdhani Park,Green Line,59,Up,1,1,Clear
2026-01-17,Saturday,13,Welcome,Red Line,277,Up,0,0,Cloudy
2026-01-10,Saturday,10,Chhattarpur,Yellow Line,416,Down,1,0,Foggy
2026-02-10,Tuesday,10,Delhi Gate,Violet Line,537,Down,1,0,Foggy
2026-02-25,Wednesday,20,Vishwavidyalaya,Yellow Line,692,Up,0,0,Cloudy
2026-01-20,Tuesday,22,NHPC Chowk,Violet Line,46,Down,0,0,Foggy
2026-01-03,Saturday,13,Race Course,Yellow Line,230,Up,0,0,Clear
2026-01-18,Sunday,5,Bata Chowk,Violet Line,71,Up,0,1,Cloudy
2026-02-28,Saturday,5,Kalkaji Mandir,Violet Line,215,Up,0,0,Foggy
2026-02-23,Monday,6,Moolchand,Violet Line,64,Up,0,0,Foggy
2026-02-04,Wednesday,23,Ghitorni,Yellow Line,101,Down,0,0,Foggy
2026-01-20,Tuesday,14,Jangpura,Violet Line,87,Up,0,0,Cloudy
2026-02-01,Sunday,10,Barakhamba Road,Blue Line,84,Up,1,1,Cloudy
2026-01-22,Thursday,7,ITO,Violet Line,276,Down,0,0,Clear
2026-02-12,Thursday,21,Jangpura,Violet Line,74,Down,0,0,Cloudy
2026-01-29,Thursday,5,Paschim Vihar East,Green Line,69,Up,0,0,Cloudy
2026-02-23,Monday,14,GTB Nagar,Yellow Line,65,Down,0,0,Clear
2026-02-25,Wednesday,16,NHPC Chowk,Violet Line,292,Down,0,0,Clear
2026-02-27,Friday,12,Shastri Nagar,Red Line,298,Down,0,0,Cloudy
2026-01-07,Wednesday,15,Tis Hazari,Red Line,42,Up,0,0,Cloudy
2026-01-10,Saturday,9,Nangloi Railway Station,Green Line,278,Down,1,0,Cloudy
2026-01-05,Monday,23,Sikanderpur,Yellow Line,231,Down,0,0,Clear
2026-02-18,Wednesday,19,Guru Dronacharya,Yellow Line,419,Down,1,0,Cloudy
2026-01-11,Sunday,17,Janakpuri West,Blue Line,197,Down,1,1,Clear
2026-02-16,Monday,11,Badarpur Border,Violet Line,295,Up,0,0,Smoggy
2026-01-14,Wednesday,5,Chhattarpur,Yellow Line,74,Down,0,0,Foggy
2026-02-18,Wednesday,20,MG Road,Yellow Line,216,Down,0,0,Clear
2026-02-02,Monday,11,Sikanderpur,Yellow Line,572,Up,0,0,Cloudy
2026-01-25,Sunday,19,Rohini East,Red Line,112,Down,1,1,Clear
2026-01-05,Monday,8,Adarsh Nagar,Yellow Line,273,Up,1,0,Smoggy
2026-01-01,Thursday,12,Rohini West,Red Line,336,Down,0,0,Foggy
2026-02-12,Thursday,15,Mundka,Green Line,92,Down,0,0,Rainy
2026-02-07,Saturday,19,Tughlakabad,Violet Line,652,Up,1,0,Clear
2026-01-26,Monday,9,INA,Yellow Line,95,Down,1,1,Foggy
2026-02-17,Tuesday,7,Govindpuri,Violet Line,205,Down,0,0,Clear
2026-01-12,Monday,11,Moti Nagar,Blue Line,328,Down,0,0,Foggy
