date,day,line,ridership_count,avg_trip_duration_min,revenue_inr,transport_type,total_trips,operational_hours,is_holiday,weather
2026-01-11,Sunday,Violet Line,18085,29.2,421821.91,Metro Rail,233,18.47211011175348,1,Foggy
2026-02-22,Sunday,Violet Line,18036,39.4,469290.31,Metro Rail,250,17.5989824737114,1,Smoggy
2026-01-26,Monday,Green Line,10630,39.6,322049.6,Metro Rail,365,18.426398571587008,1,Cloudy
2026-02-10,Tuesday,Yellow Line,81635,40.7,2570307.48,Metro Rail,366,18.022227716647382,0,Foggy
2026-01-24,Saturday,Violet Line,29769,45.0,678063.89,Metro Rail,344,18.024349338640732,0,Smoggy
2026-02-26,Thursday,Green Line,10595,29.2,214485.36,Metro Rail,211,18.92543670392807,1,Cloudy
2026-01-27,Tuesday,Yellow Line,80947,54.9,1903640.47,Metro Rail,194,18.740411437652206,0,Clear
2026-01-28,Wednesday,Green Line,31705,41.8,943186.89,Metro Rail,353,17.872578976387256,0,Clear
2026-01-10,Saturday,Violet Line,29846,37.2,877451.07,Metro Rail,307,18.761894372148895,0,Clear
2026-02-28,Saturday,Blue Line,37486,53.3,951856.95,Metro Rail,310,18.441813894850018,0,Foggy
2026-02-20,Friday,Yellow Line,80823,20.3,2383938.11,Metro Rail,187,17.681384042758772,0,Clear
2026-02-18,Wednesday,Violet Line,54109,44.2,1205936.87,Metro Rail,291,18.49838960862863,0,Clear
2026-02-20,Friday,Red Line,45316,38.5,1025434.25,Metro Rail,362,18.47134738170001,0,Foggy
2026-01-31,Saturday,Green Line,17520,44.7,433755.17,Metro Rail,231,18.773526889197633,0,Cloudy
2026-01-19,Monday,Green Line,31530,54.7,635861.68,Metro Rail,260,17.723080312917546,0,Clear
2026-01-15,Thursday,Blue Line,67711,53.4,1569900.04,Metro Rail,393,17.63313044157637,0,Clear
2026-01-30,Friday,Red Line,45010,49.2,902002.52,Metro Rail,307,18.73694152570131,0,Foggy
2026-01-06,Tuesday,Violet Line,54045,15.9,1648659.0,Metro Rail,388,17.927696738018867,0,Rainy
2026-02-07,Saturday,Red Line,25042,38.8,686720.55,Metro Rail,372,18.888976550214778,0,Clear
2026-02-23,Monday,Violet Line,53564,43.8,1069262.85,Metro Rail,197,17.55930635509756,0,Foggy
2026-02-28,Saturday,Green Line,17686,42.7,552695.43,Metro Rail,303,17.51622242877752,0,Rainy
2026-01-11,Sunday,Yellow Line,26742,26.3,797116.51,Metro Rail,359,18.197647106959742,1,Clear
2026-01-07,Wednesday,Violet Line,54037,44.2,1013625.31,Metro Rail,332,18.704739463014135,0,Clear
2026-02-02,Monday,Yellow Line,80676,38.4,2397440.36,Metro Rail,337,17.752776999182622,0,Smoggy
2026-01-19,Monday,Violet Line,54042,16.4,1031810.77,Metro Rail,306,18.257789250312587,0,Cloudy
2026-01-19,Monday,Blue Line,67611,20.1,1642409.11,Metro Rail,312,18.7777148849353,0,Clear
2026-01-31,Saturday,Green Line,17801,15.5,439298.3,Metro Rail,248,17.60808286061036,0,Rainy
2026-01-29,Thursday,Red Line,44673,52.3,1235189.92,Metro Rail,161,18.947411454252663,0,Foggy
2026-02-16,Monday,Blue Line,67461,19.7,2001497.64,Metro Rail,386,18.42809143324485,0,Clear
2026-02-26,Thursday,Green Line,10360,25.9,271344.94,Metro Rail,341,18.39764722437992,1,Clear
2026-01-09,Friday,Blue Line,67537,54.4,1470232.72,Metro Rail,340,18.947214611360906,0,Clear
2026-02-24,Tuesday,Violet Line,53770,53.8,1054070.98,Metro Rail,219,18.740799502037667,0,Clear
2026-02-16,Monday,Violet Line,53818,52.0,1042079.41,Metro Rail,340,17.838038829597995,0,Foggy
2026-01-07,Wednesday,Violet Line,53745,42.2,1007074.22,Metro Rail,215,18.722432614620676,0,Clear
2026-01-25,Sunday,Blue Line,22188,35.8,416010.67,Metro Rail,309,18.710000752158933,1,Clear
