timestamp,sensor_id,station,line,sensor_type,value,unit,status,alert_flag,maintenance_required,last_calibration_date,weather
2026-01-18 17:32:36,SEN-ARJ-VIB-0001,Arjan Garh,Yellow Line,Vibration,13.56,mm/s,Alert,1,1,2026-01-16,Cloudy
2026-02-26 12:04:15,SEN-YAM-CO2-0002,Yamuna Bank,Blue Line,CO2_Level,1605.97,ppm,Alert,1,0,2025-11-30,Smoggy
2026-02-10 08:46:40,SEN-BAT-CO2-0003,Bata Chowk,Violet Line,CO2_Level,514.12,ppm,Normal,0,0,2026-01-07,Clear
2026-01-29 17:17:35,SEN-RAJ-CO2-0004,Rajendra Place,Blue Line,CO2_Level,414.52,ppm,Normal,0,0,2025-11-06,Clear
2026-02-04 12:25:00,SEN-MG -TEM-0005,MG Road,Yellow Line,Temperature,30.34,°C,Normal,0,0,2026-01-07,Foggy
2026-01-24 22:31:53,SEN-MOD-CO2-0006,Model Town,Yellow Line,CO2_Level,1242.57,ppm,Normal,0,0,2025-10-31,Clear
2026-01-11 08:42:02,SEN-PAT-AIR-0007,Patel Chowk,Yellow Line,Air_Quality_Index,220.9,AQI,Normal,0,0,2025-11-14,Clear
2026-01-22 22:46:08,SEN-KAR-PLA-0008,Karol Bagh,Blue Line,Platform_Weight,26650.07,kg,Normal,0,0,2026-01-02,Rainy
2026-01-04 08:07:58,SEN-JLN-PLA-0009,JLN Stadium,Violet Line,Platform_Weight,28025.99,kg,Normal,0,0,2025-11-01,Foggy
2026-01-11 18:31:59,SEN-DWA-POW-0010,Dwarka Sector 8,Blue Line,Power_Consumption,71.81,kW,Normal,0,0,2025-10-25,Foggy
2026-02-25 19:11:47,SEN-NEH-PLA-0011,Nehru Place,Violet Line,Platform_Weight,40566.11,kg,Alert,1,0,2025-12-31,Foggy
2026-02-06 17:26:52,SEN-MAD-HUM-0012,Madipur,Green Line,Humidity,74.36,%,Normal,0,0,2026-01-10,Foggy
2026-01-14 06:41:16,SEN-DWA-HUM-0013,Dwarka Sector 21,Blue Line,Humidity,38.57,%,Warning,0,0,2025-12-14,Smoggy
2026-01-02 14:57:41,SEN-CHA-POW-0014,Chawri Bazar,Yellow Line,Power_Consumption,218.79,kW,Normal,0,0,2025-11-01,Foggy
2026-02-01 21:09:10,SEN-BAD-DOO-0015,Badarpur Border,Violet Line,Door_Cycle_Count,37.1,cycles,Normal,0,0,2025-11-18,Clear
2026-02-07 09:50:05,SEN-PRA-DOO-0016,Pragati Maidan,Blue Line,Door_Cycle_Count,486.36,cycles,Alert,1,1,2025-11-23,Foggy
2026-02-02 21:04:15,SEN-MAH-DOO-0017,Maharaja Surajmal Stadium,Green Line,Door_Cycle_Count,112.54,cycles,Normal,0,0,2026-01-29,Foggy
2026-01-29 23:01:38,SEN-NAN-NOI-0018,Nangloi Railway Station,Green Line,Noise_Level,47.04,dB,Normal,0,0,2025-11-10,Foggy
2026-01-29 09:14:00,SEN-MAH-BRA-0019,Maharaja Surajmal Stadium,Green Line,Brake_Pressure,6.57,bar,Normal,0,0,2025-12-19,Foggy
2026-01-14 06:12:26,SEN-INA-TEM-0020,INA,Yellow Line,Temperature,16.38,°C,Normal,0,0,2025-12-04,Foggy
2026-01-30 07:49:03,SEN-CIV-HUM-0021,Civil Lines,Yellow Line,Humidity,59.88,%,Normal,0,0,2026-01-22,Clear
2026-01-04 14:54:37,SEN-LAL-POW-0022,Lal Quila,Violet Line,Power_Consumption,502.92,kW,Normal,0,0,2025-10-20,Foggy
2026-01-08 05:51:15,SEN-ROH-TEM-0023,Rohini West,Red Line,Temperature,31.02,°C,Normal,0,0,2025-12-31,Clear
2026-02-02 16:48:05,SEN-SHA-VIB-0024,Shastri Park,Red Line,Vibration,3.28,mm/s,Normal,0,0,2025-12-17,Cloudy
2026-01-28 09:19:02,SEN-GUR-VIB-0025,Guru Dronacharya,Yellow Line,Vibration,8.61,mm/s,Normal,0,0,2026-01-23,Clear
2026-02-17 15:11:37,SEN-ARJ-PLA-0026,Arjan Garh,Yellow Line,Platform_Weight,28085.26,kg,Normal,0,0,2025-11-21,Clear
