date,time,day,station,line,entry_count,exit_count,net_flow,gate_id,is_peak_hour,is_holiday,weather
2026-01-31,18:15,Saturday,Netaji Subhash Place,Red Line,79,98,-19,G-01,1,0,Clear
2026-01-20,07:00,Tuesday,Rajiv Chowk,Blue Line,411,411,0,G-05,0,0,Rainy
2026-01-14,08:15,Wednesday,Noida Sector 15,Blue Line,197,150,47,G-04,1,0,Foggy
2026-02-10,15:15,Tuesday,Badkhal Mor,Violet Line,18,26,-8,G-05,0,0,Foggy
2026-01-05,13:30,Monday,Udyog Bhawan,Yellow Line,56,58,-2,G-05,0,0,Rainy
2026-01-05,07:30,Monday,Dilshad Garden,Red Line,264,291,-27,G-05,0,0,Foggy
2026-02-25,18:30,Wednesday,Paschim Vihar East,Green Line,258,317,-59,G-01,1,0,Clear
2026-02-04,05:45,Wednesday,Tis Hazari,Red Line,47,40,7,G-02,0,0,Clear
2026-02-04,16:15,Wednesday,Harkesh Nagar Okhla,Violet Line,167,138,29,G-05,0,0,Rainy
2026-01-20,09:30,Tuesday,Dilshad Garden,Red Line,407,466,-59,G-07,1,0,Cloudy
2026-02-28,20:15,Saturday,Chawri Bazar,Yellow Line,79,82,-3,G-06,0,0,Smoggy
2026-01-20,06:15,Tuesday,Dilshad Garden,Red Line,110,109,1,G-04,0,0,Cloudy
2026-01-19,10:00,Monday,Dwarka Sector 8,Blue Line,284,205,79,G-05,1,0,Foggy
2026-01-17,12:30,Saturday,Vishwavidyalaya,Yellow Line,239,210,29,G-03,0,0,Smoggy
2026-01-20,13:30,Tuesday,Jangpura,Violet Line,91,82,9,G-04,0,0,Cloudy
2026-01-17,17:30,Saturday,Shastri Nagar,Red Line,284,266,18,G-07,1,0,Foggy
2026-01-22,23:00,Thursday,Race Course,Yellow Line,39,33,6,G-02,0,0,Cloudy
2026-02-16,05:30,Monday,Khan Market,Violet Line,15,18,-3,G-07,0,0,Foggy
2026-01-09,13:00,Friday,Ashok Park Main,Green Line,131,121,10,G-05,0,0,Rainy
2026-02-28,20:15,Saturday,Rohini East,Red Line,103,95,8,G-05,0,0,Clear
2026-01-10,18:30,Saturday,IFFCO Chowk,Yellow Line,163,179,-16,G-06,1,0,Foggy
2026-01-23,23:45,Friday,Samaypur Badli,Yellow Line,25,23,2,G-06,0,0,Smoggy
2026-02-15,21:15,Sunday,Nangloi,Green Line,32,34,-2,G-03,0,1,Rainy
2026-01-19,15:30,Monday,Jahangirpuri,Yellow Line,24,22,2,G-03,0,0,Foggy
2026-01-16,18:30,Friday,Green Park,Yellow Line,213,185,28,G-06,1,0,Foggy
2026-01-10,05:30,Saturday,Azadpur,Yellow Line,78,78,0,G-01,0,0,Foggy
2026-01-12,20:45,Monday,NHPC Chowk,Violet Line,103,88,15,G-03,0,0,Rainy
2026-02-20,21:45,Friday,Rajdhani Park,Green Line,18,20,-2,G-05,0,0,Foggy
2026-02-16,11:15,Monday,Harkesh Nagar Okhla,Violet Line,87,72,15,G-06,0,0,Foggy
2026-01-19,18:00,Monday,Samaypur Badli,Yellow Line,108,96,12,G-01,1,0,Foggy
2026-02-09,22:00,Monday,Mohan Estate,Violet Line,45,44,1,G-03,0,0,Foggy
2026-01-16,15:45,Friday,Welcome,Red Line,60,59,1,G-07,0,0,Smoggy
2026-01-25,13:00,Sunday,Pragati Maidan,Blue Line,43,40,3,G-07,0,1,Foggy
2026-02-08,18:45,Sunday,Rajendra Place,Blue Line,26,28,-2,G-04,1,1,Foggy
2026-01-03,11:00,Saturday,Shivaji Park,Green Line,116,83,33,G-07,0,0,Clear
2026-01-30,23:30,Friday,Janakpuri West,Blue Line,124,92,32,G-02,0,0,Foggy
2026-01-10,17:15,Saturday,Moolchand,Violet Line,177,159,18,G-02,1,0,Cloudy
2026-01-19,14:45,Monday,Rohini West,Red Line,64,61,3,G-05,0,0,Foggy
2026-02-19,21:30,Thursday,Badarpur Border,Violet Line,49,46,3,G-03,0,0,Smoggy
2026-02-24,09:00,Tuesday,IFFCO Chowk,Yellow Line,135,160,-25,G-07,1,0,Smoggy
2026-01-21,17:15,Wednesday,Khan Market,Violet Line,220,162,58,G-07,1,0,Cloudy
2026-02-25,06:15,Wednesday,Sarai,Violet Line,80,76,4,G-02,0,0,Cloudy
2026-02-20,14:00,Friday,Rajouri Garden,Blue Line,69,56,13,G-02,0,0,Cloudy
2026-01-03,21:00,Saturday,Dwarka Sector 21,Blue Line,104,102,2,G-02,0,0,Smoggy
2026-02-15,23:15,Sunday,Dwarka Sector 21,Blue Line,72,53,19,G-02,0,1,Cloudy
2026-02-06,22:00,Friday,GTB Nagar,Yellow Line,19,16,3,G-01,0,0,Smoggy
2026-02-16,20:45,Monday,Civil Lines,Yellow Line,149,149,0,G-07,0,0,Foggy
2026-01-19,18:45,Monday,Hauz Khas,Yellow Line,1028,1028,0,G-04,1,0,Clear
2026-02-15,21:00,Sunday,Uttam Nagar East,Blue Line,35,41,-6,G-07,0,1,Foggy
2026-01-20,15:45,Tuesday,Yamuna Bank,Blue Line,76,75,1,G-01,0,0,Clear
2026-01-21,12:00,Wednesday,Sarai,Violet Line,87,88,-1,G-05,0,0,Cloudy
