date,day,line,total_trips,total_passengers,avg_speed_kmph,distance_km,energy_consumption_kwh,on_time_percent,revenue_inr,operational_cost_inr,is_holiday,weather
2026-01-01,Thursday,Blue Line,362,141180,39.4,56.6,70737.34,86.0,3602328.24,3478435.36,0,Rainy
2026-01-16,Friday,Green Line,153,30600,42.8,29.6,30365.64,77.8,597531.15,1258340.56,0,Cloudy
2026-02-25,Wednesday,Blue Line,134,58558,43.1,56.6,25835.71,79.7,1409497.61,749861.67,0,Foggy
2026-01-18,Sunday,Yellow Line,85,37740,33.5,49.3,20766.11,80.4,800686.86,439892.98,1,Cloudy
2026-02-04,Wednesday,Red Line,260,99320,43.8,25.1,50790.39,89.4,1889439.49,2895981.3,0,Cloudy
2026-01-22,Thursday,Violet Line,280,92960,42.0,46.6,65687.89,91.9,2499424.33,2663504.96,0,Foggy
2026-02-16,Monday,Red Line,167,68637,44.2,25.1,36908.78,96.6,1281400.26,1818906.77,0,Cloudy
2026-01-01,Thursday,Violet Line,136,45696,32.2,46.6,32541.29,85.6,1157479.34,1139160.79,0,Foggy
2026-02-10,Tuesday,Yellow Line,264,71280,33.5,49.3,58928.11,94.2,1724718.39,1686385.12,0,Smoggy
2026-02-07,Saturday,Violet Line,358,116708,44.3,46.6,61065.88,91.6,2745515.83,3826818.41,0,Foggy
2026-02-10,Tuesday,Yellow Line,270,120150,41.1,49.3,54567.63,77.8,3351820.19,1890765.92,0,Clear
2026-02-25,Wednesday,Violet Line,269,101951,30.2,46.6,48806.3,86.3,1874641.46,3086988.54,0,Foggy
2026-02-28,Saturday,Green Line,195,76635,32.6,29.6,35162.08,97.8,1982503.04,1003119.13,0,Foggy
2026-01-19,Monday,Yellow Line,154,36806,44.3,49.3,40298.78,77.8,792510.16,1632982.08,0,Foggy
2026-01-21,Wednesday,Green Line,272,113696,35.6,29.6,67905.23,81.4,2960896.59,1816660.04,0,Rainy
2026-02-22,Sunday,Green Line,86,35002,30.1,29.6,18738.65,87.8,778493.3,721404.34,1,Foggy
2026-01-30,Friday,Violet Line,208,78624,40.5,46.6,40664.31,85.5,1422699.34,1692002.29,0,Clear
2026-01-23,Friday,Green Line,240,60000,35.1,29.6,41851.99,93.3,1604027.79,2769971.24,0,Clear
2026-01-01,Thursday,Blue Line,282,98136,30.4,56.6,65203.57,84.3,1903861.5,3028455.79,0,Foggy
2026-01-23,Friday,Violet Line,203,69020,34.8,46.6,55420.91,77.6,1676421.32,1873262.95,0,Foggy
2026-02-14,Saturday,Blue Line,259,53354,37.8,56.6,41299.9,96.6,1276967.69,2070062.11,0,Clear
2026-02-15,Sunday,Violet Line,126,39942,31.0,46.6,32116.63,76.6,824815.76,680094.54,1,Foggy
2026-02-28,Saturday,Green Line,311,81171,30.8,29.6,49626.24,78.3,1808408.57,1732045.47,0,Cloudy
2026-02-18,Wednesday,Violet Line,291,84681,39.6,46.6,61578.58,78.6,2097572.78,2070098.17,0,Foggy
2026-02-11,Wednesday,Green Line,197,41173,31.6,29.6,36995.18,90.2,896847.0,1995586.09,0,Foggy
2026-02-27,Friday,Green Line,312,92664,41.9,29.6,70456.74,80.8,2229238.01,3097810.75,0,Clear
2026-01-28,Wednesday,Yellow Line,337,130082,38.5,49.3,78475.9,84.0,3061137.82,3085293.29,0,Clear
2026-02-15,Sunday,Yellow Line,178,44322,32.4,49.3,34422.2,88.8,867849.14,2009459.27,1,Clear
2026-01-23,Friday,Green Line,263,92050,32.0,29.6,68983.38,80.3,1793623.03,3113391.65,0,Foggy
2026-02-20,Friday,Yellow Line,279,60543,41.8,49.3,63166.82,90.3,1604443.84,3143035.34,0,Rainy
2026-01-17,Saturday,Yellow Line,256,65792,34.0,49.3,44959.31,90.3,1687954.07,1526529.9,0,Foggy
2026-01-21,Wednesday,Blue Line,329,81263,41.7,56.6,78230.84,91.6,2150802.91,1695039.66,0,Smoggy
2026-01-27,Tuesday,Red Line,343,109417,35.1,25.1,70329.58,93.9,2650255.48,3611738.56,0,Foggy
2026-01-15,Thursday,Blue Line,360,159840,30.8,56.6,67556.32,79.4,3829218.42,3599824.8,0,Clear
2026-02-04,Wednesday,Red Line,122,29036,33.3,25.1,30789.68,92.4,782531.8,745084.32,0,Smoggy
2026-02-26,Thursday,Blue Line,86,31046,39.9,56.6,21657.57,85.3,817943.47,745057.49,1,Clear
2026-01-17,Saturday,Red Line,334,75150,38.4,25.1,59116.21,96.4,1431660.41,3044691.15,0,Rainy
2026-01-22,Thursday,Red Line,124,46996,42.3,25.1,29883.16,93.7,1079885.67,904079.69,0,Clear
2026-01-21,Wednesday,Yellow Line,314,65626,38.5,49.3,84442.05,76.5,1685335.41,1854845.82,0,Cloudy
2026-01-03,Saturday,Blue Line,184,41952,32.8,56.6,44145.73,87.3,837780.79,1011131.29,0,Cloudy
2026-01-07,Wednesday,Violet Line,198,84942,36.3,46.6,53509.77,97.8,1822444.85,1110075.15,0,Foggy
2026-01-05,Monday,Blue Line,367,153773,39.1,56.6,83698.68,87.6,4194024.04,2818572.21,0,Smoggy
2026-01-24,Saturday,Green Line,320,141440,44.7,29.6,55836.49,76.4,2788692.56,2110295.7,0,Cloudy
2026-01-24,Saturday,Violet Line,185,38480,33.0,46.6,46045.98,86.3,948659.73,1958694.77,0,Foggy
2026-01-06,Tuesday,Green Line,294,82908,38.9,29.6,55615.64,85.9,1629942.21,3038018.6,0,Clear
2026-01-28,Wednesday,Red Line,141,39480,44.5,25.1,26596.45,77.3,738752.52,1649847.88,0,Clear
2026-02-08,Sunday,Blue Line,94,36284,34.2,56.6,15521.06,78.6,760972.82,994383.44,1,Rainy
2026-01-07,Wednesday,Blue Line,332,91300,40.9,56.6,72985.45,81.0,2107619.04,2722683.95,0,Cloudy
2026-02-07,Saturday,Yellow Line,122,40870,41.3,49.3,20518.17,85.6,887512.0,1323416.92,0,Foggy
2026-02-20,Friday,Blue Line,261,74907,32.9,56.6,49910.68,80.5,1577412.03,1922795.56,0,Rainy
2026-01-01,Thursday,Yellow Line,283,95937,34.8,49.3,72615.74,80.2,1962689.34,1887516.11,0,Clear
2026-02-18,Wednesday,Red Line,293,107531,33.9,25.1,51855.16,84.2,2677568.48,2535091.44,0,Foggy
2026-01-05,Monday,Yellow Line,313,134277,39.1,49.3,67866.0,88.3,3389861.07,2786302.23,0,Clear
2026-01-24,Saturday,Green Line,276,110676,43.8,29.6,68394.0,78.2,2339342.97,2407374.41,0,Smoggy
2026-02-18,Wednesday,Yellow Line,347,138800,38.3,49.3,52204.7,93.9,3614317.92,2537406.37,0,Clear
2026-02-28,Saturday,Violet Line,203,83636,43.8,46.6,46359.89,75.8,2300457.76,2051245.27,0,Foggy
2026-01-26,Monday,Red Line,176,77968,30.5,25.1,49020.18,85.6,1858984.87,1047922.64,1,Foggy
2026-02-05,Thursday,Green Line,232,51504,41.4,29.6,62223.09,91.5,1018689.01,2368358.9,0,Smoggy
2026-02-01,Sunday,Green Line,152,38000,43.4,29.6,41476.81,85.7,855489.53,1105855.68,1,Clear
2026-01-29,Thursday,Yellow Line,282,68244,37.8,49.3,70396.07,83.9,1572914.73,2628342.84,0,Cloudy
2026-02-16,Monday,Blue Line,218,63656,43.0,56.6,46575.26,96.6,1321318.14,1316653.29,0,Foggy
2026-02-19,Thursday,Blue Line,318,69960,30.3,56.6,62011.23,97.9,1570501.91,1703667.51,0,Clear
