date,day,station,line,zone,daily_entries,daily_exits,total_footfall,is_interchange,is_holiday,avg_dwell_time_sec,weather
2026-01-10,Saturday,Ramesh Nagar,Blue Line,3,884,863,1747,0,0,35,Rainy
2026-01-21,Wednesday,Rohini East,Red Line,4,1879,1798,3677,0,0,20,Foggy
2026-01-14,Wednesday,Sarai,Violet Line,4,2802,2720,5522,0,0,41,Cloudy
2026-02-10,Tuesday,Punjabi Bagh,Green Line,4,2227,2195,4422,0,0,28,Cloudy
2026-01-06,Tuesday,Lal Quila,Violet Line,1,2564,2413,4977,0,0,21,Clear
2026-02-05,Thursday,HUDA City Centre,Yellow Line,3,7263,6679,13942,0,0,33,Rainy
2026-02-27,Friday,Inderlok,Red Line,1,1843,1747,3590,0,0,17,Foggy
2026-02-08,Sunday,Adarsh Nagar,Yellow Line,1,731,719,1450,0,1,35,Foggy
2026-01-24,Saturday,Sarita Vihar,Violet Line,3,1018,943,1961,0,0,23,Cloudy
2026-02-10,Tuesday,Chawri Bazar,Yellow Line,1,2541,2426,4967,0,0,16,Cloudy
2026-01-28,Wednesday,Old Faridabad,Violet Line,3,2410,2364,4774,0,0,26,Rainy
2026-02-21,Saturday,Jama Masjid,Violet Line,3,1367,1256,2623,0,0,38,Clear
2026-01-28,Wednesday,Lal Quila,Violet Line,1,3144,2927,6071,0,0,32,Clear
2026-02-22,Sunday,JLN Stadium,Violet Line,2,509,496,1005,0,1,23,Foggy
2026-01-21,Wednesday,Arjan Garh,Yellow Line,1,2190,2098,4288,0,0,37,Clear
2026-02-24,Tuesday,Noida Sector 15,Blue Line,1,3298,3017,6315,0,0,16,Clear
2026-02-08,Sunday,HUDA City Centre,Yellow Line,1,1425,1381,2806,0,1,26,Cloudy
2026-01-14,Wednesday,Pragati Maidan,Blue Line,1,2424,2368,4792,0,0,17,Foggy
2026-01-19,Monday,Keshav Puram,Red Line,2,3064,2751,5815,0,0,40,Cloudy
2026-01-16,Friday,Lal Quila,Violet Line,2,3134,3079,6213,0,0,28,Foggy
2026-01-31,Saturday,Kalkaji Mandir,Violet Line,4,1375,1383,2758,0,0,19,Cloudy
2026-01-13,Tuesday,Model Town,Yellow Line,1,1631,1472,3103,0,0,30,Smoggy
2026-01-09,Friday,Delhi Gate,Violet Line,4,3134,2933,6067,0,0,44,Cloudy
2026-01-26,Monday,Pitampura,Red Line,1,447,428,875,0,1,38,Clear
2026-02-26,Thursday,Janakpuri West,Blue Line,2,1831,1768,3599,0,1,43,Rainy
2026-01-05,Monday,Chawri Bazar,Yellow Line,2,3428,3255,6683,0,0,32,Cloudy
2026-02-08,Sunday,AIIMS,Yellow Line,2,584,538,1122,0,1,35,Foggy
2026-01-18,Sunday,Kailash Colony,Violet Line,4,855,825,1680,0,1,22,Cloudy
2026-01-21,Wednesday,Neelam Chowk Ajronda,Violet Line,2,3651,3359,7010,0,0,34,Cloudy
2026-02-03,Tuesday,Dwarka Sector 8,Blue Line,3,3597,3273,6870,0,0,16,Smoggy
2026-02-06,Friday,Janakpuri West,Blue Line,4,5051,4790,9841,0,0,26,Clear
2026-02-23,Monday,Chandni Chowk,Yellow Line,1,10484,9906,20390,0,0,32,Foggy
2026-02-20,Friday,Shastri Nagar,Red Line,1,2266,2115,4381,0,0,36,Foggy
2026-02-24,Tuesday,Old Faridabad,Violet Line,3,3548,3462,7010,0,0,33,Cloudy
2026-01-24,Saturday,Udyog Nagar,Green Line,2,954,921,1875,0,0,20,Cloudy
2026-01-23,Friday,Madipur,Green Line,2,3361,3360,6721,0,0,20,Cloudy
2026-01-17,Saturday,Civil Lines,Yellow Line,3,1591,1482,3073,0,0,43,Clear
2026-01-17,Saturday,Mohan Estate,Violet Line,1,1470,1372,2842,0,0,35,Foggy
2026-02-03,Tuesday,Kalkaji Mandir,Violet Line,3,3307,3002,6309,0,0,31,Foggy
2026-02-07,Saturday,Saket,Yellow Line,2,1699,1516,3215,0,0,16,Clear
2026-01-04,Sunday,Tughlakabad,Violet Line,2,887,766,1653,0,1,21,Rainy
2026-02-27,Friday,Welcome,Red Line,4,3107,3055,6162,0,0,36,Clear
2026-01-18,Sunday,Peeragarhi,Green Line,3,605,604,1209,0,1,38,Rainy
2026-01-13,Tuesday,Madipur,Green Line,2,1853,1835,3688,0,0,28,Rainy
2026-01-28,Wednesday,Netaji Subhash Place,Red Line,1,2757,2670,5427,0,0,18,Clear
2026-01-14,Wednesday,Paschim Vihar West,Green Line,2,2744,2668,5412,0,0,44,Foggy
2026-01-19,Monday,Punjabi Bagh,Green Line,3,2401,2305,4706,0,0,19,Smoggy
2026-01-21,Wednesday,Paschim Vihar West,Green Line,1,2592,2400,4992,0,0,41,Cloudy
2026-02-18,Wednesday,Khan Market,Violet Line,3,1939,1779,3718,0,0,35,Cloudy
2026-01-30,Friday,Sultanpur,Yellow Line,1,2238,2146,4384,0,0,38,Clear
2026-01-04,Sunday,Kirti Nagar,Blue Line,3,811,769,1580,1,1,25,Clear
2026-02-22,Sunday,Harkesh Nagar Okhla,Violet Line,2,603,569,1172,0,1,18,Foggy
2026-01-20,Tuesday,Rajiv Chowk,Blue Line,3,9177,8489,17666,1,0,23,Foggy
2026-01-01,Thursday,Malviya Nagar,Yellow Line,1,2661,2558,5219,0,0,37,Foggy
2026-02-12,Thursday,Moti Nagar,Blue Line,3,2445,2336,4781,0,0,24,Foggy
2026-02-09,Monday,Punjabi Bagh,Green Line,1,3501,3418,6919,0,0,38,Clear
2026-02-07,Saturday,AIIMS,Yellow Line,2,924,945,1869,0,0,37,Cloudy
2026-01-30,Friday,IFFCO Chowk,Yellow Line,1,1767,1671,3438,0,0,20,Clear
2026-02-26,Thursday,Delhi Gate,Violet Line,3,697,678,1375,0,1,31,Foggy
2026-01-23,Friday,ITO,Violet Line,1,3244,3062,6306,0,0,19,Foggy
2026-01-28,Wednesday,Noida Sector 16,Blue Line,4,3002,2821,5823,0,0,23,Foggy
2026-01-19,Monday,Dilshad Garden,Red Line,2,5748,5518,11266,0,0,30,Clear
2026-02-27,Friday,Model Town,Yellow Line,1,3210,3093,6303,0,0,31,Clear
2026-01-01,Thursday,Mandi House,Blue Line,4,5537,5452,10989,1,0,44,Cloudy
2026-01-31,Saturday,Inderlok,Red Line,4,943,871,1814,0,0,32,Rainy
2026-01-07,Wednesday,Shahdara,Red Line,1,3667,3446,7113,0,0,15,Foggy
2026-01-29,Thursday,Nangloi,Green Line,1,1908,1809,3717,0,0,19,Clear
2026-01-10,Saturday,Saket,Yellow Line,2,1475,1527,3002,0,0,26,Cloudy
2026-02-15,Sunday,Pulbangash,Red Line,2,528,535,1063,0,1,43,Clear
2026-02-17,Tuesday,Kirti Nagar,Blue Line,2,1688,1587,3275,1,0,26,Foggy
2026-01-02,Friday,New Delhi,Yellow Line,3,11494,10846,22340,0,0,17,Clear
2026-01-17,Saturday,Neelam Chowk Ajronda,Violet Line,1,774,756,1530,0,0,20,Clear
2026-02-22,Sunday,Inderlok,Red Line,1,835,770,1605,0,1,36,Foggy
2026-01-10,Saturday,Shivaji Park,Green Line,4,1582,1576,3158,0,0,35,Foggy
2026-01-23,Friday,Sarita Vihar,Violet Line,3,2773,2585,5358,0,0,43,Foggy
2026-02-27,Friday,Rohini Sector 18,Yellow Line,2,1492,1443,2935,0,0,23,Foggy
