date,time,day,train_id,line,station,coach_number,capacity,passenger_count,occupancy_percent,crowd_level,is_peak_hour,is_holiday,weather
2026-01-15,12:00,Thursday,DMT-R013,Blue Line,Mandi House,1,320,258,80.8,High,0,0,Clear
2026-02-21,11:35,Saturday,DMT-V015,Green Line,Nangloi Railway Station,6,340,220,65.0,Medium,0,0,Foggy
2026-02-28,05:20,Saturday,DMT-V017,Yellow Line,GTB Nagar,4,350,67,19.2,Low,0,0,Foggy
2026-02-21,10:20,Saturday,DMT-R006,Red Line,Shahdara,6,340,327,96.2,High,1,0,Clear
2026-01-01,10:50,Thursday,DMT-R008,Blue Line,Dwarka,6,320,314,98.4,High,1,0,Clear
2026-01-30,23:35,Friday,DMT-G024,Red Line,Keshav Puram,4,350,57,16.3,Low,0,0,Rainy
2026-01-27,08:15,Tuesday,DMT-B007,Yellow Line,Jahangirpuri,3,350,281,80.4,High,1,0,Clear
2026-01-23,07:35,Friday,DMT-V024,Blue Line,Noida Sector 16,1,350,197,56.6,Medium,0,0,Cloudy
2026-01-13,20:45,Tuesday,DMT-B012,Green Line,Nangloi,3,340,156,45.9,Low,0,0,Clear
2026-02-28,14:05,Saturday,DMT-Y007,Blue Line,Rajiv Chowk,3,340,37,11.0,Low,0,0,Cloudy
2026-01-22,20:45,Thursday,DMT-V004,Red Line,Pratap Nagar,8,340,155,45.8,Low,0,0,Foggy
2026-02-05,07:40,Thursday,DMT-B016,Yellow Line,Central Secretariat,1,340,126,37.3,Low,0,0,Clear
2026-02-13,13:50,Friday,DMT-B024,Violet Line,Kalkaji Mandir,1,350,170,48.6,Low,0,0,Foggy
2026-02-26,16:45,Thursday,DMT-G017,Blue Line,Ramesh Nagar,6,340,69,20.5,Low,0,1,Cloudy
2026-02-26,08:50,Thursday,DMT-B010,Blue Line,Barakhamba Road,5,340,41,12.3,Low,1,1,Cloudy
2026-01-06,21:15,Tuesday,DMT-R004,Violet Line,Mandi House,1,350,50,14.5,Low,0,0,Clear
2026-01-16,06:10,Friday,DMT-Y014,Violet Line,NHPC Chowk,2,350,61,17.5,Low,0,0,Foggy
2026-01-08,19:05,Thursday,DMT-Y010,Red Line,Rithala,5,350,248,70.9,Medium,1,0,Clear
2026-01-21,16:45,Wednesday,DMT-G002,Red Line,Shastri Nagar,3,340,213,62.9,Medium,0,0,Cloudy
2026-01-30,06:10,Friday,DMT-Y009,Green Line,Shivaji Park,7,340,49,14.6,Low,0,0,Clear
2026-01-07,22:55,Wednesday,DMT-G021,Yellow Line,Chhattarpur,4,300,70,23.3,Low,0,0,Clear
2026-02-15,20:05,Sunday,DMT-V008,Red Line,Seelampur,2,300,32,10.9,Low,0,1,Foggy
