trip_id,arrival_time,departure_time,stop_id,stop_sequence
0,05:28:08,05:28:28,21,0
0,05:30:58,05:31:18,20,1
0,05:33:28,05:33:48,19,2
0,05:35:33,05:35:53,18,3
0,05:37:53,05:38:13,17,4
0,05:40:23,05:40:43,16,5
0,05:43:03,05:43:23,15,6
0,05:45:03,05:45:23,14,7
0,05:47:23,05:47:43,13,8
0,05:49:58,05:50:18,12,9
0,05:52:53,05:53:13,11,10
0,05:55:08,05:55:28,10,11
0,05:57:23,05:57:43,9,12
0,05:59:48,06:00:08,8,13
0,06:03:33,06:03:53,7,14
0,06:06:23,06:06:43,6,15
0,06:08:48,06:09:08,5,16
0,06:11:18,06:11:38,4,17
0,06:13:48,06:14:08,3,18
0,06:16:03,06:16:23,2,19
0,06:18:18,06:18:38,1,20
1,05:35:18,05:35:38,21,0
1,05:38:08,05:38:28,20,1
1,05:40:38,05:40:58,19,2
1,05:42:43,05:43:03,18,3
1,05:45:03,05:45:23,17,4
1,05:47:33,05:47:53,16,5
1,05:50:13,05:50:33,15,6
1,05:52:13,05:52:33,14,7
1,05:54:33,05:54:53,13,8
1,05:57:08,05:57:28,12,9
1,06:00:03,06:00:23,11,10
1,06:02:18,06:02:38,10,11
1,06:04:33,06:04:53,9,12
1,06:06:58,06:07:18,8,13
1,06:10:43,06:11:03,7,14
1,06:13:33,06:13:53,6,15
1,06:15:58,06:16:18,5,16
1,06:18:28,06:18:48,4,17
1,06:20:58,06:21:18,3,18
1,06:23:13,06:23:33,2,19
1,06:25:28,06:25:48,1,20
10,06:39:48,06:40:08,21,0
10,06:42:38,06:42:58,20,1
10,06:45:08,06:45:28,19,2
10,06:47:13,06:47:33,18,3
10,06:49:33,06:49:53,17,4
10,06:52:03,06:52:23,16,5
10,06:54:43,06:55:03,15,6
10,06:56:43,06:57:03,14,7
10,06:59:03,06:59:23,13,8
10,07:01:38,07:01:58,12,9
10,07:04:33,07:04:53,11,10
10,07:06:48,07:07:08,10,11
10,07:09:03,07:09:23,9,12
10,07:11:28,07:11:48,8,13
10,07:15:13,07:15:33,7,14
10,07:18:03,07:18:23,6,15
10,07:20:28,07:20:48,5,16
10,07:22:58,07:23:18,4,17
10,07:25:28,07:25:48,3,18
10,07:27:43,07:28:03,2,19
10,07:29:58,07:30:18,1,20
100,16:48:04,16:48:24,21,0
100,16:50:54,16:51:14,20,1
100,16:53:24,16:53:44,19,2
100,16:55:29,16:55:49,18,3
100,16:57:49,16:58:09,17,4
100,17:00:19,17:00:39,16,5
100,17:02:59,17:03:19,15,6
100,17:04:59,17:05:19,14,7
100,17:07:19,17:07:39,13,8
100,17:09:54,17:10:14,12,9
100,17:12:49,17:13:09,11,10
100,17:15:04,17:15:24,10,11
100,17:17:19,17:17:39,9,12
100,17:19:44,17:20:04,8,13
100,17:23:29,17:23:49,7,14
100,17:26:19,17:26:39,6,15
100,17:28:44,17:29:04,5,16
100,17:31:14,17:31:34,4,17
100,17:33:44,17:34:04,3,18
100,17:35:59,17:36:19,2,19
100,17:38:14,17:38:34,1,20
101,16:55:14,16:55:34,21,0
101,16:58:04,16:58:24,20,1
101,17:00:34,17:00:54,19,2
101,17:02:39,17:02:59,18,3
101,17:04:59,17:05:19,17,4
101,17:07:29,17:07:49,16,5
101,17:10:09,17:10:29,15,6
101,17:12:09,17:12:29,14,7
101,17:14:29,17:14:49,13,8
101,17:17:04,17:17:24,12,9
101,17:19:59,17:20:19,11,10
101,17:22:14,17:22:34,10,11
101,17:24:29,17:24:49,9,12
101,17:26:54,17:27:14,8,13
101,17:30:39,17:30:59,7,14
101,17:33:29,17:33:49,6,15
101,17:35:54,17:36:14,5,16
101,17:38:24,17:38:44,4,17
101,17:40:54,17:41:14,3,18
101,17:43:09,17:43:29,2,19
101,17:45:24,17:45:44,1,20
102,17:02:24,17:02:44,21,0
102,17:05:14,17:05:34,20,1
102,17:07:44,17:08:04,19,2
102,17:09:49,17:10:09,18,3
102,17:12:09,17:12:29,17,4
102,17:14:39,17:14:59,16,5
102,17:17:19,17:17:39,15,6
102,17:19:19,17:19:39,14,7
102,17:21:39,17:21:59,13,8
102,17:24:14,17:24:34,12,9
102,17:27:09,17:27:29,11,10
102,17:29:24,17:29:44,10,11
102,17:31:39,17:31:59,9,12
102,17:34:04,17:34:24,8,13
102,17:37:49,17:38:09,7,14
102,17:40:39,17:40:59,6,15
102,17:43:04,17:43:24,5,16
102,17:45:34,17:45:54,4,17
102,17:48:04,17:48:24,3,18
102,17:50:19,17:50:39,2,19
102,17:52:34,17:52:54,1,20
103,17:08:36,17:08:56,21,0
103,17:11:26,17:11:46,20,1
103,17:13:56,17:14:16,19,2
103,17:16:01,17:16:21,18,3
103,17:18:21,17:18:41,17,4
103,17:20:51,17:21:11,16,5
103,17:23:31,17:23:51,15,6
103,17:25:31,17:25:51,14,7
103,17:27:51,17:28:11,13,8
103,17:30:26,17:30:46,12,9
103,17:33:21,17:33:41,11,10
103,17:35:36,17:35:56,10,11
103,17:37:51,17:38:11,9,12
103,17:40:16,17:40:36,8,13
103,17:44:01,17:44:21,7,14
103,17:46:51,17:47:11,6,15
103,17:49:16,17:49:36,5,16
103,17:51:46,17:52:06,4,17
103,17:54:16,17:54:36,3,18
103,17:56:31,17:56:51,2,19
103,17:58:46,17:59:06,1,20
104,17:14:48,17:15:08,21,0
104,17:17:38,17:17:58,20,1
104,17:20:08,17:20:28,19,2
104,17:22:13,17:22:33,18,3
104,17:24:33,17:24:53,17,4
104,17:27:03,17:27:23,16,5
104,17:29:43,17:30:03,15,6
104,17:31:43,17:32:03,14,7
104,17:34:03,17:34:23,13,8
104,17:36:38,17:36:58,12,9
104,17:39:33,17:39:53,11,10
104,17:41:48,17:42:08,10,11
104,17:44:03,17:44:23,9,12
104,17:46:28,17:46:48,8,13
104,17:50:13,17:50:33,7,14
104,17:53:03,17:53:23,6,15
104,17:55:28,17:55:48,5,16
104,17:57:58,17:58:18,4,17
104,18:00:28,18:00:48,3,18
104,18:02:43,18:03:03,2,19
104,18:04:58,18:05:18,1,20
105,17:21:00,17:21:20,21,0
105,17:23:50,17:24:10,20,1
105,17:26:20,17:26:40,19,2
105,17:28:25,17:28:45,18,3
105,17:30:45,17:31:05,17,4
105,17:33:15,17:33:35,16,5
105,17:35:55,17:36:15,15,6
105,17:37:55,17:38:15,14,7
105,17:40:15,17:40:35,13,8
105,17:42:50,17:43:10,12,9
105,17:45:45,17:46:05,11,10
105,17:48:00,17:48:20,10,11
105,17:50:15,17:50:35,9,12
105,17:52:40,17:53:00,8,13
105,17:56:25,17:56:45,7,14
105,17:59:15,17:59:35,6,15
105,18:01:40,18:02:00,5,16
105,18:04:10,18:04:30,4,17
105,18:06:40,18:07:00,3,18
105,18:08:55,18:09:15,2,19
105,18:11:10,18:11:30,1,20
106,17:27:12,17:27:32,21,0
106,17:30:02,17:30:22,20,1
106,17:32:32,17:32:52,19,2
106,17:34:37,17:34:57,18,3
106,17:36:57,17:37:17,17,4
106,17:39:27,17:39:47,16,5
106,17:42:07,17:42:27,15,6
106,17:44:07,17:44:27,14,7
106,17:46:27,17:46:47,13,8
106,17:49:02,17:49:22,12,9
