id,station_id,day_of_week,hour,avg_passengers,peak_status
44023,1,2,0,154,off-peak
44024,1,2,1,143,off-peak
44025,1,2,2,243,off-peak
44026,1,2,3,106,off-peak
44027,1,2,4,299,off-peak
44028,1,2,5,136,off-peak
44029,1,2,6,202,off-peak
44030,1,2,7,758,peak
44031,1,2,8,925,peak
44032,1,2,9,906,peak
44033,1,2,10,114,off-peak
44034,1,2,11,220,off-peak
44035,1,2,12,344,off-peak
44036,1,2,13,140,off-peak
44037,1,2,14,223,off-peak
44038,1,2,15,309,off-peak
44039,1,2,16,147,off-peak
44040,1,2,17,782,peak
44041,1,2,18,1129,peak
44042,1,2,19,1074,peak
44043,1,2,20,318,off-peak
44044,1,2,21,278,off-peak
44045,1,2,22,215,off-peak
44046,1,2,23,249,off-peak
44047,1,3,0,189,off-peak
44048,1,3,1,343,off-peak
44049,1,3,2,180,off-peak
44050,1,3,3,161,off-peak
44051,1,3,4,306,off-peak
44052,1,3,5,269,off-peak
44053,1,3,6,308,off-peak
44054,1,3,7,1002,peak
44055,1,3,8,908,peak
44056,1,3,9,1104,peak
44057,1,3,10,167,off-peak
44058,1,3,11,119,off-peak
44059,1,3,12,297,off-peak
44060,1,3,13,323,off-peak
44061,1,3,14,252,off-peak
44062,1,3,15,180,off-peak
44063,1,3,16,349,off-peak
44064,1,3,17,1104,peak
44065,1,3,18,1043,peak
44066,1,3,19,766,peak
44067,1,3,20,279,off-peak
44068,1,3,21,150,off-peak
44069,1,3,22,132,off-peak
44070,1,3,23,267,off-peak
44071,1,4,0,201,off-peak
44072,1,4,1,308,off-peak
44073,1,4,2,102,off-peak
44074,1,4,3,348,off-peak
44075,1,4,4,204,off-peak
44076,1,4,5,325,off-peak
44077,1,4,6,101,off-peak
44078,1,4,7,816,peak
44079,1,4,8,1196,peak
44080,1,4,9,830,peak
44081,1,4,10,285,off-peak
44082,1,4,11,164,off-peak
44083,1,4,12,276,off-peak
44084,1,4,13,283,off-peak
44085,1,4,14,133,off-peak
44086,1,4,15,325,off-peak
44087,1,4,16,258,off-peak
44088,1,4,17,918,peak
44089,1,4,18,974,peak
44090,1,4,19,776,peak
44091,1,4,20,330,off-peak
44092,1,4,21,238,off-peak
44093,1,4,22,294,off-peak
44094,1,4,23,159,off-peak
44095,1,5,0,114,off-peak
44096,1,5,1,327,off-peak
44097,1,5,2,160,off-peak
44098,1,5,3,171,off-peak
44099,1,5,4,175,off-peak
44100,1,5,5,223,off-peak
44101,1,5,6,112,off-peak
44102,1,5,7,880,peak
44103,1,5,8,862,peak
44104,1,5,9,1075,peak
44105,1,5,10,221,off-peak
44106,1,5,11,184,off-peak
44107,1,5,12,253,off-peak
44108,1,5,13,195,off-peak
44109,1,5,14,121,off-peak
44110,1,5,15,253,off-peak
44111,1,5,16,232,off-peak
44112,1,5,17,1239,peak
44113,1,5,18,1105,peak
44114,1,5,19,954,peak
44115,1,5,20,338,off-peak
44116,1,5,21,155,off-peak
44117,1,5,22,244,off-peak
44118,1,5,23,332,off-peak
44119,1,6,0,285,off-peak
44120,1,6,1,163,off-peak
44121,1,6,2,258,off-peak
44122,1,6,3,213,off-peak
44123,1,6,4,134,off-peak
44124,1,6,5,186,off-peak
44125,1,6,6,314,off-peak
44126,1,6,7,1065,peak
44127,1,6,8,789,peak
44128,1,6,9,845,peak
44129,1,6,10,165,off-peak
44130,1,6,11,269,off-peak
44131,1,6,12,107,off-peak
44132,1,6,13,311,off-peak
44133,1,6,14,229,off-peak
44134,1,6,15,220,off-peak
44135,1,6,16,330,off-peak
44136,1,6,17,764,peak
44137,1,6,18,1164,peak
44138,1,6,19,1172,peak
44139,1,6,20,270,off-peak
44140,1,6,21,119,off-peak
44141,1,6,22,225,off-peak
44142,1,6,23,246,off-peak
44143,1,0,0,329,off-peak
44144,1,0,1,102,off-peak
44145,1,0,2,327,off-peak
44146,1,0,3,312,off-peak
44147,1,0,4,327,off-peak
44148,1,0,5,331,off-peak
44149,1,0,6,194,off-peak
44150,1,0,7,926,peak
44151,1,0,8,958,peak
44152,1,0,9,1105,peak
44153,1,0,10,341,off-peak
44154,1,0,11,241,off-peak
44155,1,0,12,192,off-peak
44156,1,0,13,254,off-peak
44157,1,0,14,232,off-peak
44158,1,0,15,230,off-peak
44159,1,0,16,271,off-peak
44160,1,0,17,910,peak
44161,1,0,18,944,peak
44162,1,0,19,1200,peak
44163,1,0,20,198,off-peak
44164,1,0,21,224,off-peak
44165,1,0,22,229,off-peak
44166,1,0,23,273,off-peak
44167,1,1,0,100,off-peak
44168,1,1,1,298,off-peak
44169,1,1,2,111,off-peak
44170,1,1,3,122,off-peak
44171,1,1,4,223,off-peak
44172,1,1,5,172,off-peak
44173,1,1,6,216,off-peak
44174,1,1,7,1206,peak
44175,1,1,8,987,peak
44176,1,1,9,949,peak
44177,1,1,10,291,off-peak
44178,1,1,11,228,off-peak
44179,1,1,12,334,off-peak
44180,1,1,13,253,off-peak
44181,1,1,14,116,off-peak
44182,1,1,15,312,off-peak
44183,1,1,16,100,off-peak
44184,1,1,17,1219,peak
44185,1,1,18,902,peak
44186,1,1,19,936,peak
44187,1,1,20,111,off-peak
44188,1,1,21,306,off-peak
44189,1,1,22,298,off-peak
44190,1,1,23,180,off-peak
44191,2,2,0,349,off-peak
44192,2,2,1,193,off-peak
44193,2,2,2,268,off-peak
44194,2,2,3,311,off-peak
44195,2,2,4,212,off-peak
44196,2,2,5,236,off-peak
44197,2,2,6,206,off-peak
44198,2,2,7,853,peak
44199,2,2,8,1044,peak
44200,2,2,9,1231,peak
44201,2,2,10,332,off-peak
44202,2,2,11,154,off-peak
44203,2,2,12,160,off-peak
44204,2,2,13,293,off-peak
44205,2,2,14,298,off-peak
44206,2,2,15,195,off-peak
44207,2,2,16,144,off-peak
44208,2,2,17,1166,peak
44209,2,2,18,863,peak
44210,2,2,19,987,peak
44211,2,2,20,154,off-peak
44212,2,2,21,288,off-peak
44213,2,2,22,226,off-peak
44214,2,2,23,207,off-peak
44215,2,3,0,109,off-peak
44216,2,3,1,111,off-peak
44217,2,3,2,235,off-peak
44218,2,3,3,198,off-peak
44219,2,3,4,134,off-peak
44220,2,3,5,292,off-peak
44221,2,3,6,309,off-peak
44222,2,3,7,889,peak
44223,2,3,8,1053,peak
44224,2,3,9,951,peak
44225,2,3,10,336,off-peak
44226,2,3,11,239,off-peak
44227,2,3,12,203,off-peak
44228,2,3,13,139,off-peak
44229,2,3,14,185,off-peak
44230,2,3,15,230,off-peak
44231,2,3,16,154,off-peak
44232,2,3,17,1044,peak
44233,2,3,18,782,peak
44234,2,3,19,1026,peak
44235,2,3,20,269,off-peak
44236,2,3,21,106,off-peak
44237,2,3,22,169,off-peak
44238,2,3,23,304,off-peak
44239,2,4,0,196,off-peak
44240,2,4,1,219,off-peak
44241,2,4,2,299,off-peak
44242,2,4,3,252,off-peak
44243,2,4,4,227,off-peak
44244,2,4,5,130,off-peak
44245,2,4,6,162,off-peak
44246,2,4,7,1178,peak
44247,2,4,8,1025,peak
44248,2,4,9,822,peak
44249,2,4,10,289,off-peak
44250,2,4,11,288,off-peak
44251,2,4,12,300,off-peak
44252,2,4,13,347,off-peak
44253,2,4,14,183,off-peak
44254,2,4,15,241,off-peak
44255,2,4,16,145,off-peak
44256,2,4,17,959,peak
44257,2,4,18,949,peak
44258,2,4,19,1008,peak
44259,2,4,20,124,off-peak
44260,2,4,21,240,off-peak
44261,2,4,22,302,off-peak
44262,2,4,23,338,off-peak
44263,2,5,0,200,off-peak
44264,2,5,1,137,off-peak
44265,2,5,2,339,off-peak
44266,2,5,3,159,off-peak
44267,2,5,4,134,off-peak
44268,2,5,5,210,off-peak
44269,2,5,6,253,off-peak
44270,2,5,7,1115,peak
44271,2,5,8,1023,peak
44272,2,5,9,1036,peak
44273,2,5,10,140,off-peak
44274,2,5,11,252,off-peak
44275,2,5,12,239,off-peak
44276,2,5,13,227,off-peak
44277,2,5,14,158,off-peak
44278,2,5,15,244,off-peak
44279,2,5,16,154,off-peak
44280,2,5,17,1121,peak
44281,2,5,18,927,peak
44282,2,5,19,811,peak
44283,2,5,20,117,off-peak
44284,2,5,21,190,off-peak
44285,2,5,22,256,off-peak
44286,2,5,23,274,off-peak
44287,2,6,0,219,off-peak
44288,2,6,1,168,off-peak
44289,2,6,2,242,off-peak
44290,2,6,3,253,off-peak
44291,2,6,4,319,off-peak
44292,2,6,5,172,off-peak
44293,2,6,6,125,off-peak
44294,2,6,7,1016,peak
44295,2,6,8,892,peak
44296,2,6,9,1211,peak
44297,2,6,10,330,off-peak
44298,2,6,11,306,off-peak
44299,2,6,12,178,off-peak
44300,2,6,13,313,off-peak
44301,2,6,14,212,off-peak
44302,2,6,15,178,off-peak
44303,2,6,16,102,off-peak
44304,2,6,17,984,peak
44305,2,6,18,1000,peak
44306,2,6,19,1131,peak
44307,2,6,20,197,off-peak
44308,2,6,21,201,off-peak
44309,2,6,22,147,off-peak
44310,2,6,23,136,off-peak
44311,2,0,0,138,off-peak
44312,2,0,1,266,off-peak
44313,2,0,2,253,off-peak
44314,2,0,3,152,off-peak
44315,2,0,4,328,off-peak
44316,2,0,5,289,off-peak
44317,2,0,6,100,off-peak
44318,2,0,7,801,peak
44319,2,0,8,837,peak
44320,2,0,9,969,peak
44321,2,0,10,306,off-peak
44322,2,0,11,349,off-peak
44323,2,0,12,313,off-peak
44324,2,0,13,105,off-peak
44325,2,0,14,145,off-peak
44326,2,0,15,144,off-peak
44327,2,0,16,257,off-peak
44328,2,0,17,1095,peak
44329,2,0,18,959,peak
44330,2,0,19,1208,peak
44331,2,0,20,185,off-peak
44332,2,0,21,187,off-peak
44333,2,0,22,262,off-peak
44334,2,0,23,277,off-peak
44335,2,1,0,325,off-peak
44336,2,1,1,113,off-peak
44337,2,1,2,252,off-peak
44338,2,1,3,206,off-peak
44339,2,1,4,308,off-peak
44340,2,1,5,204,off-peak
44341,2,1,6,339,off-peak
44342,2,1,7,818,peak
44343,2,1,8,975,peak
44344,2,1,9,1047,peak
44345,2,1,10,117,off-peak
44346,2,1,11,260,off-peak
44347,2,1,12,338,off-peak
44348,2,1,13,263,off-peak
44349,2,1,14,170,off-peak
44350,2,1,15,330,off-peak
44351,2,1,16,269,off-peak
44352,2,1,17,1189,peak
44353,2,1,18,916,peak
44354,2,1,19,1157,peak
44355,2,1,20,285,off-peak
44356,2,1,21,149,off-peak
44357,2,1,22,207,off-peak
44358,2,1,23,150,off-peak
44359,3,2,0,231,off-peak
44360,3,2,1,259,off-peak
44361,3,2,2,313,off-peak
44362,3,2,3,209,off-peak
44363,3,2,4,233,off-peak
44364,3,2,5,300,off-peak
44365,3,2,6,159,off-peak
44366,3,2,7,818,peak
44367,3,2,8,1204,peak
44368,3,2,9,943,peak
44369,3,2,10,102,off-peak
44370,3,2,11,318,off-peak
44371,3,2,12,208,off-peak
44372,3,2,13,207,off-peak
44373,3,2,14,283,off-peak
44374,3,2,15,217,off-peak
44375,3,2,16,192,off-peak
44376,3,2,17,1212,peak
44377,3,2,18,1219,peak
44378,3,2,19,786,peak
44379,3,2,20,227,off-peak
44380,3,2,21,119,off-peak
44381,3,2,22,239,off-peak
44382,3,2,23,308,off-peak
44383,3,3,0,307,off-peak
44384,3,3,1,244,off-peak
44385,3,3,2,231,off-peak
44386,3,3,3,197,off-peak
44387,3,3,4,272,off-peak
44388,3,3,5,176,off-peak
44389,3,3,6,293,off-peak
44390,3,3,7,981,peak
44391,3,3,8,899,peak
44392,3,3,9,931,peak
44393,3,3,10,241,off-peak
44394,3,3,11,127,off-peak
44395,3,3,12,238,off-peak
44396,3,3,13,135,off-peak
44397,3,3,14,129,off-peak
44398,3,3,15,177,off-peak
44399,3,3,16,253,off-peak
44400,3,3,17,990,peak
44401,3,3,18,900,peak
44402,3,3,19,1248,peak
44403,3,3,20,181,off-peak
44404,3,3,21,330,off-peak
44405,3,3,22,261,off-peak
44406,3,3,23,217,off-peak
44407,3,4,0,170,off-peak
44408,3,4,1,285,off-peak
44409,3,4,2,319,off-peak
44410,3,4,3,246,off-peak
44411,3,4,4,292,off-peak
44412,3,4,5,177,off-peak
44413,3,4,6,170,off-peak
44414,3,4,7,933,peak
44415,3,4,8,807,peak
44416,3,4,9,750,peak
44417,3,4,10,208,off-peak
44418,3,4,11,104,off-peak
44419,3,4,12,233,off-peak
44420,3,4,13,219,off-peak
44421,3,4,14,293,off-peak
44422,3,4,15,144,off-peak
44423,3,4,16,314,off-peak
44424,3,4,17,988,peak
44425,3,4,18,897,peak
44426,3,4,19,1175,peak
44427,3,4,20,247,off-peak
44428,3,4,21,128,off-peak
44429,3,4,22,328,off-peak
44430,3,4,23,191,off-peak
44431,3,5,0,318,off-peak
44432,3,5,1,304,off-peak
44433,3,5,2,174,off-peak
44434,3,5,3,110,off-peak
44435,3,5,4,165,off-peak
44436,3,5,5,169,off-peak
44437,3,5,6,151,off-peak
44438,3,5,7,1240,peak
44439,3,5,8,1160,peak
44440,3,5,9,813,peak
44441,3,5,10,310,off-peak
44442,3,5,11,126,off-peak
44443,3,5,12,319,off-peak
44444,3,5,13,342,off-peak
44445,3,5,14,106,off-peak
44446,3,5,15,294,off-peak
44447,3,5,16,187,off-peak
44448,3,5,17,750,peak
44449,3,5,18,929,peak
44450,3,5,19,922,peak
44451,3,5,20,198,off-peak
44452,3,5,21,159,off-peak
44453,3,5,22,141,off-peak
44454,3,5,23,289,off-peak
44455,3,6,0,166,off-peak
44456,3,6,1,122,off-peak
44457,3,6,2,341,off-peak
44458,3,6,3,310,off-peak
44459,3,6,4,142,off-peak
44460,3,6,5,209,off-peak
44461,3,6,6,280,off-peak
44462,3,6,7,1010,peak
44463,3,6,8,1060,peak
44464,3,6,9,1140,peak
44465,3,6,10,248,off-peak
44466,3,6,11,201,off-peak
44467,3,6,12,210,off-peak
44468,3,6,13,177,off-peak
44469,3,6,14,266,off-peak
44470,3,6,15,109,off-peak
44471,3,6,16,310,off-peak
44472,3,6,17,911,peak
44473,3,6,18,948,peak
44474,3,6,19,1167,peak
44475,3,6,20,348,off-peak
44476,3,6,21,345,off-peak
44477,3,6,22,195,off-peak
44478,3,6,23,203,off-peak
44479,3,0,0,199,off-peak
44480,3,0,1,125,off-peak
44481,3,0,2,139,off-peak
44482,3,0,3,263,off-peak
44483,3,0,4,253,off-peak
44484,3,0,5,307,off-peak
44485,3,0,6,320,off-peak
44486,3,0,7,983,peak
44487,3,0,8,781,peak
44488,3,0,9,841,peak
44489,3,0,10,282,off-peak
44490,3,0,11,139,off-peak
44491,3,0,12,199,off-peak
44492,3,0,13,250,off-peak
44493,3,0,14,102,off-peak
44494,3,0,15,347,off-peak
44495,3,0,16,301,off-peak
44496,3,0,17,1225,peak
44497,3,0,18,876,peak
44498,3,0,19,887,peak
44499,3,0,20,257,off-peak
44500,3,0,21,316,off-peak
44501,3,0,22,120,off-peak
44502,3,0,23,211,off-peak
44503,3,1,0,130,off-peak
44504,3,1,1,325,off-peak
44505,3,1,2,328,off-peak
44506,3,1,3,236,off-peak
44507,3,1,4,152,off-peak
44508,3,1,5,318,off-peak
44509,3,1,6,144,off-peak
44510,3,1,7,1249,peak
44511,3,1,8,907,peak
44512,3,1,9,800,peak
44513,3,1,10,235,off-peak
44514,3,1,11,124,off-peak
44515,3,1,12,256,off-peak
44516,3,1,13,345,off-peak
44517,3,1,14,329,off-peak
44518,3,1,15,280,off-peak
44519,3,1,16,135,off-peak
44520,3,1,17,1005,peak
44521,3,1,18,1184,peak
44522,3,1,19,1107,peak
44523,3,1,20,113,off-peak
44524,3,1,21,287,off-peak
44525,3,1,22,210,off-peak
44526,3,1,23,318,off-peak
44527,4,2,0,205,off-peak
44528,4,2,1,222,off-peak
44529,4,2,2,258,off-peak
44530,4,2,3,329,off-peak
44531,4,2,4,299,off-peak
44532,4,2,5,123,off-peak
44533,4,2,6,149,off-peak
44534,4,2,7,1147,peak
44535,4,2,8,1152,peak
44536,4,2,9,1016,peak
44537,4,2,10,198,off-peak
44538,4,2,11,227,off-peak
44539,4,2,12,138,off-peak
44540,4,2,13,127,off-peak
44541,4,2,14,152,off-peak
44542,4,2,15,191,off-peak
44543,4,2,16,173,off-peak
44544,4,2,17,875,peak
44545,4,2,18,1041,peak
44546,4,2,19,962,peak
44547,4,2,20,327,off-peak
44548,4,2,21,197,off-peak
44549,4,2,22,203,off-peak
44550,4,2,23,218,off-peak
44551,4,3,0,201,off-peak
44552,4,3,1,255,off-peak
44553,4,3,2,249,off-peak
44554,4,3,3,179,off-peak
44555,4,3,4,330,off-peak
44556,4,3,5,264,off-peak
44557,4,3,6,316,off-peak
44558,4,3,7,791,peak
44559,4,3,8,1064,peak
44560,4,3,9,1146,peak
44561,4,3,10,291,off-peak
44562,4,3,11,253,off-peak
44563,4,3,12,111,off-peak
44564,4,3,13,311,off-peak
