Trip_ID,Route_ID,Service_ID,Shape_ID
0,0,weekday,shp_1_30
1,0,weekday,shp_1_30
10,0,weekday,shp_1_30
100,0,weekday,shp_1_30
1000,2,weekday,shp_1_13
10000,19,saturday,shp_1_33
10001,19,saturday,shp_1_33
10002,19,saturday,shp_1_33
10003,19,saturday,shp_1_33
10004,19,saturday,shp_1_33
10005,19,saturday,shp_1_33
10006,19,saturday,shp_1_33
10007,19,saturday,shp_1_33
10008,19,saturday,shp_1_33
10009,19,saturday,shp_1_33
1001,2,weekday,shp_1_13
10010,19,saturday,shp_1_33
10011,19,saturday,shp_1_33
10012,19,saturday,shp_1_33
10013,19,saturday,shp_1_33
10014,19,saturday,shp_1_33
10015,19,saturday,shp_1_33
10016,19,saturday,shp_1_33
10017,19,saturday,shp_1_33
10018,19,saturday,shp_1_33
10019,19,saturday,shp_1_33
1002,2,weekday,shp_1_13
10020,19,saturday,shp_1_33
10021,19,saturday,shp_1_33
10022,19,saturday,shp_1_33
10023,19,saturday,shp_1_33
10024,19,saturday,shp_1_33
10025,19,saturday,shp_1_33
10026,19,saturday,shp_1_33
10027,19,saturday,shp_1_33
10028,19,saturday,shp_1_33
10029,19,saturday,shp_1_33
1003,2,weekday,shp_1_13
10030,19,saturday,shp_1_33
10031,19,saturday,shp_1_33
10032,19,saturday,shp_1_33
10033,19,saturday,shp_1_33
10034,19,saturday,shp_1_33
10035,19,saturday,shp_1_33
10036,19,saturday,shp_1_33
10037,19,saturday,shp_1_33
10038,19,saturday,shp_1_33
10039,19,saturday,shp_1_33
1004,2,weekday,shp_1_13
10040,19,saturday,shp_1_33
10041,19,saturday,shp_1_33
10042,19,saturday,shp_1_33
10043,19,saturday,shp_1_33
10044,19,saturday,shp_1_33
10045,19,saturday,shp_1_33
10046,19,saturday,shp_1_33
10047,19,saturday,shp_1_33
10048,19,saturday,shp_1_33
10049,19,saturday,shp_1_33
1005,2,weekday,shp_1_13
10050,19,saturday,shp_1_33
10051,19,saturday,shp_1_33
10052,19,saturday,shp_1_33
10053,19,saturday,shp_1_33
10054,19,saturday,shp_1_33
10055,19,saturday,shp_1_33
10056,19,saturday,shp_1_33
10057,19,saturday,shp_1_33
10058,19,saturday,shp_1_33
1006,2,weekday,shp_1_13
1007,2,weekday,shp_1_13
1008,2,weekday,shp_1_13
1009,2,weekday,shp_1_13
101,0,weekday,shp_1_30
1010,2,weekday,shp_1_13
1011,2,weekday,shp_1_13
1012,2,weekday,shp_1_13
1013,2,weekday,shp_1_13
1014,2,weekday,shp_1_13
1015,2,weekday,shp_1_13
1016,2,weekday,shp_1_13
1017,2,weekday,shp_1_13
1018,2,weekday,shp_1_13
10186,20,weekday,shp_1_31
10187,20,weekday,shp_1_31
10188,20,weekday,shp_1_31
10189,20,weekday,shp_1_31
1019,2,weekday,shp_1_13
10190,20,weekday,shp_1_31
10191,20,weekday,shp_1_31
10192,20,weekday,shp_1_31
10193,20,weekday,shp_1_31
10194,20,weekday,shp_1_31
10195,20,weekday,shp_1_31
10196,20,weekday,shp_1_31
10197,20,weekday,shp_1_31
10198,20,weekday,shp_1_31
10199,20,weekday,shp_1_31
102,0,weekday,shp_1_30
1020,2,weekday,shp_1_13
10200,20,weekday,shp_1_31
10201,20,weekday,shp_1_31
10202,20,weekday,shp_1_31
10203,20,weekday,shp_1_31
10204,20,weekday,shp_1_31
10205,20,weekday,shp_1_31
10206,20,weekday,shp_1_31
10207,20,weekday,shp_1_31
10208,20,weekday,shp_1_31
10209,20,weekday,shp_1_31
1021,2,weekday,shp_1_13
10210,20,weekday,shp_1_31
10211,20,weekday,shp_1_31
10212,20,weekday,shp_1_31
10213,20,weekday,shp_1_31
10214,20,weekday,shp_1_31
10215,20,weekday,shp_1_31
10216,20,weekday,shp_1_31
10217,20,weekday,shp_1_31
10218,20,weekday,shp_1_31
10219,20,weekday,shp_1_31
1022,2,weekday,shp_1_13
10220,20,weekday,shp_1_31
10221,20,weekday,shp_1_31
10222,20,weekday,shp_1_31
10223,20,weekday,shp_1_31
10224,20,weekday,shp_1_31
10225,20,weekday,shp_1_31
10226,20,weekday,shp_1_31
10227,20,weekday,shp_1_31
10228,20,weekday,shp_1_31
10229,20,weekday,shp_1_31
1023,2,weekday,shp_1_13
10230,20,weekday,shp_1_31
10231,20,weekday,shp_1_31
10232,20,weekday,shp_1_31
10233,20,weekday,shp_1_31
10234,20,weekday,shp_1_31
10235,20,weekday,shp_1_31
10236,20,weekday,shp_1_31
10237,20,weekday,shp_1_31
10238,20,weekday,shp_1_31
10239,20,weekday,shp_1_31
1024,2,weekday,shp_1_13
10240,20,weekday,shp_1_31
10241,20,weekday,shp_1_31
10242,20,weekday,shp_1_31
10243,20,weekday,shp_1_31
10244,20,weekday,shp_1_31
10245,20,weekday,shp_1_31
10246,20,weekday,shp_1_31
10247,20,weekday,shp_1_31
10248,20,weekday,shp_1_31
10249,20,weekday,shp_1_31
1025,2,weekday,shp_1_13
10250,20,weekday,shp_1_31
10251,20,weekday,shp_1_31
10252,20,weekday,shp_1_31
10253,20,weekday,shp_1_31
10254,20,weekday,shp_1_31
10255,20,weekday,shp_1_31
10256,20,weekday,shp_1_31
10257,20,weekday,shp_1_31
10258,20,weekday,shp_1_31
10259,20,weekday,shp_1_31
1026,2,weekday,shp_1_13
10260,20,weekday,shp_1_31
10261,20,weekday,shp_1_31
10262,20,weekday,shp_1_31
10263,20,weekday,shp_1_31
10264,20,weekday,shp_1_31
10265,20,weekday,shp_1_31
10266,20,weekday,shp_1_31
10267,20,weekday,shp_1_31
10268,20,weekday,shp_1_31
10269,20,weekday,shp_1_31
1027,2,weekday,shp_1_13
10270,20,weekday,shp_1_31
10271,20,weekday,shp_1_31
10272,20,weekday,shp_1_31
10273,20,weekday,shp_1_31
10274,20,weekday,shp_1_31
10275,20,weekday,shp_1_31
10276,20,weekday,shp_1_31
10277,20,weekday,shp_1_31
10278,20,weekday,shp_1_31
10279,20,weekday,shp_1_31
1028,2,weekday,shp_1_13
10280,20,weekday,shp_1_31
10281,20,weekday,shp_1_31
10282,20,weekday,shp_1_31
10283,20,weekday,shp_1_31
10284,20,weekday,shp_1_31
10285,20,weekday,shp_1_31
10286,20,weekday,shp_1_31
10287,20,weekday,shp_1_31
10288,20,weekday,shp_1_31
10289,20,weekday,shp_1_31
1029,2,weekday,shp_1_13
10290,20,weekday,shp_1_31
10291,20,weekday,shp_1_31
10292,20,weekday,shp_1_31
10293,20,weekday,shp_1_31
10294,20,weekday,shp_1_31
10295,20,weekday,shp_1_31
10296,20,weekday,shp_1_31
10297,20,weekday,shp_1_31
10298,20,weekday,shp_1_31
10299,20,weekday,shp_1_31
103,0,weekday,shp_1_30
1030,2,weekday,shp_1_13
10300,20,weekday,shp_1_31
10301,20,weekday,shp_1_31
10302,20,weekday,shp_1_31
10303,20,weekday,shp_1_31
10304,20,weekday,shp_1_31
10305,20,weekday,shp_1_31
10306,20,weekday,shp_1_31
10307,20,weekday,shp_1_31
10308,20,weekday,shp_1_31
10309,20,weekday,shp_1_31
1031,2,weekday,shp_1_13
10310,20,weekday,shp_1_31
10311,20,weekday,shp_1_31
10312,20,weekday,shp_1_31
10313,20,weekday,shp_1_31
10314,20,weekday,shp_1_31
10315,20,weekday,shp_1_31
10316,20,weekday,shp_1_31
10317,20,weekday,shp_1_31
10318,20,weekday,shp_1_31
10319,20,weekday,shp_1_31
1032,2,weekday,shp_1_13
10320,20,weekday,shp_1_31
10321,20,weekday,shp_1_31
10322,20,weekday,shp_1_31
10323,20,weekday,shp_1_31
10324,20,weekday,shp_1_31
10325,20,weekday,shp_1_31
10326,20,weekday,shp_1_31
10327,20,weekday,shp_1_31
10328,20,weekday,shp_1_31
10329,20,weekday,shp_1_31
1033,2,weekday,shp_1_13
10330,20,weekday,shp_1_31
10331,20,weekday,shp_1_31
10332,20,weekday,shp_1_31
10333,20,weekday,shp_1_31
10334,20,weekday,shp_1_31
10335,20,weekday,shp_1_31
10336,20,weekday,shp_1_31
10337,20,weekday,shp_1_31
10338,20,weekday,shp_1_31
10339,20,weekday,shp_1_31
1034,2,weekday,shp_1_13
10340,20,weekday,shp_1_31
10341,20,weekday,shp_1_31
10342,20,weekday,shp_1_31
10343,20,weekday,shp_1_31
10344,20,weekday,shp_1_31
10345,20,weekday,shp_1_31
10346,20,weekday,shp_1_31
10347,20,weekday,shp_1_31
10348,20,weekday,shp_1_31
10349,20,weekday,shp_1_31
1035,2,weekday,shp_1_13
10350,20,weekday,shp_1_31
10351,20,weekday,shp_1_31
10352,20,weekday,shp_1_31
10353,20,weekday,shp_1_31
10354,20,weekday,shp_1_31
10355,20,weekday,shp_1_31
10356,20,weekday,shp_1_31
10357,20,weekday,shp_1_31
10358,20,weekday,shp_1_31
10359,20,weekday,shp_1_31
1036,2,weekday,shp_1_13
10360,20,weekday,shp_1_31
10361,20,weekday,shp_1_31
10362,20,weekday,shp_1_31
10363,20,weekday,shp_1_31
10364,20,weekday,shp_1_31
10365,20,weekday,shp_1_31
10366,20,weekday,shp_1_31
10367,20,weekday,shp_1_31
10368,20,weekday,shp_1_31
10369,20,weekday,shp_1_31
1037,2,weekday,shp_1_13
10370,20,weekday,shp_1_31
10371,20,weekday,shp_1_31
10372,20,weekday,shp_1_31
10373,20,weekday,shp_1_31
10374,20,weekday,shp_1_31
10375,20,weekday,shp_1_31
10376,20,weekday,shp_1_31
10377,20,weekday,shp_1_31
10378,20,weekday,shp_1_31
10379,20,weekday,shp_1_31
1038,2,weekday,shp_1_13
10380,20,weekday,shp_1_31
10381,20,weekday,shp_1_31
10382,20,weekday,shp_1_31
1039,2,weekday,shp_1_13
104,0,weekday,shp_1_30
1040,2,weekday,shp_1_13
1041,2,weekday,shp_1_13
1042,2,weekday,shp_1_13
1043,2,weekday,shp_1_13
1044,2,weekday,shp_1_13
1045,2,weekday,shp_1_13
1046,2,weekday,shp_1_13
1047,2,weekday,shp_1_13
1048,2,weekday,shp_1_13
1049,2,weekday,shp_1_13
105,0,weekday,shp_1_30
1050,2,weekday,shp_1_13
1051,2,weekday,shp_1_13
1052,2,weekday,shp_1_13
1053,2,weekday,shp_1_13
1054,2,weekday,shp_1_13
1055,2,weekday,shp_1_13
1056,2,weekday,shp_1_13
1057,2,weekday,shp_1_13
1058,2,weekday,shp_1_13
1059,2,weekday,shp_1_13
106,0,weekday,shp_1_30
107,0,weekday,shp_1_30
10736,21,weekday,shp_1_34
10737,21,weekday,shp_1_34
10738,21,weekday,shp_1_34
10739,21,weekday,shp_1_34
10740,21,weekday,shp_1_34
10741,21,weekday,shp_1_34
10742,21,weekday,shp_1_34
10743,21,weekday,shp_1_34
10744,21,weekday,shp_1_34
10745,21,weekday,shp_1_34
10746,21,weekday,shp_1_34
10747,21,weekday,shp_1_34
10748,21,weekday,shp_1_34
10749,21,weekday,shp_1_34
10750,21,weekday,shp_1_34
10751,21,weekday,shp_1_34
10752,21,weekday,shp_1_34
10753,21,weekday,shp_1_34
10754,21,weekday,shp_1_34
10755,21,weekday,shp_1_34
10756,21,weekday,shp_1_34
10757,21,weekday,shp_1_34
10758,21,weekday,shp_1_34
10759,21,weekday,shp_1_34
10760,21,weekday,shp_1_34
10761,21,weekday,shp_1_34
