Date,station,passenger_demand,day_of_week,day,month,year,is_weekend,day_type,median_demand,p80_demand,p90_demand,crowd_level,line,latitude,longitude
2022-01-01,AIIMS,153.0,5,1,1,2022,1,Weekend,105.0,151.0,180.80000000000007,High,Yellow line,28.56892,77.20771
2022-01-01,Barakhamba Road,31.0,5,1,1,2022,1,Weekend,43.0,71.0,88.0,Low,Blue line,28.63003,77.22436
2022-01-01,Central Secretariat,131.0,5,1,1,2022,1,Weekend,113.5,156.60000000000002,180.3,Medium,Yellow line / Voilet line,28.61474,77.21191
2022-01-01,Chandni Chowk,142.0,5,1,1,2022,1,Weekend,112.0,155.4000000000001,175.10000000000002,Medium,Yellow line,28.65785,77.23014
2022-01-01,Dilshad Garden,69.0,5,1,1,2022,1,Weekend,105.0,151.0,174.90000000000003,Low,Red line,28.67592,77.32142
2022-01-01,Hauz Khas,102.0,5,1,1,2022,1,Weekend,112.0,156.0,177.0,Low,Magenta line / Yellow line,28.5442564,77.2067072
2022-01-01,Inderlok,148.0,5,1,1,2022,1,Weekend,108.0,153.0,179.0,Medium,Green line / Red line,28.67319,77.16994
2022-01-01,Janakpuri West,110.0,5,1,1,2022,1,Weekend,117.0,157.0,176.2,Low,Blue line / Magenta line,28.62943,77.07767
2022-01-01,Jasola Vihar,112.0,5,1,1,2022,1,Weekend,104.0,148.0,170.0,Medium,Magenta line,28.5458279,77.2966578
2022-01-01,Kalkaji Mandir,161.0,5,1,1,2022,1,Weekend,114.0,153.20000000000005,179.20000000000005,High,Magenta line / Voilet line,28.5497752,77.2606671
2022-01-01,Kashmere Gate,19.0,5,1,1,2022,1,Weekend,109.0,150.0,172.90000000000003,Low,Voilet line / Red line / Yellow line,28.6675,77.22817
2022-01-01,Kirti Nagar,65.0,5,1,1,2022,1,Weekend,43.0,67.0,79.40000000000003,Medium,Green line branch / Blue line,28.65575,77.15057
2022-01-01,Laxmi Nagar,176.0,5,1,1,2022,1,Weekend,112.0,159.0,180.0,High,Blue line branch,28.63064,77.27749
2022-01-01,Mandi House,106.0,5,1,1,2022,1,Weekend,177.5,228.8,261.0,Low,Blue line / Voilet line,28.62588,77.2341
2022-01-01,Model Town,174.0,5,1,1,2022,1,Weekend,113.0,154.0,182.2,High,Yellow line,28.70278,77.19363
2022-01-01,Netaji Subhash Place,64.0,5,1,1,2022,1,Weekend,46.0,74.0,94.0,Medium,Pink line / Red line,28.69605175,77.15264042
2022-01-01,New Delhi,209.0,5,1,1,2022,1,Weekend,168.5,220.8,246.0,Medium,Yellow line,28.64307,77.22144
2022-01-01,Noida City Centre,290.0,5,1,1,2022,1,Weekend,250.0,311.0,341.0,Medium,Blue line,28.57466,77.35608
2022-01-01,Pragati Maidan,70.0,5,1,1,2022,1,Weekend,48.0,77.0,95.20000000000005,Medium,Blue line,28.62342,77.2425
2022-01-01,Punjabi Bagh,87.0,5,1,1,2022,1,Weekend,44.0,69.0,85.0,High,Green line,28.67289,77.14614
2022-01-01,Rajiv Chowk,301.0,5,1,1,2022,1,Weekend,312.0,382.0,420.90000000000003,Low,Yellow line / Blue line,28.63282,77.21826
2022-01-01,Rajouri Garden,152.0,5,1,1,2022,1,Weekend,114.0,153.0,175.0,Medium,Pink line / Blue line,28.6421518,77.11606038
2022-01-01,Shivaji Park,34.0,5,1,1,2022,1,Weekend,43.0,69.80000000000001,91.0,Low,Green line,28.6749,77.13056
2022-01-02,AIIMS,88.0,6,2,1,2022,1,Weekend,105.0,151.0,180.80000000000007,Low,Yellow line,28.56892,77.20771
2022-01-02,Central Secretariat,60.0,6,2,1,2022,1,Weekend,113.5,156.60000000000002,180.3,Low,Yellow line / Voilet line,28.61474,77.21191
2022-01-02,Chandni Chowk,147.0,6,2,1,2022,1,Weekend,112.0,155.4000000000001,175.10000000000002,Medium,Yellow line,28.65785,77.23014
2022-01-02,Dilshad Garden,219.0,6,2,1,2022,1,Weekend,105.0,151.0,174.90000000000003,High,Red line,28.67592,77.32142
2022-01-02,Hauz Khas,79.0,6,2,1,2022,1,Weekend,112.0,156.0,177.0,Low,Magenta line / Yellow line,28.5442564,77.2067072
2022-01-02,Inderlok,84.0,6,2,1,2022,1,Weekend,108.0,153.0,179.0,Low,Green line / Red line,28.67319,77.16994
2022-01-02,Janakpuri West,126.0,6,2,1,2022,1,Weekend,117.0,157.0,176.2,Medium,Blue line / Magenta line,28.62943,77.07767
2022-01-02,Jasola Vihar,62.0,6,2,1,2022,1,Weekend,104.0,148.0,170.0,Low,Magenta line,28.5458279,77.2966578
2022-01-02,Kalkaji Mandir,223.0,6,2,1,2022,1,Weekend,114.0,153.20000000000005,179.20000000000005,High,Magenta line / Voilet line,28.5497752,77.2606671
2022-01-02,Kashmere Gate,84.0,6,2,1,2022,1,Weekend,109.0,150.0,172.90000000000003,Low,Voilet line / Red line / Yellow line,28.6675,77.22817
2022-01-02,Kirti Nagar,67.0,6,2,1,2022,1,Weekend,43.0,67.0,79.40000000000003,Medium,Green line branch / Blue line,28.65575,77.15057
2022-01-02,Laxmi Nagar,51.0,6,2,1,2022,1,Weekend,112.0,159.0,180.0,Low,Blue line branch,28.63064,77.27749
2022-01-02,Mandi House,183.0,6,2,1,2022,1,Weekend,177.5,228.8,261.0,Medium,Blue line / Voilet line,28.62588,77.2341
2022-01-02,Model Town,103.0,6,2,1,2022,1,Weekend,113.0,154.0,182.2,Low,Yellow line,28.70278,77.19363
2022-01-02,Netaji Subhash Place,37.0,6,2,1,2022,1,Weekend,46.0,74.0,94.0,Low,Pink line / Red line,28.69605175,77.15264042
2022-01-02,New Delhi,204.0,6,2,1,2022,1,Weekend,168.5,220.8,246.0,Medium,Yellow line,28.64307,77.22144
2022-01-02,Noida City Centre,201.0,6,2,1,2022,1,Weekend,250.0,311.0,341.0,Low,Blue line,28.57466,77.35608
2022-01-02,Pragati Maidan,67.0,6,2,1,2022,1,Weekend,48.0,77.0,95.20000000000005,Medium,Blue line,28.62342,77.2425
2022-01-02,Punjabi Bagh,28.0,6,2,1,2022,1,Weekend,44.0,69.0,85.0,Low,Green line,28.67289,77.14614
2022-01-02,Rajiv Chowk,432.0,6,2,1,2022,1,Weekend,312.0,382.0,420.90000000000003,High,Yellow line / Blue line,28.63282,77.21826
2022-01-02,Rajouri Garden,137.0,6,2,1,2022,1,Weekend,114.0,153.0,175.0,Medium,Pink line / Blue line,28.6421518,77.11606038
2022-01-02,Shivaji Park,64.0,6,2,1,2022,1,Weekend,43.0,69.80000000000001,91.0,Medium,Green line,28.6749,77.13056
2022-01-03,AIIMS,159.0,0,3,1,2022,0,Weekday,105.0,151.0,180.80000000000007,High,Yellow line,28.56892,77.20771
2022-01-03,Barakhamba Road,26.0,0,3,1,2022,0,Weekday,43.0,71.0,88.0,Low,Blue line,28.63003,77.22436
2022-01-03,Central Secretariat,122.0,0,3,1,2022,0,Weekday,113.5,156.60000000000002,180.3,Medium,Yellow line / Voilet line,28.61474,77.21191
2022-01-03,Chandni Chowk,143.0,0,3,1,2022,0,Weekday,112.0,155.4000000000001,175.10000000000002,Medium,Yellow line,28.65785,77.23014
