id,train_id,station_name,timestamp,occupancy,capacity,occupancy_percentage,crowd_level
REC_000001,TRN_026,Rohini West,2026-03-07 19:44:00,1526,1800,84.78,High
REC_000002,TRN_065,R.K. Puram,2026-03-25 13:14:00,1130,2400,47.08,Medium
REC_000003,TRN_112,Jhandewalan,2026-03-10 06:59:00,398,1500,26.53,Low
REC_000004,TRN_182,Okhla NSIC,2026-03-23 15:53:00,638,1500,42.53,Medium
REC_000005,TRN_012,Arthala,2026-03-11 18:23:00,1840,1800,102.22,Critical
REC_000006,TRN_087,Inderlok,2026-03-14 10:36:00,1731,1800,96.17,Critical
REC_000007,TRN_175,Saket,2026-03-11 10:23:00,1624,2200,73.82,Medium
REC_000008,TRN_006,Lajpat Nagar,2026-03-23 19:34:00,1595,2200,72.5,Medium
REC_000009,TRN_058,Shyam Park,2026-03-15 19:12:00,1961,2200,89.14,High
REC_000010,TRN_054,Jafrabad,2026-03-17 17:02:00,1562,1800,86.78,High
REC_000011,TRN_073,Harkesh Nagar Okhla,2026-03-17 12:42:00,487,1800,27.06,Low
REC_000012,TRN_132,Dwarka Sector 8,2026-03-24 10:29:00,1993,2200,90.59,High
REC_000013,TRN_153,New Ashok Nagar,2026-03-13 15:21:00,1326,2200,60.27,Medium
REC_000014,TRN_015,Karkarduma Court,2026-03-04 18:25:00,2482,2400,103.42,Critical
REC_000015,TRN_085,Delhi Gate,2026-03-13 12:37:00,449,2200,20.41,Low
REC_000016,TRN_030,Pitampura,2026-03-27 10:15:00,2376,2400,99.0,Critical
REC_000017,TRN_073,Neelam Chowk Ajronda,2026-03-29 09:40:00,1544,1800,85.78,High
REC_000018,TRN_013,Jor Bagh,2026-03-23 07:35:00,688,2200,31.27,Low
REC_000019,TRN_043,Millennium City Centre Gurugram,2026-03-23 18:38:00,1678,2200,76.27,High
REC_000020,TRN_004,Maujpur - Babarpur,2026-03-07 09:38:00,2002,2200,91.0,High
REC_000021,TRN_023,Krishna Nagar,2026-03-01 13:52:00,1044,1500,69.6,Medium
REC_000022,TRN_057,Jahangirpuri,2026-03-27 20:22:00,1337,1800,74.28,Medium
REC_000023,TRN_180,Mohan Nagar,2026-03-30 14:56:00,555,2400,23.12,Low
REC_000024,TRN_042,Dwarka Sector 9,2026-03-15 18:42:00,1829,1800,101.61,Critical
REC_000025,TRN_159,Okhla NSIC,2026-03-04 17:18:00,1354,1500,90.27,High
REC_000026,TRN_102,Janakpuri East,2026-03-29 06:08:00,1044,2200,47.45,Medium
REC_000027,TRN_073,Nehru Place,2026-03-11 10:01:00,1627,1800,90.39,High
REC_000028,TRN_195,Shankar Vihar,2026-03-16 07:21:00,1025,2400,42.71,Medium
REC_000029,TRN_020,Shiv Vihar,2026-03-10 09:28:00,1441,1800,80.06,High
REC_000030,TRN_004,East Vinod Nagar - Mayur Vihar-II,2026-03-01 16:12:00,1248,2200,56.73,Medium
REC_000031,TRN_142,Inderlok,2026-03-28 21:24:00,620,2200,28.18,Low
REC_000032,TRN_056,Govind Puri,2026-03-05 11:03:00,481,1500,32.07,Low
REC_000033,TRN_095,R K Ashram Marg,2026-03-19 21:35:00,564,1800,31.33,Low
REC_000034,TRN_190,Udyog Bhawan,2026-03-02 12:26:00,928,1500,61.87,Medium
REC_000035,TRN_072,IFFCO Chowk,2026-03-24 08:44:00,1324,1800,73.56,Medium
