id,entry_station,entry_time,entry_gate,exit_station,exit_time,exit_gate,travel_duration_mins
PID-9D54DF5F,Hauz Khas,2026-07-19 06:00:00,Gate 2,Kashmere Gate,2026-07-19 06:21:00,Gate 5,21
PID-E4D55B9D,Hauz Khas,2026-07-19 06:00:00,Gate 4,Botanical Garden,2026-07-19 06:48:00,Gate 1,48
PID-1999D3F0,INA,2026-07-19 06:01:00,Gate 3,Mandi House,2026-07-19 07:27:00,Gate 4,86
PID-275946ED,Yamuna Bank,2026-07-19 06:01:00,Gate 4,Botanical Garden,2026-07-19 06:48:00,Gate 5,47
PID-2F0BD783,Kashmere Gate,2026-07-19 06:01:00,Gate 3,Botanical Garden,2026-07-19 06:38:00,Gate 2,37
PID-655FD3A6,Rajiv Chowk,2026-07-19 06:02:00,Gate 4,Hauz Khas,2026-07-19 06:57:00,Gate 1,55
PID-4D3B70C1,Botanical Garden,2026-07-19 06:02:00,Gate 3,Dwarka Sector 21,2026-07-19 06:50:00,Gate 2,48
PID-973C188B,INA,2026-07-19 06:04:00,Gate 3,Rajiv Chowk,2026-07-19 06:43:00,Gate 4,39
PID-BED6E272,INA,2026-07-19 06:04:00,Gate 2,Rajiv Chowk,2026-07-19 07:09:00,Gate 4,65
PID-87C7716D,Botanical Garden,2026-07-19 06:06:00,Gate 1,INA,2026-07-19 06:18:00,Gate 1,12
PID-5578125B,Hauz Khas,2026-07-19 06:06:00,Gate 1,Mandi House,2026-07-19 06:26:00,Gate 4,20
PID-3A21CD4C,Yamuna Bank,2026-07-19 06:07:00,Gate 5,INA,2026-07-19 06:55:00,Gate 3,48
PID-F4B2D1BC,INA,2026-07-19 06:07:00,Gate 1,Yamuna Bank,2026-07-19 07:16:00,Gate 2,69
PID-16F6435D,Yamuna Bank,2026-07-19 06:07:00,Gate 1,Rajiv Chowk,2026-07-19 07:08:00,Gate 1,61
PID-642AF51D,Kashmere Gate,2026-07-19 06:08:00,Gate 3,Dwarka Sector 21,2026-07-19 06:29:00,Gate 1,21
PID-0CD6EF99,Hauz Khas,2026-07-19 06:11:00,Gate 2,Kashmere Gate,2026-07-19 07:32:00,Gate 1,81
PID-C5E7C72C,Rajiv Chowk,2026-07-19 06:11:00,Gate 3,INA,2026-07-19 06:31:00,Gate 1,20
PID-D678EB86,INA,2026-07-19 06:11:00,Gate 4,Kashmere Gate,2026-07-19 06:24:00,Gate 3,13
PID-58D0E339,Mandi House,2026-07-19 06:11:00,Gate 2,Dwarka Sector 21,2026-07-19 06:58:00,Gate 2,47
PID-1C126003,Yamuna Bank,2026-07-19 06:13:00,Gate 5,Kashmere Gate,2026-07-19 07:09:00,Gate 2,56
PID-6F5B0BCE,Botanical Garden,2026-07-19 06:13:00,Gate 4,Hauz Khas,2026-07-19 07:16:00,Gate 1,63
PID-CB4D3795,INA,2026-07-19 06:14:00,Gate 4,Botanical Garden,2026-07-19 07:23:00,Gate 1,69
PID-1965FB3E,Kashmere Gate,2026-07-19 06:15:00,Gate 1,Yamuna Bank,2026-07-19 06:45:00,Gate 2,30
PID-2D31CB2E,Botanical Garden,2026-07-19 06:15:00,Gate 4,INA,2026-07-19 07:43:00,Gate 1,88
PID-BA52F985,Yamuna Bank,2026-07-19 06:17:00,Gate 1,Dwarka Sector 21,2026-07-19 07:32:00,Gate 3,75
PID-9095E06E,Mandi House,2026-07-19 06:17:00,Gate 1,Dwarka Sector 21,2026-07-19 06:27:00,Gate 2,10
PID-0217745C,Yamuna Bank,2026-07-19 06:19:00,Gate 5,Rajiv Chowk,2026-07-19 06:31:00,Gate 5,12
PID-F1C623DD,Hauz Khas,2026-07-19 06:19:00,Gate 2,Yamuna Bank,2026-07-19 06:48:00,Gate 4,29
PID-3AE3A51B,Yamuna Bank,2026-07-19 06:20:00,Gate 4,Botanical Garden,2026-07-19 07:17:00,Gate 3,57
PID-0EC70A4D,Mandi House,2026-07-19 06:20:00,Gate 2,INA,2026-07-19 07:16:00,Gate 4,56
PID-71767B91,Mandi House,2026-07-19 06:21:00,Gate 5,Rajiv Chowk,2026-07-19 06:50:00,Gate 1,29
PID-55482AB6,Hauz Khas,2026-07-19 06:21:00,Gate 1,Dwarka Sector 21,2026-07-19 07:10:00,Gate 2,49
PID-B25F7AFD,Botanical Garden,2026-07-19 06:22:00,Gate 4,Rajiv Chowk,2026-07-19 07:05:00,Gate 4,43
PID-5A92EC8A,Botanical Garden,2026-07-19 06:22:00,Gate 4,Rajiv Chowk,2026-07-19 07:18:00,Gate 1,56
PID-8112A0F3,Botanical Garden,2026-07-19 06:23:00,Gate 3,Mandi House,2026-07-19 07:47:00,Gate 3,84
PID-AE8A4AE9,Yamuna Bank,2026-07-19 06:24:00,Gate 5,Botanical Garden,2026-07-19 07:27:00,Gate 5,63
PID-EEACC833,Hauz Khas,2026-07-19 06:25:00,Gate 5,INA,2026-07-19 06:40:00,Gate 2,15
PID-561B5C24,INA,2026-07-19 06:26:00,Gate 5,Kashmere Gate,2026-07-19 07:42:00,Gate 2,76
PID-E3A2E9A4,INA,2026-07-19 06:28:00,Gate 1,Dwarka Sector 21,2026-07-19 06:47:00,Gate 5,19
PID-14AC6E8A,Hauz Khas,2026-07-19 06:29:00,Gate 1,Kashmere Gate,2026-07-19 07:07:00,Gate 5,38
PID-09C6704E,Dwarka Sector 21,2026-07-19 06:29:00,Gate 1,Botanical Garden,2026-07-19 07:19:00,Gate 5,50
PID-C2DDF643,Dwarka Sector 21,2026-07-19 06:30:00,Gate 1,INA,2026-07-19 07:05:00,Gate 1,35
PID-C598D03E,Hauz Khas,2026-07-19 06:30:00,Gate 2,Rajiv Chowk,2026-07-19 07:09:00,Gate 1,39
PID-8EEDEB45,Dwarka Sector 21,2026-07-19 06:30:00,Gate 5,INA,2026-07-19 07:19:00,Gate 1,49
PID-BDE5D68A,Hauz Khas,2026-07-19 06:30:00,Gate 3,Dwarka Sector 21,2026-07-19 06:40:00,Gate 3,10
PID-83751D83,Botanical Garden,2026-07-19 06:32:00,Gate 5,Hauz Khas,2026-07-19 07:54:00,Gate 3,82
PID-D1EF2F53,Hauz Khas,2026-07-19 06:32:00,Gate 4,INA,2026-07-19 07:53:00,Gate 3,81
PID-97D48A72,Botanical Garden,2026-07-19 06:32:00,Gate 3,Rajiv Chowk,2026-07-19 06:54:00,Gate 1,22
PID-5B7091C8,INA,2026-07-19 06:33:00,Gate 3,Kashmere Gate,2026-07-19 08:01:00,Gate 3,88
PID-E6BDD2E6,Dwarka Sector 21,2026-07-19 06:34:00,Gate 5,Kashmere Gate,2026-07-19 08:01:00,Gate 5,87
PID-90C74F94,INA,2026-07-19 06:35:00,Gate 3,Mandi House,2026-07-19 07:45:00,Gate 1,70
PID-203E082C,Yamuna Bank,2026-07-19 06:35:00,Gate 4,Rajiv Chowk,2026-07-19 07:35:00,Gate 2,60
PID-485CCA14,Rajiv Chowk,2026-07-19 06:35:00,Gate 1,Kashmere Gate,2026-07-19 07:53:00,Gate 4,78
PID-6A3E316C,Hauz Khas,2026-07-19 06:38:00,Gate 4,Dwarka Sector 21,2026-07-19 07:09:00,Gate 3,31
PID-5F73F085,Kashmere Gate,2026-07-19 06:38:00,Gate 5,Dwarka Sector 21,2026-07-19 07:55:00,Gate 2,77
PID-6CC5AE4E,Botanical Garden,2026-07-19 06:39:00,Gate 3,INA,2026-07-19 08:03:00,Gate 3,84
PID-1749BDAA,Mandi House,2026-07-19 06:39:00,Gate 2,Kashmere Gate,2026-07-19 08:08:00,Gate 2,89
PID-7AE1B73C,Kashmere Gate,2026-07-19 06:42:00,Gate 5,Hauz Khas,2026-07-19 07:40:00,Gate 1,58
PID-D9B6FDB2,Dwarka Sector 21,2026-07-19 06:43:00,Gate 4,Hauz Khas,2026-07-19 07:55:00,Gate 3,72
PID-F3D1E67F,Dwarka Sector 21,2026-07-19 06:43:00,Gate 4,Yamuna Bank,2026-07-19 07:07:00,Gate 1,24
PID-98B30BE7,Yamuna Bank,2026-07-19 06:43:00,Gate 5,Hauz Khas,2026-07-19 07:38:00,Gate 3,55
