id,train_id,station_name,arrival_time,departure_time,stop_sequence,day_type,platform
SCH_000001,TRN_001,Shaheed Sthal,06:00:00,06:02:00,1,Weekday,2
SCH_000002,TRN_001,Hindon River,06:04:49,06:05:19,2,Weekday,1
SCH_000003,TRN_001,Arthala,06:07:29,06:07:59,3,Weekday,2
SCH_000004,TRN_001,Mohan Nagar,06:10:03,06:10:33,4,Weekday,1
SCH_000005,TRN_001,Shyam Park,06:13:05,06:13:35,5,Weekday,2
SCH_000006,TRN_001,Major Mohit Sharma Rajendra Nagar,06:16:15,06:16:45,6,Weekday,1
SCH_000007,TRN_001,Raj Bagh,06:18:52,06:19:22,7,Weekday,2
SCH_000008,TRN_001,Shaheed Nagar,06:21:55,06:22:25,8,Weekday,1
SCH_000009,TRN_001,Dilshad Garden,06:24:57,06:25:27,9,Weekday,2
SCH_000010,TRN_001,Jhilmil,06:27:39,06:28:09,10,Weekday,1
SCH_000011,TRN_001,Mansarovar Park,06:31:06,06:31:36,11,Weekday,2
SCH_000012,TRN_001,Shahdara,06:34:25,06:34:55,12,Weekday,1
SCH_000013,TRN_001,Welcome,06:37:17,06:37:47,13,Weekday,2
SCH_000014,TRN_001,Seelampur,06:40:09,06:40:39,14,Weekday,1
SCH_000015,TRN_001,Shastri Park,06:43:25,06:43:55,15,Weekday,2
SCH_000016,TRN_001,Kashmere Gate,06:46:47,06:47:17,16,Weekday,1
SCH_000017,TRN_001,Tis Hazari,06:49:58,06:50:28,17,Weekday,2
SCH_000018,TRN_001,Pul Bangash,06:53:20,06:53:50,18,Weekday,1
SCH_000019,TRN_001,Pratap Nagar,06:55:59,06:56:29,19,Weekday,2
SCH_000020,TRN_001,Shastri Nagar,06:58:44,06:59:14,20,Weekday,1
SCH_000021,TRN_001,Inderlok,07:01:20,07:01:50,21,Weekday,2
SCH_000022,TRN_001,Kanhaiya Nagar,07:03:59,07:04:29,22,Weekday,1
SCH_000023,TRN_001,Keshav Puram,07:06:45,07:07:15,23,Weekday,2
SCH_000024,TRN_001,Netaji Subhash Place,07:09:27,07:09:57,24,Weekday,1
SCH_000025,TRN_001,Kohat Enclave,07:12:08,07:12:38,25,Weekday,2
SCH_000026,TRN_001,Pitampura,07:15:16,07:15:46,26,Weekday,1
SCH_000027,TRN_001,Rohini East,07:17:55,07:18:25,27,Weekday,2
SCH_000028,TRN_001,Rohini West,07:21:13,07:21:43,28,Weekday,1
SCH_000029,TRN_001,Rithala,07:24:31,07:26:31,29,Weekday,2
SCH_000030,TRN_001,Shaheed Sthal,06:00:00,06:02:00,1,Saturday,2
SCH_000031,TRN_001,Hindon River,06:04:04,06:04:34,2,Saturday,1
SCH_000032,TRN_001,Arthala,06:06:45,06:07:15,3,Saturday,2
SCH_000033,TRN_001,Mohan Nagar,06:10:15,06:10:45,4,Saturday,1
SCH_000034,TRN_001,Shyam Park,06:13:34,06:14:04,5,Saturday,2
SCH_000035,TRN_001,Major Mohit Sharma Rajendra Nagar,06:16:44,06:17:14,6,Saturday,1
SCH_000036,TRN_001,Raj Bagh,06:19:45,06:20:15,7,Saturday,2
SCH_000037,TRN_001,Shaheed Nagar,06:22:44,06:23:14,8,Saturday,1
SCH_000038,TRN_001,Dilshad Garden,06:26:02,06:26:32,9,Saturday,2
SCH_000039,TRN_001,Jhilmil,06:29:08,06:29:38,10,Saturday,1
SCH_000040,TRN_001,Mansarovar Park,06:32:26,06:32:56,11,Saturday,2
SCH_000041,TRN_001,Shahdara,06:35:33,06:36:03,12,Saturday,1
SCH_000042,TRN_001,Welcome,06:38:31,06:39:01,13,Saturday,2
SCH_000043,TRN_001,Seelampur,06:41:44,06:42:14,14,Saturday,1
SCH_000044,TRN_001,Shastri Park,06:45:13,06:45:43,15,Saturday,2
SCH_000045,TRN_001,Kashmere Gate,06:48:39,06:49:09,16,Saturday,1
SCH_000046,TRN_001,Tis Hazari,06:51:45,06:52:15,17,Saturday,2
SCH_000047,TRN_001,Pul Bangash,06:54:56,06:55:26,18,Saturday,1
SCH_000048,TRN_001,Pratap Nagar,06:58:06,06:58:36,19,Saturday,2
SCH_000049,TRN_001,Shastri Nagar,07:01:15,07:01:45,20,Saturday,1
SCH_000050,TRN_001,Inderlok,07:04:05,07:04:35,21,Saturday,2
SCH_000051,TRN_001,Kanhaiya Nagar,07:07:30,07:08:00,22,Saturday,1
SCH_000052,TRN_001,Keshav Puram,07:10:40,07:11:10,23,Saturday,2
SCH_000053,TRN_001,Netaji Subhash Place,07:13:30,07:14:00,24,Saturday,1
SCH_000054,TRN_001,Kohat Enclave,07:16:09,07:16:39,25,Saturday,2
SCH_000055,TRN_001,Pitampura,07:19:07,07:19:37,26,Saturday,1
