id,station_name,timestamp,temperature,humidity,co2_ppm,pm25,platform_crowd,escalator_status,lift_status,camera_status
SNS_000001,Rajiv Chowk,2026-03-01 00:00:00,21.7,45.1,541,60,9,Active,Active,Active
SNS_000002,Kashmere Gate,2026-03-01 00:00:00,23.7,63.8,571,102,2,Active,Active,Active
SNS_000003,New Delhi,2026-03-01 00:00:00,21.9,48.6,808,92,0,Active,Active,Active
SNS_000004,Hauz Khas,2026-03-01 00:00:00,21.1,51.6,673,130,4,Active,Active,Active
SNS_000005,Botanical Garden,2026-03-01 00:00:00,21.5,47.1,628,134,10,Active,Active,Active
SNS_000006,Janakpuri West,2026-03-01 00:00:00,21.6,59.2,522,85,5,Active,Active,Active
SNS_000007,Lajpat Nagar,2026-03-01 00:00:00,22.5,50.3,690,61,3,Active,Active,Active
SNS_000008,Central Secretariat,2026-03-01 00:00:00,22.1,57.0,726,55,9,Active,Active,Active
SNS_000009,Yamuna Bank,2026-03-01 00:00:00,22.3,48.7,800,119,9,Active,Active,Active
SNS_000010,Inderlok,2026-03-01 00:00:00,24.3,47.5,766,145,9,Active,Active,Active
SNS_000011,Rajiv Chowk,2026-03-01 01:00:00,22.3,50.9,600,108,1,Active,Active,Active
SNS_000012,Kashmere Gate,2026-03-01 01:00:00,23.1,53.7,547,125,6,Active,Active,Active
SNS_000013,New Delhi,2026-03-01 01:00:00,22.1,47.8,710,53,2,Active,Active,Active
SNS_000014,Hauz Khas,2026-03-01 01:00:00,21.9,47.4,642,78,2,Active,Active,Active
SNS_000015,Botanical Garden,2026-03-01 01:00:00,24.0,60.0,641,44,6,Active,Active,Active
SNS_000016,Janakpuri West,2026-03-01 01:00:00,23.3,57.6,725,59,1,Active,Active,Inactive
SNS_000017,Lajpat Nagar,2026-03-01 01:00:00,22.6,61.1,659,44,1,Active,Active,Active
SNS_000018,Central Secretariat,2026-03-01 01:00:00,22.1,52.2,588,141,10,Active,Active,Active
SNS_000019,Yamuna Bank,2026-03-01 01:00:00,24.3,64.7,849,91,3,Active,Active,Active
SNS_000020,Inderlok,2026-03-01 01:00:00,23.0,46.6,517,40,3,Active,Active,Active
SNS_000021,Rajiv Chowk,2026-03-01 02:00:00,24.2,45.3,798,136,9,Active,Active,Active
SNS_000022,Kashmere Gate,2026-03-01 02:00:00,22.0,59.4,639,51,10,Active,Active,Active
SNS_000023,New Delhi,2026-03-01 02:00:00,22.2,62.0,628,124,6,Active,Active,Active
SNS_000024,Hauz Khas,2026-03-01 02:00:00,21.9,60.1,540,70,7,Active,Active,Active
SNS_000025,Botanical Garden,2026-03-01 02:00:00,24.1,55.4,601,144,0,Active,Active,Active
SNS_000026,Janakpuri West,2026-03-01 02:00:00,21.7,62.4,744,85,4,Active,Active,Active
SNS_000027,Lajpat Nagar,2026-03-01 02:00:00,22.3,56.4,639,70,0,Active,Active,Active
SNS_000028,Central Secretariat,2026-03-01 02:00:00,21.2,55.1,569,49,1,Active,Inactive,Active
