station_name,entry_count,exit_count,platform_count,concourse_count,crowd_density,hour,day,month,day_of_week,weekend,crowd_level
8,0,0,0,0,0.0,0,1,3,6,1,1
5,0,0,0,0,0.0,0,1,3,6,1,1
7,0,0,0,0,0.0,0,1,3,6,1,1
2,0,0,0,0,0.0,0,1,3,6,1,1
0,0,0,0,0,0.0,0,1,3,6,1,1
4,0,0,0,0,0.0,0,1,3,6,1,1
6,0,0,0,0,0.0,0,1,3,6,1,1
1,0,0,0,0,0.0,0,1,3,6,1,1
9,0,0,0,0,0.0,0,1,3,6,1,1
3,0,0,0,0,0.0,0,1,3,6,1,1
8,0,0,0,0,0.0,0,1,3,6,1,1
5,0,0,0,0,0.0,0,1,3,6,1,1
7,0,0,0,0,0.0,0,1,3,6,1,1
2,0,0,0,0,0.0,0,1,3,6,1,1
0,0,0,0,0,0.0,0,1,3,6,1,1
4,0,0,0,0,0.0,0,1,3,6,1,1
6,0,0,0,0,0.0,0,1,3,6,1,1
1,0,0,0,0,0.0,0,1,3,6,1,1
9,0,0,0,0,0.0,0,1,3,6,1,1
3,0,0,0,0,0.0,0,1,3,6,1,1
8,0,0,0,0,0.0,0,1,3,6,1,1
5,0,0,0,0,0.0,0,1,3,6,1,1
7,0,0,0,0,0.0,0,1,3,6,1,1
2,0,0,0,0,0.0,0,1,3,6,1,1
0,0,0,0,0,0.0,0,1,3,6,1,1
4,0,0,0,0,0.0,0,1,3,6,1,1
6,0,0,0,0,0.0,0,1,3,6,1,1
1,0,0,0,0,0.0,0,1,3,6,1,1
9,0,0,0,0,0.0,0,1,3,6,1,1
3,0,0,0,0,0.0,0,1,3,6,1,1
8,0,0,0,0,0.0,0,1,3,6,1,1
5,0,0,0,0,0.0,0,1,3,6,1,1
7,0,0,0,0,0.0,0,1,3,6,1,1
2,0,0,0,0,0.0,0,1,3,6,1,1
0,0,0,0,0,0.0,0,1,3,6,1,1
4,0,0,0,0,0.0,0,1,3,6,1,1
6,0,0,0,0,0.0,0,1,3,6,1,1
1,0,0,0,0,0.0,0,1,3,6,1,1
9,0,0,0,0,0.0,0,1,3,6,1,1
3,0,0,0,0,0.0,0,1,3,6,1,1
8,0,0,0,0,0.0,1,1,3,6,1,1
5,0,0,0,0,0.0,1,1,3,6,1,1
7,0,0,0,0,0.0,1,1,3,6,1,1
2,0,0,0,0,0.0,1,1,3,6,1,1
