station_name,entry_count,exit_count,platform_count,concourse_count,hour,day,month,day_of_week,weekend
8,0,0,0,0,0,1,3,6,1
5,0,0,0,0,0,1,3,6,1
7,0,0,0,0,0,1,3,6,1
2,0,0,0,0,0,1,3,6,1
0,0,0,0,0,0,1,3,6,1
4,0,0,0,0,0,1,3,6,1
6,0,0,0,0,0,1,3,6,1
1,0,0,0,0,0,1,3,6,1
9,0,0,0,0,0,1,3,6,1
3,0,0,0,0,0,1,3,6,1
8,0,0,0,0,1,1,3,6,1
5,0,0,0,0,1,1,3,6,1
7,0,0,0,0,1,1,3,6,1
2,0,0,0,0,1,1,3,6,1
0,0,0,0,0,1,1,3,6,1
4,0,0,0,0,1,1,3,6,1
6,0,0,0,0,1,1,3,6,1
1,0,0,0,0,1,1,3,6,1
9,0,0,0,0,1,1,3,6,1
3,0,0,0,0,1,1,3,6,1
8,0,0,0,0,2,1,3,6,1
5,0,0,0,0,2,1,3,6,1
7,0,0,0,0,2,1,3,6,1
2,0,0,0,0,2,1,3,6,1
0,0,0,0,0,2,1,3,6,1
4,0,0,0,0,2,1,3,6,1
6,0,0,0,0,2,1,3,6,1
1,0,0,0,0,2,1,3,6,1
9,0,0,0,0,2,1,3,6,1
3,0,0,0,0,2,1,3,6,1
8,0,0,0,0,3,1,3,6,1
5,0,0,0,0,3,1,3,6,1
7,0,0,0,0,3,1,3,6,1
2,0,0,0,0,3,1,3,6,1
0,0,0,0,0,3,1,3,6,1
4,0,0,0,0,3,1,3,6,1
6,0,0,0,0,3,1,3,6,1
1,0,0,0,0,3,1,3,6,1
9,0,0,0,0,3,1,3,6,1
3,0,0,0,0,3,1,3,6,1
8,0,0,0,0,4,1,3,6,1
5,0,0,0,0,4,1,3,6,1
7,0,0,0,0,4,1,3,6,1
2,0,0,0,0,4,1,3,6,1
0,0,0,0,0,4,1,3,6,1
4,0,0,0,0,4,1,3,6,1
6,0,0,0,0,4,1,3,6,1
1,0,0,0,0,4,1,3,6,1
9,0,0,0,0,4,1,3,6,1
3,0,0,0,0,4,1,3,6,1
8,0,0,0,0,5,1,3,6,1
5,0,0,0,0,5,1,3,6,1
7,0,0,0,0,5,1,3,6,1
2,0,0,0,0,5,1,3,6,1
0,0,0,0,0,5,1,3,6,1
4,0,0,0,0,5,1,3,6,1
6,0,0,0,0,5,1,3,6,1
1,0,0,0,0,5,1,3,6,1
9,0,0,0,0,5,1,3,6,1
3,0,0,0,0,5,1,3,6,1
8,340,153,167,246,6,1,3,6,1
5,223,405,170,314,6,1,3,6,1
7,363,308,207,336,6,1,3,6,1
2,547,436,306,492,6,1,3,6,1
0,456,543,291,500,6,1,3,6,1
4,371,210,190,290,6,1,3,6,1
6,507,311,265,409,6,1,3,6,1
1,507,243,251,375,6,1,3,6,1
9,244,393,176,318,6,1,3,6,1
3,435,260,226,348,6,1,3,6,1
8,540,242,264,391,6,1,3,6,1
5,380,362,224,371,6,1,3,6,1
7,417,375,242,396,6,1,3,6,1
2,278,281,167,280,6,1,3,6,1
0,257,476,198,366,6,1,3,6,1
4,447,460,271,454,6,1,3,6,1
6,164,279,121,222,6,1,3,6,1
1,271,342,177,306,6,1,3,6,1
9,264,251,156,258,6,1,3,6,1
3,534,276,269,405,6,1,3,6,1
8,168,171,101,170,6,1,3,6,1
5,388,368,229,378,6,1,3,6,1
7,246,280,154,263,6,1,3,6,1
2,482,188,230,335,6,1,3,6,1
0,213,414,168,314,6,1,3,6,1
4,156,548,172,352,6,1,3,6,1
6,302,320,185,311,6,1,3,6,1
1,203,184,118,194,6,1,3,6,1
9,283,410,195,346,6,1,3,6,1
3,315,171,160,243,6,1,3,6,1
8,204,208,123,206,6,1,3,6,1
5,467,388,264,428,6,1,3,6,1
7,166,350,136,258,6,1,3,6,1
2,254,237,149,246,6,1,3,6,1
0,319,154,158,236,6,1,3,6,1
4,186,435,161,310,6,1,3,6,1
6,511,457,296,484,6,1,3,6,1
1,183,475,168,329,6,1,3,6,1
9,544,449,307,496,6,1,3,6,1
3,369,437,235,403,6,1,3,6,1
8,248,284,156,266,7,1,3,6,1
5,412,217,208,314,7,1,3,6,1
7,397,171,193,284,7,1,3,6,1
2,323,318,193,320,7,1,3,6,1
0,303,328,187,316,7,1,3,6,1
4,167,210,109,188,7,1,3,6,1
6,255,312,164,284,7,1,3,6,1
1,190,294,135,242,7,1,3,6,1
9,519,365,281,442,7,1,3,6,1
3,458,467,277,462,7,1,3,6,1
8,298,302,180,300,7,1,3,6,1
5,374,159,181,266,7,1,3,6,1
7,399,443,248,421,7,1,3,6,1
2,452,309,243,380,7,1,3,6,1
0,235,365,167,300,7,1,3,6,1
4,422,503,269,462,7,1,3,6,1
6,495,200,238,348,7,1,3,6,1
1,174,520,174,347,7,1,3,6,1
9,216,185,123,200,7,1,3,6,1
3,360,478,240,419,7,1,3,6,1
8,250,171,134,210,7,1,3,6,1
5,187,313,137,250,7,1,3,6,1
7,417,495,266,456,7,1,3,6,1
2,362,314,208,338,7,1,3,6,1
0,478,540,299,509,7,1,3,6,1
4,180,509,174,344,7,1,3,6,1
6,316,264,179,290,7,1,3,6,1
1,366,150,176,258,7,1,3,6,1
9,299,156,151,228,7,1,3,6,1
3,324,394,208,359,7,1,3,6,1
8,491,272,251,382,7,1,3,6,1
5,421,307,230,364,7,1,3,6,1
7,545,160,250,352,7,1,3,6,1
2,532,503,313,518,7,1,3,6,1
0,481,400,272,440,7,1,3,6,1
4,490,281,252,386,7,1,3,6,1
6,200,390,158,295,7,1,3,6,1
1,220,516,191,368,7,1,3,6,1
9,397,150,189,274,7,1,3,6,1
3,414,423,250,418,7,1,3,6,1
8,1541,919,800,1230,8,1,3,6,1
5,919,975,563,947,8,1,3,6,1
7,1125,412,532,768,8,1,3,6,1
2,841,401,417,621,8,1,3,6,1
0,1744,813,860,1278,8,1,3,6,1
4,2098,759,991,1428,8,1,3,6,1
6,1877,470,845,1174,8,1,3,6,1
1,1888,601,875,1244,8,1,3,6,1
9,2307,811,1085,1559,8,1,3,6,1
3,1985,460,886,1222,8,1,3,6,1
8,2171,762,1021,1466,8,1,3,6,1
5,2229,866,1065,1548,8,1,3,6,1
7,1910,965,957,1438,8,1,3,6,1
2,2110,605,965,1358,8,1,3,6,1
0,2444,610,1100,1527,8,1,3,6,1
4,1814,577,841,1196,8,1,3,6,1
6,1770,770,862,1270,8,1,3,6,1
1,1371,709,690,1040,8,1,3,6,1
9,1029,621,536,825,8,1,3,6,1
3,1882,762,905,1322,8,1,3,6,1
8,1314,977,721,1146,8,1,3,6,1
5,2303,756,1072,1530,8,1,3,6,1
7,1922,786,926,1354,8,1,3,6,1
2,2167,557,978,1362,8,1,3,6,1
0,2320,724,1073,1522,8,1,3,6,1
4,1964,633,912,1298,8,1,3,6,1
6,1284,511,616,898,8,1,3,6,1
1,2442,831,1143,1636,8,1,3,6,1
9,1807,992,921,1400,8,1,3,6,1
3,2321,907,1110,1614,8,1,3,6,1
8,2041,811,979,1426,8,1,3,6,1
5,1026,626,536,826,8,1,3,6,1
7,1905,437,849,1171,8,1,3,6,1
2,1416,731,713,1074,8,1,3,6,1
0,1120,557,559,838,8,1,3,6,1
4,842,644,466,743,8,1,3,6,1
6,1730,992,890,1361,8,1,3,6,1
1,2219,803,1048,1511,8,1,3,6,1
9,1323,770,683,1046,8,1,3,6,1
3,2319,462,1020,1390,8,1,3,6,1
8,2461,411,1067,1436,9,1,3,6,1
5,1014,483,502,748,9,1,3,6,1
7,1394,699,697,1046,9,1,3,6,1
2,1185,796,633,990,9,1,3,6,1
