day,station_id,hour,day_of_week,is_weekend,is_peak,capacity,passenger_count,density_percentage,lag_1h_footfall
0,1,0,0,0,0,1200,95,7.92,95.0
0,1,1,0,0,0,1200,32,2.67,95.0
0,1,2,0,0,0,1200,29,2.42,32.0
0,1,3,0,0,0,1200,24,2.0,29.0
0,1,4,0,0,0,1200,37,3.08,24.0
0,1,5,0,0,0,1200,115,9.58,37.0
0,1,6,0,0,0,1200,665,55.42,115.0
0,1,7,0,0,0,1200,684,57.0,665.0
0,1,8,0,0,1,1200,1169,97.42,684.0
0,1,9,0,0,1,1200,1214,101.17,1169.0
0,1,10,0,0,0,1200,477,39.75,1214.0
0,1,11,0,0,0,1200,486,40.5,477.0
0,1,12,0,0,0,1200,499,41.58,486.0
0,1,13,0,0,0,1200,485,40.42,499.0
0,1,14,0,0,0,1200,496,41.33,485.0
0,1,15,0,0,0,1200,527,43.92,496.0
0,1,16,0,0,0,1200,414,34.5,527.0
0,1,17,0,0,1,1200,1158,96.5,414.0
0,1,18,0,0,1,1200,1274,106.17,1158.0
0,1,19,0,0,1,1200,1070,89.17,1274.0
0,1,20,0,0,0,1200,808,67.33,1070.0
0,1,21,0,0,0,1200,265,22.08,808.0
0,1,22,0,0,0,1200,263,21.92,265.0
0,1,23,0,0,0,1200,277,23.08,263.0
1,1,0,1,0,0,1200,97,8.08,277.0
1,1,1,1,0,0,1200,24,2.0,97.0
1,1,2,1,0,0,1200,24,2.0,24.0
1,1,3,1,0,0,1200,103,8.58,24.0
1,1,4,1,0,0,1200,189,15.75,103.0
1,1,5,1,0,0,1200,70,5.83,189.0
1,1,6,1,0,0,1200,656,54.67,70.0
1,1,7,1,0,0,1200,646,53.83,656.0
1,1,8,1,0,1,1200,1114,92.83,646.0
1,1,9,1,0,1,1200,1154,96.17,1114.0
1,1,10,1,0,0,1200,478,39.83,1154.0
1,1,11,1,0,0,1200,353,29.42,478.0
1,1,12,1,0,0,1200,512,42.67,353.0
1,1,13,1,0,0,1200,437,36.42,512.0
1,1,14,1,0,0,1200,463,38.58,437.0
1,1,15,1,0,0,1200,476,39.67,463.0
1,1,16,1,0,0,1200,507,42.25,476.0
1,1,17,1,0,1,1200,1195,99.58,507.0
1,1,18,1,0,1,1200,1086,90.5,1195.0
1,1,19,1,0,1,1200,1171,97.58,1086.0
1,1,20,1,0,0,1200,823,68.58,1171.0
1,1,21,1,0,0,1200,217,18.08,823.0
1,1,22,1,0,0,1200,242,20.17,217.0
1,1,23,1,0,0,1200,300,25.0,242.0
2,1,0,2,0,0,1200,84,7.0,300.0
2,1,1,2,0,0,1200,94,7.83,84.0
2,1,2,2,0,0,1200,24,2.0,94.0
2,1,3,2,0,0,1200,24,2.0,24.0
2,1,4,2,0,0,1200,76,6.33,24.0
2,1,5,2,0,0,1200,129,10.75,76.0
2,1,6,2,0,0,1200,648,54.0,129.0
2,1,7,2,0,0,1200,747,62.25,648.0
2,1,8,2,0,1,1200,1119,93.25,747.0
2,1,9,2,0,1,1200,1087,90.58,1119.0
2,1,10,2,0,0,1200,451,37.58,1087.0
2,1,11,2,0,0,1200,572,47.67,451.0
2,1,12,2,0,0,1200,484,40.33,572.0
2,1,13,2,0,0,1200,478,39.83,484.0
2,1,14,2,0,0,1200,428,35.67,478.0
