Date,Time,Day,Is_Holiday,Weather,Station,From_Station,To_Station,Passenger_Entries,Passenger_Exits,Passenger_Count,Occupancy_Percent,Crowd_Level,Train_Speed_kmph,Number_of_Trips,Delay_Minutes,Congestion_Level,Peak_Hour,Train_Frequency_Per_Hour,AI_Recommendation,Recommended_Frequency
2026-01-01,05:00,Thursday,0,Rainy,Airport,Market,Airport,86,130,216,8.6,Low,73,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,05:15,Thursday,0,Rainy,University,North Gate,Market,88,67,155,6.2,Low,42,2,1,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,05:30,Thursday,0,Rainy,Central,Stadium,Rail Hub,223,110,333,13.3,Low,44,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,05:45,Thursday,0,Cloudy,Central,City Center,North Gate,120,168,288,11.5,Low,47,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-01,06:00,Thursday,0,Cloudy,Airport,Stadium,Market,103,157,260,10.4,Low,29,4,3,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-01,06:15,Thursday,0,Sunny,University,Rail Hub,Tech Park,100,201,301,12.0,Low,68,4,2,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-01,06:30,Thursday,0,Rainy,North Gate,Airport,University,97,71,168,6.7,Low,44,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,06:45,Thursday,0,Cloudy,Stadium,Tech Park,North Gate,242,153,395,15.8,Low,53,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-01,07:00,Thursday,0,Rainy,South Gate,Stadium,University,1199,523,1722,68.9,Medium,39,5,1,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-01,07:15,Thursday,0,Cloudy,Market,Central,Tech Park,724,782,1506,60.2,Medium,43,4,1,Medium,1,6,Deploy Crowd Control,Every 3 Minutes
2026-01-01,07:30,Thursday,0,Cloudy,South Gate,Stadium,University,567,666,1233,49.3,Low,39,6,4,Low,1,4,Normal Operation,Every 3 Minutes
2026-01-01,07:45,Thursday,0,Rainy,Stadium,Market,Market,646,721,1367,54.7,Medium,45,5,0,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-01,08:00,Thursday,0,Cloudy,Rail Hub,Stadium,Airport,938,1047,1985,79.4,Medium,62,5,0,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
