id,station_id,alert_type,message,severity,is_active,created_at,resolved_at
1,1,overcrowding,Alert at Dilshad Garden,high,True,2026-07-06 17:26:03.913946,
2,1,overcrowding,Alert at Dilshad Garden,medium,False,2026-07-06 18:26:03.914106,
3,2,delay,Alert at Jhilmil,medium,True,2026-07-06 07:26:03.914179,
4,2,overcrowding,Alert at Jhilmil,low,False,2026-07-07 21:26:03.914237,
5,2,maintenance,Alert at Jhilmil,high,True,2026-07-07 11:26:03.914309,
6,6,overcrowding,Alert at Seelam Pur,low,True,2026-07-06 00:26:03.914386,
7,6,delay,Alert at Seelam Pur,low,True,2026-07-06 01:26:03.914441,
8,6,overcrowding,Alert at Seelam Pur,low,False,2026-07-07 16:26:03.914514,
9,7,maintenance,Alert at Shastri Park,medium,True,2026-07-06 22:26:03.914738,
10,8,overcrowding,Alert at Kashmere Gate,low,False,2026-07-07 23:26:03.914849,
11,10,overcrowding,Alert at Pul Bangash,high,False,2026-07-06 14:26:03.914973,
12,11,delay,Alert at Pratap Nagar,low,False,2026-07-07 01:26:03.915091,
13,13,overcrowding,Alert at Inderlok,low,False,2026-07-07 17:26:03.915187,
14,14,maintenance,Alert at Kanhaiya Nagar,medium,False,2026-07-06 11:26:03.915283,
15,14,delay,Alert at Kanhaiya Nagar,high,True,2026-07-06 16:26:03.915376,
16,14,overcrowding,Alert at Kanhaiya Nagar,high,True,2026-07-07 06:26:03.915464,
17,15,delay,Alert at Keshav Puram,medium,True,2026-07-07 11:26:03.915679,
18,15,overcrowding,Alert at Keshav Puram,low,True,2026-07-06 05:26:03.915756,
19,15,overcrowding,Alert at Keshav Puram,low,True,2026-07-06 20:26:03.915818,
20,16,overcrowding,Alert at Netaji Subash Place,high,True,2026-07-06 09:26:03.915879,
21,16,overcrowding,Alert at Netaji Subash Place,low,False,2026-07-07 19:26:03.915934,
22,17,overcrowding,Alert at Kohat Enclave,medium,True,2026-07-07 13:26:03.916009,
23,17,overcrowding,Alert at Kohat Enclave,low,False,2026-07-06 09:26:03.916097,
24,17,delay,Alert at Kohat Enclave,high,True,2026-07-07 12:26:03.916178,
