id,station_id,day_of_week,hour,avg_passengers,peak_status
1,1,Monday,0,261,off-peak
2,1,Monday,1,129,off-peak
3,1,Monday,2,225,off-peak
4,1,Monday,3,392,off-peak
5,1,Monday,4,275,off-peak
6,1,Monday,5,204,off-peak
7,1,Monday,6,322,off-peak
8,1,Monday,7,857,peak
9,1,Monday,8,907,peak
10,1,Monday,9,1154,peak
11,1,Monday,10,236,off-peak
12,1,Monday,11,222,off-peak
13,1,Monday,12,345,off-peak
14,1,Monday,13,277,off-peak
15,1,Monday,14,215,off-peak
16,1,Monday,15,187,off-peak
17,1,Monday,16,238,off-peak
18,1,Monday,17,926,peak
19,1,Monday,18,809,peak
20,1,Monday,19,1199,peak
21,1,Monday,20,380,off-peak
22,1,Monday,21,377,off-peak
23,1,Monday,22,125,off-peak
24,1,Monday,23,398,off-peak
25,1,Tuesday,0,146,off-peak
26,1,Tuesday,1,230,off-peak
27,1,Tuesday,2,309,off-peak
28,1,Tuesday,3,367,off-peak
29,1,Tuesday,4,181,off-peak
30,1,Tuesday,5,191,off-peak
31,1,Tuesday,6,340,off-peak
32,1,Tuesday,7,928,peak
33,1,Tuesday,8,1062,peak
34,1,Tuesday,9,1020,peak
35,1,Tuesday,10,101,off-peak
36,1,Tuesday,11,398,off-peak
37,1,Tuesday,12,351,off-peak
38,1,Tuesday,13,245,off-peak
39,1,Tuesday,14,156,off-peak
40,1,Tuesday,15,230,off-peak
41,1,Tuesday,16,368,off-peak
42,1,Tuesday,17,1071,peak
43,1,Tuesday,18,1171,peak
44,1,Tuesday,19,1011,peak
45,1,Tuesday,20,354,off-peak
46,1,Tuesday,21,361,off-peak
47,1,Tuesday,22,367,off-peak
48,1,Tuesday,23,225,off-peak
49,1,Wednesday,0,161,off-peak
50,1,Wednesday,1,112,off-peak
51,1,Wednesday,2,254,off-peak
52,1,Wednesday,3,148,off-peak
53,1,Wednesday,4,296,off-peak
54,1,Wednesday,5,365,off-peak
55,1,Wednesday,6,298,off-peak
56,1,Wednesday,7,1189,peak
57,1,Wednesday,8,999,peak
58,1,Wednesday,9,1189,peak
59,1,Wednesday,10,246,off-peak
60,1,Wednesday,11,156,off-peak
61,1,Wednesday,12,382,off-peak
62,1,Wednesday,13,247,off-peak
63,1,Wednesday,14,307,off-peak
64,1,Wednesday,15,216,off-peak
65,1,Wednesday,16,161,off-peak
66,1,Wednesday,17,1184,peak
67,1,Wednesday,18,1106,peak
68,1,Wednesday,19,1155,peak
69,1,Wednesday,20,383,off-peak
70,1,Wednesday,21,359,off-peak
71,1,Wednesday,22,394,off-peak
72,1,Wednesday,23,237,off-peak
73,1,Thursday,0,386,off-peak
74,1,Thursday,1,279,off-peak
75,1,Thursday,2,149,off-peak
76,1,Thursday,3,150,off-peak
77,1,Thursday,4,331,off-peak
78,1,Thursday,5,122,off-peak
79,1,Thursday,6,265,off-peak
80,1,Thursday,7,809,peak
81,1,Thursday,8,988,peak
82,1,Thursday,9,1054,peak
83,1,Thursday,10,311,off-peak
84,1,Thursday,11,211,off-peak
85,1,Thursday,12,254,off-peak
86,1,Thursday,13,367,off-peak
87,1,Thursday,14,114,off-peak
88,1,Thursday,15,333,off-peak
89,1,Thursday,16,353,off-peak
90,1,Thursday,17,1109,peak
91,1,Thursday,18,1029,peak
92,1,Thursday,19,1178,peak
93,1,Thursday,20,277,off-peak
94,1,Thursday,21,316,off-peak
95,1,Thursday,22,379,off-peak
96,1,Thursday,23,123,off-peak
97,1,Friday,0,306,off-peak
98,1,Friday,1,168,off-peak
99,1,Friday,2,289,off-peak
100,1,Friday,3,250,off-peak
101,1,Friday,4,109,off-peak
102,1,Friday,5,151,off-peak
103,1,Friday,6,183,off-peak
104,1,Friday,7,1026,peak
105,1,Friday,8,1165,peak
106,1,Friday,9,965,peak
107,1,Friday,10,253,off-peak
108,1,Friday,11,261,off-peak
109,1,Friday,12,142,off-peak
110,1,Friday,13,222,off-peak
111,1,Friday,14,206,off-peak
112,1,Friday,15,176,off-peak
113,1,Friday,16,265,off-peak
114,1,Friday,17,1078,peak
115,1,Friday,18,909,peak
116,1,Friday,19,1174,peak
117,1,Friday,20,174,off-peak
118,1,Friday,21,245,off-peak
119,1,Friday,22,259,off-peak
120,1,Friday,23,346,off-peak
121,1,Saturday,0,182,off-peak
122,1,Saturday,1,308,off-peak
123,1,Saturday,2,117,off-peak
124,1,Saturday,3,126,off-peak
125,1,Saturday,4,227,off-peak
126,1,Saturday,5,379,off-peak
127,1,Saturday,6,295,off-peak
128,1,Saturday,7,1061,peak
129,1,Saturday,8,824,peak
130,1,Saturday,9,1022,peak
131,1,Saturday,10,110,off-peak
132,1,Saturday,11,122,off-peak
133,1,Saturday,12,145,off-peak
134,1,Saturday,13,284,off-peak
135,1,Saturday,14,136,off-peak
136,1,Saturday,15,228,off-peak
137,1,Saturday,16,338,off-peak
138,1,Saturday,17,1091,peak
139,1,Saturday,18,954,peak
140,1,Saturday,19,955,peak
141,1,Saturday,20,211,off-peak
142,1,Saturday,21,181,off-peak
143,1,Saturday,22,392,off-peak
144,1,Saturday,23,165,off-peak
145,1,Sunday,0,133,off-peak
146,1,Sunday,1,129,off-peak
147,1,Sunday,2,293,off-peak
148,1,Sunday,3,194,off-peak
149,1,Sunday,4,266,off-peak
150,1,Sunday,5,212,off-peak
151,1,Sunday,6,358,off-peak
152,1,Sunday,7,910,peak
153,1,Sunday,8,821,peak
154,1,Sunday,9,1046,peak
155,1,Sunday,10,203,off-peak
156,1,Sunday,11,143,off-peak
157,1,Sunday,12,339,off-peak
158,1,Sunday,13,119,off-peak
159,1,Sunday,14,252,off-peak
160,1,Sunday,15,349,off-peak
161,1,Sunday,16,134,off-peak
162,1,Sunday,17,1090,peak
163,1,Sunday,18,1157,peak
164,1,Sunday,19,1024,peak
165,1,Sunday,20,113,off-peak
166,1,Sunday,21,240,off-peak
167,1,Sunday,22,399,off-peak
168,1,Sunday,23,323,off-peak
169,2,Monday,0,118,off-peak
170,2,Monday,1,182,off-peak
171,2,Monday,2,348,off-peak
172,2,Monday,3,213,off-peak
173,2,Monday,4,194,off-peak
174,2,Monday,5,267,off-peak
175,2,Monday,6,209,off-peak
176,2,Monday,7,1082,peak
177,2,Monday,8,1060,peak
178,2,Monday,9,845,peak
179,2,Monday,10,352,off-peak
180,2,Monday,11,144,off-peak
181,2,Monday,12,173,off-peak
182,2,Monday,13,378,off-peak
183,2,Monday,14,241,off-peak
184,2,Monday,15,216,off-peak
185,2,Monday,16,373,off-peak
186,2,Monday,17,1056,peak
187,2,Monday,18,1191,peak
188,2,Monday,19,898,peak
189,2,Monday,20,228,off-peak
190,2,Monday,21,148,off-peak
191,2,Monday,22,323,off-peak
192,2,Monday,23,323,off-peak
193,2,Tuesday,0,101,off-peak
194,2,Tuesday,1,217,off-peak
195,2,Tuesday,2,375,off-peak
196,2,Tuesday,3,276,off-peak
197,2,Tuesday,4,377,off-peak
198,2,Tuesday,5,363,off-peak
199,2,Tuesday,6,321,off-peak
200,2,Tuesday,7,923,peak
201,2,Tuesday,8,1057,peak
202,2,Tuesday,9,1102,peak
203,2,Tuesday,10,131,off-peak
204,2,Tuesday,11,243,off-peak
205,2,Tuesday,12,338,off-peak
206,2,Tuesday,13,343,off-peak
207,2,Tuesday,14,308,off-peak
208,2,Tuesday,15,180,off-peak
209,2,Tuesday,16,196,off-peak
210,2,Tuesday,17,1168,peak
211,2,Tuesday,18,1168,peak
212,2,Tuesday,19,807,peak
213,2,Tuesday,20,341,off-peak
214,2,Tuesday,21,211,off-peak
215,2,Tuesday,22,373,off-peak
216,2,Tuesday,23,127,off-peak
217,2,Wednesday,0,242,off-peak
218,2,Wednesday,1,200,off-peak
219,2,Wednesday,2,151,off-peak
220,2,Wednesday,3,160,off-peak
221,2,Wednesday,4,305,off-peak
222,2,Wednesday,5,256,off-peak
223,2,Wednesday,6,264,off-peak
224,2,Wednesday,7,1010,peak
225,2,Wednesday,8,988,peak
226,2,Wednesday,9,800,peak
227,2,Wednesday,10,140,off-peak
228,2,Wednesday,11,148,off-peak
229,2,Wednesday,12,184,off-peak
230,2,Wednesday,13,275,off-peak
231,2,Wednesday,14,337,off-peak
232,2,Wednesday,15,313,off-peak
233,2,Wednesday,16,389,off-peak
234,2,Wednesday,17,967,peak
235,2,Wednesday,18,1183,peak
236,2,Wednesday,19,1080,peak
237,2,Wednesday,20,301,off-peak
238,2,Wednesday,21,234,off-peak
239,2,Wednesday,22,243,off-peak
240,2,Wednesday,23,379,off-peak
241,2,Thursday,0,394,off-peak
242,2,Thursday,1,202,off-peak
243,2,Thursday,2,318,off-peak
244,2,Thursday,3,216,off-peak
245,2,Thursday,4,168,off-peak
