id,trip_id,station_id,occupancy_percentage,current_passengers,capacity,timestamp
1,0,1,91.0,910,1000,2026-07-07 23:26:03.595356
2,0,2,40.0,400,1000,2026-07-07 23:26:03.595620
3,0,3,45.0,450,1000,2026-07-07 23:26:03.595703
4,0,4,86.0,860,1000,2026-07-07 23:26:03.595764
5,0,5,76.0,760,1000,2026-07-07 23:26:03.595822
6,0,6,75.0,750,1000,2026-07-07 23:26:03.595878
7,0,7,76.0,760,1000,2026-07-07 23:26:03.595945
8,0,8,87.0,870,1000,2026-07-07 23:26:03.596001
9,0,9,78.0,780,1000,2026-07-07 23:26:03.596055
10,0,10,62.0,620,1000,2026-07-07 23:26:03.596115
11,0,11,62.0,620,1000,2026-07-07 23:26:03.596179
12,0,12,68.0,680,1000,2026-07-07 23:26:03.596281
13,0,13,57.0,570,1000,2026-07-07 23:26:03.596373
14,0,14,69.0,690,1000,2026-07-07 23:26:03.596470
15,0,15,47.0,470,1000,2026-07-07 23:26:03.596566
16,0,16,92.0,920,1000,2026-07-07 23:26:03.596671
17,0,17,40.0,400,1000,2026-07-07 23:26:03.596754
18,0,18,93.0,930,1000,2026-07-07 23:26:03.596831
19,0,19,46.0,460,1000,2026-07-07 23:26:03.596978
20,0,20,47.0,470,1000,2026-07-07 23:26:03.597084
21,0,21,41.0,410,1000,2026-07-07 23:26:03.597158
22,0,22,91.0,910,1000,2026-07-07 23:26:03.597217
23,0,23,40.0,400,1000,2026-07-07 23:26:03.597265
24,0,24,88.0,880,1000,2026-07-07 23:26:03.597311
25,0,25,48.0,480,1000,2026-07-07 23:26:03.597357
26,0,26,68.0,680,1000,2026-07-07 23:26:03.597415
27,0,27,48.0,480,1000,2026-07-07 23:26:03.597466
28,0,28,90.0,900,1000,2026-07-07 23:26:03.597519
29,0,29,81.0,810,1000,2026-07-07 23:26:03.597678
30,0,30,78.0,780,1000,2026-07-07 23:26:03.597769
31,0,31,49.0,490,1000,2026-07-07 23:26:03.597831
32,0,32,41.0,410,1000,2026-07-07 23:26:03.597903
33,0,33,83.0,830,1000,2026-07-07 23:26:03.598018
34,0,34,59.0,590,1000,2026-07-07 23:26:03.598161
35,0,35,62.0,620,1000,2026-07-07 23:26:03.598246
36,0,36,77.0,770,1000,2026-07-07 23:26:03.598333
37,0,37,83.0,830,1000,2026-07-07 23:26:03.598406
38,0,38,87.0,870,1000,2026-07-07 23:26:03.598480
39,0,39,65.0,650,1000,2026-07-07 23:26:03.598551
40,0,40,89.0,890,1000,2026-07-07 23:26:03.598637
41,0,41,95.0,950,1000,2026-07-07 23:26:03.598734
42,0,42,57.0,570,1000,2026-07-07 23:26:03.598837
43,0,43,77.0,770,1000,2026-07-07 23:26:03.598894
44,0,44,50.0,500,1000,2026-07-07 23:26:03.598950
45,0,45,49.0,490,1000,2026-07-07 23:26:03.599069
46,0,46,47.0,470,1000,2026-07-07 23:26:03.599131
47,0,47,54.0,540,1000,2026-07-07 23:26:03.599178
48,0,48,49.0,490,1000,2026-07-07 23:26:03.599223
49,0,49,84.0,840,1000,2026-07-07 23:26:03.599267
50,0,50,51.0,510,1000,2026-07-07 23:26:03.599311
51,1,1,76.0,760,1000,2026-07-07 23:26:03.599361
52,1,2,85.0,850,1000,2026-07-07 23:26:03.599407
53,1,3,60.0,600,1000,2026-07-07 23:26:03.599452
54,1,4,72.0,720,1000,2026-07-07 23:26:03.599528
55,1,5,78.0,780,1000,2026-07-07 23:26:03.599727
56,1,6,53.0,530,1000,2026-07-07 23:26:03.599848
57,1,7,93.0,930,1000,2026-07-07 23:26:03.600003
58,1,8,69.0,690,1000,2026-07-07 23:26:03.600390
59,1,9,75.0,750,1000,2026-07-07 23:26:03.600457
60,1,10,44.0,440,1000,2026-07-07 23:26:03.600508
61,1,11,62.0,620,1000,2026-07-07 23:26:03.600564
62,1,12,78.0,780,1000,2026-07-07 23:26:03.600651
63,1,13,58.0,580,1000,2026-07-07 23:26:03.600712
64,1,14,73.0,730,1000,2026-07-07 23:26:03.600778
65,1,15,43.0,430,1000,2026-07-07 23:26:03.600831
66,1,16,52.0,520,1000,2026-07-07 23:26:03.600876
67,1,17,90.0,900,1000,2026-07-07 23:26:03.600920
68,1,18,74.0,740,1000,2026-07-07 23:26:03.601003
69,1,19,74.0,740,1000,2026-07-07 23:26:03.601049
70,1,20,45.0,450,1000,2026-07-07 23:26:03.601093
71,1,21,64.0,640,1000,2026-07-07 23:26:03.601137
72,1,22,40.0,400,1000,2026-07-07 23:26:03.601187
73,1,23,84.0,840,1000,2026-07-07 23:26:03.601231
74,1,24,85.0,850,1000,2026-07-07 23:26:03.601275
75,1,25,65.0,650,1000,2026-07-07 23:26:03.601341
76,1,26,91.0,910,1000,2026-07-07 23:26:03.601391
77,1,27,87.0,870,1000,2026-07-07 23:26:03.601437
78,1,28,58.0,580,1000,2026-07-07 23:26:03.601487
79,1,29,82.0,820,1000,2026-07-07 23:26:03.601535
80,1,30,58.0,580,1000,2026-07-07 23:26:03.601583
81,1,31,83.0,830,1000,2026-07-07 23:26:03.601627
82,1,32,55.0,550,1000,2026-07-07 23:26:03.601679
83,1,33,56.0,560,1000,2026-07-07 23:26:03.601724
84,1,34,93.0,930,1000,2026-07-07 23:26:03.601771
85,1,35,90.0,900,1000,2026-07-07 23:26:03.601816
86,1,36,61.0,610,1000,2026-07-07 23:26:03.601861
87,1,37,53.0,530,1000,2026-07-07 23:26:03.601910
88,1,38,73.0,730,1000,2026-07-07 23:26:03.601955
89,1,39,43.0,430,1000,2026-07-07 23:26:03.601999
90,1,40,95.0,950,1000,2026-07-07 23:26:03.602043
91,1,41,81.0,810,1000,2026-07-07 23:26:03.602086
92,1,42,79.0,790,1000,2026-07-07 23:26:03.602130
93,1,43,67.0,670,1000,2026-07-07 23:26:03.602174
94,1,44,47.0,470,1000,2026-07-07 23:26:03.602228
95,1,45,49.0,490,1000,2026-07-07 23:26:03.602273
96,1,46,64.0,640,1000,2026-07-07 23:26:03.602322
97,1,47,64.0,640,1000,2026-07-07 23:26:03.602367
98,1,48,80.0,800,1000,2026-07-07 23:26:03.602420
99,1,49,49.0,490,1000,2026-07-07 23:26:03.602465
100,1,50,46.0,460,1000,2026-07-07 23:26:03.602509
101,10,1,57.0,570,1000,2026-07-07 23:26:03.602558
102,10,2,84.0,840,1000,2026-07-07 23:26:03.602604
103,10,3,42.0,420,1000,2026-07-07 23:26:03.602650
104,10,4,94.0,940,1000,2026-07-07 23:26:03.602700
105,10,5,62.0,620,1000,2026-07-07 23:26:03.602747
106,10,6,41.0,410,1000,2026-07-07 23:26:03.602792
107,10,7,58.0,580,1000,2026-07-07 23:26:03.602836
108,10,8,41.0,410,1000,2026-07-07 23:26:03.602886
109,10,9,73.0,730,1000,2026-07-07 23:26:03.602930
110,10,10,92.0,920,1000,2026-07-07 23:26:03.603121
111,10,11,79.0,790,1000,2026-07-07 23:26:03.603195
112,10,12,75.0,750,1000,2026-07-07 23:26:03.603250
113,10,13,87.0,870,1000,2026-07-07 23:26:03.603296
114,10,14,95.0,950,1000,2026-07-07 23:26:03.603354
115,10,15,95.0,950,1000,2026-07-07 23:26:03.603400
116,10,16,63.0,630,1000,2026-07-07 23:26:03.603448
117,10,17,58.0,580,1000,2026-07-07 23:26:03.603493
118,10,18,57.0,570,1000,2026-07-07 23:26:03.603538
119,10,19,54.0,540,1000,2026-07-07 23:26:03.603582
120,10,20,40.0,400,1000,2026-07-07 23:26:03.603631
121,10,21,68.0,680,1000,2026-07-07 23:26:03.603678
122,10,22,57.0,570,1000,2026-07-07 23:26:03.603723
123,10,23,62.0,620,1000,2026-07-07 23:26:03.603775
124,10,24,66.0,660,1000,2026-07-07 23:26:03.603822
125,10,25,61.0,610,1000,2026-07-07 23:26:03.603866
126,10,26,82.0,820,1000,2026-07-07 23:26:03.603914
127,10,27,80.0,800,1000,2026-07-07 23:26:03.603959
128,10,28,57.0,570,1000,2026-07-07 23:26:03.604003
129,10,29,74.0,740,1000,2026-07-07 23:26:03.604049
130,10,30,88.0,880,1000,2026-07-07 23:26:03.604093
131,10,31,95.0,950,1000,2026-07-07 23:26:03.604140
132,10,32,51.0,510,1000,2026-07-07 23:26:03.604185
133,10,33,55.0,550,1000,2026-07-07 23:26:03.604234
134,10,34,73.0,730,1000,2026-07-07 23:26:03.604282
135,10,35,79.0,790,1000,2026-07-07 23:26:03.604328
136,10,36,91.0,910,1000,2026-07-07 23:26:03.604372
137,10,37,53.0,530,1000,2026-07-07 23:26:03.604417
138,10,38,94.0,940,1000,2026-07-07 23:26:03.604467
139,10,39,81.0,810,1000,2026-07-07 23:26:03.604511
140,10,40,69.0,690,1000,2026-07-07 23:26:03.604558
141,10,41,67.0,670,1000,2026-07-07 23:26:03.604605
142,10,42,95.0,950,1000,2026-07-07 23:26:03.604650
143,10,43,60.0,600,1000,2026-07-07 23:26:03.604698
144,10,44,82.0,820,1000,2026-07-07 23:26:03.604742
145,10,45,44.0,440,1000,2026-07-07 23:26:03.604811
146,10,46,44.0,440,1000,2026-07-07 23:26:03.604858
147,10,47,67.0,670,1000,2026-07-07 23:26:03.604902
148,10,48,59.0,590,1000,2026-07-07 23:26:03.604945
149,10,49,76.0,760,1000,2026-07-07 23:26:03.604989
150,10,50,58.0,580,1000,2026-07-07 23:26:03.605032
151,100,1,49.0,490,1000,2026-07-07 23:26:03.605078
152,100,2,59.0,590,1000,2026-07-07 23:26:03.605131
153,100,3,76.0,760,1000,2026-07-07 23:26:03.605180
154,100,4,61.0,610,1000,2026-07-07 23:26:03.605225
155,100,5,58.0,580,1000,2026-07-07 23:26:03.605270
156,100,6,71.0,710,1000,2026-07-07 23:26:03.605314
157,100,7,95.0,950,1000,2026-07-07 23:26:03.605361
158,100,8,58.0,580,1000,2026-07-07 23:26:03.605405
159,100,9,62.0,620,1000,2026-07-07 23:26:03.605448
160,100,10,66.0,660,1000,2026-07-07 23:26:03.605492
161,100,11,68.0,680,1000,2026-07-07 23:26:03.605535
162,100,12,67.0,670,1000,2026-07-07 23:26:03.605583
163,100,13,42.0,420,1000,2026-07-07 23:26:03.605627
164,100,14,94.0,940,1000,2026-07-07 23:26:03.605673
165,100,15,78.0,780,1000,2026-07-07 23:26:03.605717
166,100,16,44.0,440,1000,2026-07-07 23:26:03.605766
167,100,17,90.0,900,1000,2026-07-07 23:26:03.605809
168,100,18,74.0,740,1000,2026-07-07 23:26:03.605853
169,100,19,75.0,750,1000,2026-07-07 23:26:03.605897
170,100,20,72.0,720,1000,2026-07-07 23:26:03.605946
171,100,21,42.0,420,1000,2026-07-07 23:26:03.605995
172,100,22,78.0,780,1000,2026-07-07 23:26:03.606046
173,100,23,43.0,430,1000,2026-07-07 23:26:03.606097
174,100,24,47.0,470,1000,2026-07-07 23:26:03.606147
175,100,25,52.0,520,1000,2026-07-07 23:26:03.606192
176,100,26,85.0,850,1000,2026-07-07 23:26:03.606237
177,100,27,65.0,650,1000,2026-07-07 23:26:03.606281
178,100,28,73.0,730,1000,2026-07-07 23:26:03.606325
179,100,29,43.0,430,1000,2026-07-07 23:26:03.606369
180,100,30,67.0,670,1000,2026-07-07 23:26:03.606416
181,100,31,87.0,870,1000,2026-07-07 23:26:03.606461
182,100,32,60.0,600,1000,2026-07-07 23:26:03.606508
183,100,33,87.0,870,1000,2026-07-07 23:26:03.606559
184,100,34,49.0,490,1000,2026-07-07 23:26:03.606806
185,100,35,73.0,730,1000,2026-07-07 23:26:03.606907
186,100,36,86.0,860,1000,2026-07-07 23:26:03.606986
187,100,37,72.0,720,1000,2026-07-07 23:26:03.607065
188,100,38,83.0,830,1000,2026-07-07 23:26:03.607149
189,100,39,93.0,930,1000,2026-07-07 23:26:03.607210
190,100,40,93.0,930,1000,2026-07-07 23:26:03.607258
191,100,41,40.0,400,1000,2026-07-07 23:26:03.607303
192,100,42,91.0,910,1000,2026-07-07 23:26:03.607352
193,100,43,72.0,720,1000,2026-07-07 23:26:03.607396
194,100,44,83.0,830,1000,2026-07-07 23:26:03.607446
195,100,45,44.0,440,1000,2026-07-07 23:26:03.607491
196,100,46,83.0,830,1000,2026-07-07 23:26:03.607628
197,100,47,63.0,630,1000,2026-07-07 23:26:03.607683
198,100,48,45.0,450,1000,2026-07-07 23:26:03.607809
199,100,49,77.0,770,1000,2026-07-07 23:26:03.607856
200,100,50,55.0,550,1000,2026-07-07 23:26:03.607901
201,1000,1,67.0,670,1000,2026-07-07 23:26:03.607955
202,1000,2,46.0,460,1000,2026-07-07 23:26:03.608001
203,1000,3,49.0,490,1000,2026-07-07 23:26:03.608050
204,1000,4,53.0,530,1000,2026-07-07 23:26:03.608094
205,1000,5,56.0,560,1000,2026-07-07 23:26:03.608142
206,1000,6,86.0,860,1000,2026-07-07 23:26:03.608190
207,1000,7,60.0,600,1000,2026-07-07 23:26:03.608353
208,1000,8,85.0,850,1000,2026-07-07 23:26:03.608412
209,1000,9,95.0,950,1000,2026-07-07 23:26:03.608485
210,1000,10,53.0,530,1000,2026-07-07 23:26:03.608614
211,1000,11,77.0,770,1000,2026-07-07 23:26:03.608704
212,1000,12,85.0,850,1000,2026-07-07 23:26:03.608755
213,1000,13,43.0,430,1000,2026-07-07 23:26:03.608801
214,1000,14,43.0,430,1000,2026-07-07 23:26:03.608846
215,1000,15,49.0,490,1000,2026-07-07 23:26:03.608891
216,1000,16,76.0,760,1000,2026-07-07 23:26:03.608937
217,1000,17,75.0,750,1000,2026-07-07 23:26:03.608981
218,1000,18,91.0,910,1000,2026-07-07 23:26:03.609024
219,1000,19,94.0,940,1000,2026-07-07 23:26:03.609069
220,1000,20,72.0,720,1000,2026-07-07 23:26:03.609113
221,1000,21,90.0,900,1000,2026-07-07 23:26:03.609167
222,1000,22,71.0,710,1000,2026-07-07 23:26:03.609215
223,1000,23,47.0,470,1000,2026-07-07 23:26:03.609259
224,1000,24,95.0,950,1000,2026-07-07 23:26:03.609308
225,1000,25,93.0,930,1000,2026-07-07 23:26:03.609354
226,1000,26,84.0,840,1000,2026-07-07 23:26:03.609404
227,1000,27,44.0,440,1000,2026-07-07 23:26:03.609449
228,1000,28,58.0,580,1000,2026-07-07 23:26:03.609494
229,1000,29,62.0,620,1000,2026-07-07 23:26:03.609604
230,1000,30,86.0,860,1000,2026-07-07 23:26:03.609649
231,1000,31,67.0,670,1000,2026-07-07 23:26:03.609699
232,1000,32,42.0,420,1000,2026-07-07 23:26:03.609743
233,1000,33,82.0,820,1000,2026-07-07 23:26:03.609788
234,1000,34,72.0,720,1000,2026-07-07 23:26:03.609833
235,1000,35,45.0,450,1000,2026-07-07 23:26:03.609886
236,1000,36,94.0,940,1000,2026-07-07 23:26:03.609934
237,1000,37,64.0,640,1000,2026-07-07 23:26:03.609982
238,1000,38,52.0,520,1000,2026-07-07 23:26:03.610026
239,1000,39,86.0,860,1000,2026-07-07 23:26:03.610070
240,1000,40,48.0,480,1000,2026-07-07 23:26:03.610118
241,1000,41,79.0,790,1000,2026-07-07 23:26:03.610162
242,1000,42,83.0,830,1000,2026-07-07 23:26:03.610212
243,1000,43,85.0,850,1000,2026-07-07 23:26:03.610256
244,1000,44,50.0,500,1000,2026-07-07 23:26:03.610301
245,1000,45,82.0,820,1000,2026-07-07 23:26:03.610344
246,1000,46,94.0,940,1000,2026-07-07 23:26:03.610388
247,1000,47,90.0,900,1000,2026-07-07 23:26:03.610439
248,1000,48,66.0,660,1000,2026-07-07 23:26:03.610486
249,1000,49,90.0,900,1000,2026-07-07 23:26:03.610550
250,1000,50,68.0,680,1000,2026-07-07 23:26:03.610608
251,10000,1,94.0,940,1000,2026-07-07 23:26:03.610655
252,10000,2,42.0,420,1000,2026-07-07 23:26:03.610700
253,10000,3,65.0,650,1000,2026-07-07 23:26:03.610748
254,10000,4,89.0,890,1000,2026-07-07 23:26:03.610793
255,10000,5,61.0,610,1000,2026-07-07 23:26:03.610836
256,10000,6,62.0,620,1000,2026-07-07 23:26:03.610884
257,10000,7,53.0,530,1000,2026-07-07 23:26:03.610928
258,10000,8,58.0,580,1000,2026-07-07 23:26:03.610972
259,10000,9,60.0,600,1000,2026-07-07 23:26:03.611016
260,10000,10,52.0,520,1000,2026-07-07 23:26:03.611069
261,10000,11,56.0,560,1000,2026-07-07 23:26:03.611113
262,10000,12,43.0,430,1000,2026-07-07 23:26:03.611157
263,10000,13,45.0,450,1000,2026-07-07 23:26:03.611202
264,10000,14,63.0,630,1000,2026-07-07 23:26:03.611251
265,10000,15,61.0,610,1000,2026-07-07 23:26:03.611296
266,10000,16,61.0,610,1000,2026-07-07 23:26:03.611340
267,10000,17,86.0,860,1000,2026-07-07 23:26:03.611391
268,10000,18,71.0,710,1000,2026-07-07 23:26:03.611437
269,10000,19,40.0,400,1000,2026-07-07 23:26:03.611485
270,10000,20,42.0,420,1000,2026-07-07 23:26:03.611533
271,10000,21,60.0,600,1000,2026-07-07 23:26:03.611577
272,10000,22,89.0,890,1000,2026-07-07 23:26:03.611622
273,10000,23,80.0,800,1000,2026-07-07 23:26:03.611666
274,10000,24,71.0,710,1000,2026-07-07 23:26:03.611711
275,10000,25,65.0,650,1000,2026-07-07 23:26:03.611756
276,10000,26,52.0,520,1000,2026-07-07 23:26:03.611807
277,10000,27,95.0,950,1000,2026-07-07 23:26:03.611851
278,10000,28,69.0,690,1000,2026-07-07 23:26:03.611902
279,10000,29,73.0,730,1000,2026-07-07 23:26:03.611949
280,10000,30,50.0,500,1000,2026-07-07 23:26:03.611993
281,10000,31,61.0,610,1000,2026-07-07 23:26:03.612038
282,10000,32,83.0,830,1000,2026-07-07 23:26:03.612082
283,10000,33,51.0,510,1000,2026-07-07 23:26:03.612127
284,10000,34,45.0,450,1000,2026-07-07 23:26:03.612172
285,10000,35,41.0,410,1000,2026-07-07 23:26:03.612224
286,10000,36,48.0,480,1000,2026-07-07 23:26:03.612268
287,10000,37,80.0,800,1000,2026-07-07 23:26:03.612315
288,10000,38,57.0,570,1000,2026-07-07 23:26:03.612360
289,10000,39,91.0,910,1000,2026-07-07 23:26:03.612409
290,10000,40,61.0,610,1000,2026-07-07 23:26:03.612454
291,10000,41,46.0,460,1000,2026-07-07 23:26:03.612499
292,10000,42,57.0,570,1000,2026-07-07 23:26:03.612564
293,10000,43,93.0,930,1000,2026-07-07 23:26:03.612611
294,10000,44,45.0,450,1000,2026-07-07 23:26:03.612657
295,10000,45,84.0,840,1000,2026-07-07 23:26:03.612701
296,10000,46,80.0,800,1000,2026-07-07 23:26:03.612752
297,10000,47,53.0,530,1000,2026-07-07 23:26:03.612797
298,10000,48,81.0,810,1000,2026-07-07 23:26:03.612842
299,10000,49,55.0,550,1000,2026-07-07 23:26:03.612897
300,10000,50,45.0,450,1000,2026-07-07 23:26:03.612941
