trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_c,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed,time_min,scheduled_departure_min,scheduled_arrival_min,is_delayed_5min,year,month,day_of_week,is_weekend,actual_departure_delay_min_outlier,actual_arrival_delay_min_outlier,event_attendance_est_outlier,traffic_congestion_index_outlier
T00000,2023-01-01,05:00:00,Tram,Route_15,Station_31,Station_6,05:02:00,05:55:00,12,3,Storm,5.1,52,46,13.0,Unknown,500,81,0,1,6,Winter,0,300.0,302.0,355.0,1,2023,1,6,1,0,0,0,0
T00001,2023-01-01,05:15:00,Metro,Route_12,Station_49,Station_32,05:16:00,05:55:00,15,9,Rain,34.0,64,11,11.4,Unknown,0,53,0,0,6,Autumn,1,315.0,316.0,355.0,1,2023,1,6,1,0,0,0,0
T00002,2023-01-01,05:30:00,Bus,Route_16,Station_29,Station_42,05:33:00,06:17:00,0,0,Clear,29.5,35,31,14.1,Sports,0,67,1,0,6,Autumn,0,330.0,333.0,377.0,0,2023,1,6,1,0,0,0,0
T00003,2023-01-01,05:45:00,Tram,Route_19,Station_26,Station_18,05:49:00,06:08:00,15,10,Clear,27.4,55,41,6.4,Unknown,500,84,0,0,6,Winter,1,345.0,349.0,368.0,1,2023,1,6,1,0,0,0,0
T00004,2023-01-01,06:00:00,Tram,Route_8,Station_18,Station_15,06:00:00,06:35:00,-1,14,Snow,0.1,90,30,18.5,Unknown,500,46,0,0,6,Spring,1,360.0,360.0,395.0,1,2023,1,6,1,0,0,0,0
T00005,2023-01-01,06:15:00,Metro,Route_17,Station_32,Station_40,06:15:00,06:56:00,7,4,Rain,25.2,44,21,2.3,Protest,0,41,0,0,6,Spring,0,375.0,375.0,416.0,1,2023,1,6,1,0,0,0,0
T00006,2023-01-01,06:30:00,Bus,Route_5,Station_22,Station_32,06:34:00,07:01:00,8,28,Storm,3.6,61,16,6.4,Parade,0,22,1,1,6,Spring,1,390.0,394.0,421.0,1,2023,1,6,1,0,0,0,0
T00007,2023-01-01,06:45:00,Bus,Route_16,Station_38,Station_9,06:47:00,07:20:00,0,23,Clear,34.1,41,19,0.6,Unknown,0,85,0,0,6,Spring,1,405.0,407.0,440.0,1,2023,1,6,1,0,0,0,0
T00008,2023-01-01,07:00:00,Tram,Route_6,Station_17,Station_37,07:01:00,07:59:00,4,19,Clear,-2.9,34,19,5.4,Concert,500,64,0,0,6,Summer,1,420.0,421.0,479.0,1,2023,1,6,1,0,0,0,0
T00009,2023-01-01,07:15:00,Train,Route_8,Station_23,Station_10,07:17:00,08:12:00,5,3,Fog,9.1,93,42,4.4,Unknown,50000,88,0,0,6,Summer,0,435.0,437.0,492.0,0,2023,1,6,1,0,0,1,0
T00010,2023-01-01,07:30:00,Tram,Route_18,Station_24,Station_20,07:30:00,08:26:00,16,8,Snow,12.1,56,7,1.0,Unknown,0,53,0,0,6,Winter,1,450.0,450.0,506.0,1,2023,1,6,1,0,0,0,0
T00011,2023-01-01,07:45:00,Tram,Route_12,Station_50,Station_6,07:49:00,08:33:00,15,21,Cloudy,28.0,74,46,9.8,Unknown,2000,91,0,0,6,Summer,1,465.0,469.0,513.0,1,2023,1,6,1,0,0,0,0
T00012,2023-01-01,08:00:00,Tram,Route_15,Station_8,Station_48,08:04:00,08:37:00,10,-1,Clear,25.6,64,33,9.4,Parade,0,10,0,0,6,Summer,0,480.0,484.0,517.0,1,2023,1,6,1,0,0,0,0
