station_code,station_name,state,zone,address,geometry_type,longitude,latitude,coord_invalid,code_length,name_word_count,is_junction,is_road_station,code_length_outlier,name_word_count_outlier
BDHL,Badhal,Rajasthan,NWR,"Kishangarh Renwal, Rajasthan",Point,75.4516454,27.2520587,0,4,1,0,0,0,0
XX-BECE,Xx-Bece,Unknown,Unknown,Unknown,Unknown,,,1,7,1,0,0,1,0
XX-BSPY,Xx-Bspy,Unknown,Unknown,Unknown,Unknown,,,1,7,1,0,0,1,0
YY-BPLC,Yy-Bplc,Unknown,Unknown,Unknown,Unknown,,,1,7,1,0,0,1,0
KHH,Kichha,Uttar Pradesh,NER,"Kichha, Uttar Pradesh",Point,79.519746,28.913427,0,3,1,0,0,0,0
SRKN,Sherekan,Rajasthan,NWR,"Mdr 89, Rajasthan",Point,74.43499088287354,29.55519806064484,0,4,1,0,0,0,0
BKKA,Bhukarka,Rajasthan,NWR,"Bhukarka, Rajasthan",Point,74.75103096105158,29.238227312503696,0,4,1,0,0,0,0
NHR,Nohar,Rajasthan,NWR,"State Highway 36, Rajasthan",Point,74.77362781763077,29.192562738768984,0,3,1,0,0,0,0
PRGD,Perungudi,Tamil Nadu,SR,"Chennai, Tamil Nadu",Point,80.231363,12.975217,0,4,1,0,0,0,0
KNNA,Khinaniyan,Haryana,NWR,"State Highway 23, Haryana",Point,74.7179570607841,29.345637263205944,0,4,1,0,0,0,0
JKR,Jaulkhera,Unknown,Unknown,Unknown,Point,78.216684,21.838466,0,3,1,0,0,0,0
BYS,Barsali,Unknown,Unknown,Unknown,Point,78.03136099999999,21.909813,0,3,1,0,0,0,0
GW,Girwar,Unknown,Unknown,Unknown,Point,78.936311,23.838186,0,2,1,0,0,0,0
DGD,Dangidhar,Unknown,Unknown,Unknown,Point,79.019912,23.871771000000003,0,3,1,0,0,0,0
DOD,Dhodhar,Madhya Pradesh,WR,"Dhodar, Madhya Pradesh",Point,75.10354600000001,23.770741,0,3,1,0,0,0,0
GAJ,Ganeshganj,Unknown,Unknown,Unknown,Point,79.074633,23.895862,0,3,1,0,0,0,0
JNM,Jayanagar Majilpur Halt,West Bengal,ER,"Jaynagar, West Bengal",Point,88.415324,22.168635,0,3,3,0,0,0,0
NSD,Nasirabad,Rajasthan,NWR,"Nasirabad, Rajasthan",Point,74.71699100000001,26.29446,0,3,1,0,0,0,0
PHA,Patharia,Unknown,Unknown,Unknown,Point,79.192899,23.905726,0,3,1,0,0,0,0
NZB,Nizamabad,Andhra Pradesh,SCR,"Nizamabad, Andhra Pradesh",Point,78.103238,18.679165,0,3,1,0,0,0,0
RJO,Rajendra Pul,Unknown,Unknown,Unknown,Point,86.01054599999999,25.387447,0,3,2,0,0,0,0
ADT,Aduturai,Tamil Nadu,SR,"Aduthurai, Tamil Nadu",Point,79.478668,11.009165,0,3,1,0,0,0,0
KMU,Kumbakonam,Tamil Nadu,SR,"Kumbakonam, Tamil Nadu",Point,79.388644,10.952962,0,3,1,0,0,0,0
MNM,Manamadurai Jn,Tamil Nadu,SR,"Sivaganga, Tamil Nadu",Point,78.45351,9.681539,0,3,2,1,0,0,0
GKP,Gorakhpur Jn,Unknown,Unknown,Unknown,Point,83.381499,26.759311,0,3,2,1,0,0,0
BJUP,Bjup,Unknown,Unknown,Unknown,Unknown,,,1,4,1,0,0,0,0
VRM,Varnama,Unknown,Unknown,Unknown,Point,73.16928300000001,22.184274,0,3,1,0,0,0,0
GKC,Gorakhpur Cant,Unknown,Unknown,Unknown,Point,83.416821,26.750649,0,3,2,0,0,0,0
ITA,Itola,Unknown,Unknown,Unknown,Point,73.156746,22.149889,0,3,1,0,0,0,0
CIKA,Cika,Unknown,Unknown,Unknown,Unknown,,,1,4,1,0,0,0,0
XX-CPHO,Xx-Cpho,Unknown,Unknown,Unknown,Unknown,,,1,7,1,0,0,1,0
BTU,Baraut,Uttar Pradesh,NR,"Baraut, Uttar Pradesh",Point,77.273006,29.09692,0,3,1,0,0,0,0
MOGA,Moga,Punjab,NR,"Moga, Punjab",Point,75.16846699999999,30.817296,0,4,1,0,0,0,0
SIOB,Samakhiali Jn,Unknown,Unknown,Unknown,Point,70.503394,23.309819,0,4,2,1,0,0,0
LLHW,Llhw,Unknown,Unknown,Unknown,Unknown,,,1,4,1,0,0,0,0
RDK,Rasheedpura Khori,Rajasthan,NWR,"Mdr 87, Rajasthan",Point,75.087121,27.713786,0,3,2,0,0,0,0
PVD,Peddavadiapudi,Unknown,Unknown,Unknown,Point,80.612645,16.414205000000003,0,3,1,0,0,0,0
YLM,Ellamanchili,Unknown,Unknown,Unknown,Point,82.85262,17.553652000000003,0,3,1,0,0,0,0
CHPT,Chatrappatti,Unknown,Unknown,Unknown,Point,77.655113,10.476971,0,4,1,0,0,0,0
JLD,Jarwal Road,Unknown,Unknown,Unknown,Point,81.540406,27.120389,0,3,2,0,1,0,0
BRJN,Brajrajnagar,Unknown,Unknown,Unknown,Point,83.923653,21.822718,0,4,1,0,0,0,0
