station_nlc,station,borough,note,weekday,saturday,sunday,weekday_1,saturday_1,sunday_1,million,source_sheet,year,station_nlc_outlier,weekday_outlier,saturday_outlier,sunday_outlier,weekday_1_outlier,saturday_1_outlier,sunday_1_outlier,million_outlier,year_outlier
625.0,King'S Cross St. Pancras,Camden,,149150.0,117237.0,98579.0,146864.0,112360.0,89348.0,97.918279,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
747.0,Waterloo,Lambeth,T,147574.0,91841.0,55080.0,149577.0,90703.0,56770.0,91.270641,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
669.0,Oxford Circus,City Of Westminster,,121364.0,103026.0,63185.0,136405.0,113894.0,65547.0,84.090585,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
741.0,Victoria,City Of Westminster,,121018.0,88605.0,69760.0,122783.0,91001.0,71565.0,79.35934,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
635.0,London Bridge,Southwark,,113606.0,78569.0,45408.0,107048.0,75800.0,42694.0,69.050668,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
634.0,Liverpool Street,City Of London,,112437.0,56259.0,42894.0,111688.0,60262.0,41470.0,67.740193,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
719.0,Stratford,Newham,,93742.0,93482.0,61629.0,86285.0,87548.0,57524.0,61.990418,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
513.0,Bank & Monument,City Of London,B+A,112547.0,29906.0,17414.0,111709.0,29100.0,16333.0,61.796153,2017 Entry & Exit,2017,0,1,1,0,1,1,0,1,0
852.0,Canary Wharf,Tower Hamlets,,86663.0,36234.0,25994.0,86803.0,37893.0,27770.0,50.913578,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
670.0,Paddington,City Of Westminster,,78992.0,48872.0,41733.0,76087.0,46671.0,36560.0,48.82251,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
574.0,Euston,Camden,,65497.0,52450.0,43900.0,64044.0,51259.0,39268.0,43.073653,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
728.0,Tottenham Court Road,City Of Westminster,,63871.0,54505.0,33720.0,62144.0,52619.0,32075.0,41.334148,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
674.0,Piccadilly Circus,City Of Westminster,,59266.0,66956.0,40514.0,56959.0,65289.0,36412.0,40.820299,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
590.0,Green Park,City Of Westminster,,58814.0,35126.0,25470.0,67897.0,42800.0,29244.0,39.338161,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
524.0,Bond Street,City Of Westminster,,61234.0,46690.0,28468.0,60124.0,45840.0,27253.0,38.802673,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
631.0,Leicester Square,City Of Westminster,,49948.0,71173.0,41846.0,47341.0,69316.0,39694.0,36.730405,2017 Entry & Exit,2017,0,1,1,1,1,1,1,1,0
