third_ac,arrival,from_station_code,train_name,zone,chair_car,first_class,duration_m,sleeper,from_station_name,train_number,departure,return_train,to_station_code,second_ac,classes,to_station_name,duration_h,service_type,first_ac,distance,geometry_type,num_route_coords,origin_lon,origin_lat,dest_lon,dest_lat,departure_min,arrival_min,route_distance_km,duration_hours_clean,avg_speed_kmh,train_type,num_classes,is_peak_departure,coord_invalid,speed_invalid,duration_m_outlier,route_distance_km_outlier,avg_speed_kmh_outlier,num_route_coords_outlier
0,12:15:00,JAT,Jammu Tawi Udhampur Special,NR,0,0,35.0,0,Jammu Tawi,04601,10:40:00,04602,UHP,0,,Udhampur,1.0,Demu,0,53.0,LineString,6,74.880117,32.706975,75.154881,32.92664,640.0,735.0,35.438523471055014,0.5833333333333334,60.75175452180859,Special,0,0,0,0,0,0,0,0
0,08:35:00,UHP,Udhampur Jammutawi Dmu,NR,0,0,50.0,0,Udhampur,04602,06:45:00,04601,JAT,0,,Jammu Tawi,1.0,Demu,0,53.0,LineString,6,75.154881,32.92664,74.880117,32.706975,405.0,515.0,35.438523471055014,0.8333333333333334,42.52622816526601,Other,0,0,0,0,0,0,0,0
0,17:50:00,JAT,Jat Udahmpur Dmu,NR,0,0,35.0,0,Jammu Tawi,04603,16:15:00,04604,UHP,0,,Udhampur,1.0,Demu,0,53.0,LineString,6,74.880117,32.706975,75.154881,32.92664,975.0,1070.0,35.438523471055014,0.5833333333333334,60.75175452180859,Other,0,0,0,0,0,0,0,0
0,19:50:00,UHP,Udhampur Jammutawi Dmu,NR,0,0,30.0,0,Udhampur,04604,18:20:00,04603,JAT,0,,Jammu Tawi,1.0,Demu,0,53.0,LineString,6,75.154881,32.92664,74.880117,32.706975,1100.0,1190.0,35.438523471055014,0.5,70.87704694211003,Other,0,1,0,0,0,0,0,0
1,12:30:00,BDTS,Mumbai Bandrat-Bikaner Sf Special,NWR,0,0,55.0,1,Mumbai Bandra Terminus,04728,14:35:00,04727,BKN,1,,Bikaner Jn,21.0,Sf,0,1212.0,LineString,185,72.840535,19.061911,73.31659800000001,28.014139,875.0,750.0,996.6208908901727,0.9166666666666666,1087.2227900620067,Special,3,0,0,1,0,0,0,0
0,00:25:00,SSA,Sirsa - Hisar Passenger Special,?,0,0,35.0,0,Sirsa,04741,22:50:00,04742,HSR,0,,Hisar,1.0,Pass,0,82.0,LineString,8,75.034944,29.539153,75.724305,29.152341,1370.0,25.0,79.46367944524846,0.5833333333333334,136.22345047756878,Passenger,0,0,0,0,0,0,0,0
0,06:10:00,HSR,Hisar - Sirsa Passenger Special,?,0,0,50.0,0,Hisar,04742,04:20:00,04741,SSA,0,,Sirsa,1.0,Pass,0,82.0,LineString,7,75.724305,29.152341,75.034944,29.539153,260.0,370.0,79.46367944524846,0.8333333333333334,95.35641533429815,Passenger,0,0,0,0,0,0,0,0
0,23:45:00,DNA,Rewari Degana Merta Special,NWR,0,0,15.0,0,Degana Jn,04853,22:30:00,04854,MTD,0,,Merta Road Jn,1.0,Pass,0,44.0,LineString,12,74.316388,26.897349,73.917896,26.728077000000003,1350.0,1425.0,43.79704798237327,0.25,175.1881919294931,Special,0,0,0,0,0,0,0,0
0,04:40:00,MTD,Degana Merta Special,NWR,0,0,0.0,0,Merta Road Jn,04854,03:40:00,04853,DNA,0,,Degana Jn,1.0,Pass,0,44.0,LineString,12,73.917896,26.728077000000003,74.316388,26.897349,220.0,280.0,43.79704798237327,0.0,,Special,0,0,0,0,0,0,0,0
1,17:50:00,JAT,Jammu Tawi - Bandra Terminus Ac Suvidha Special (Starts 5 April),WR,0,0,20.0,1,Jammu Tawi,09022,09:30:00,09021,BDTS,1,,Mumbai Bandra Terminus,32.0,Sf,1,1957.0,LineString,314,74.880117,32.706975,72.840535,19.061911,570.0,1070.0,1530.8095791916517,0.3333333333333333,4592.428737574955,Special,4,1,0,1,0,1,1,1
