trip_id,train_id,origin_station,destination_station,departure_time,arrival_time,trip_date,trip_duration_min,distance_km,average_speed_kmh
TRP_000001,TRN_096,Punjabi Bagh West,Ashram,20:52:00,21:20:00,2026-03-08,28,16.25,35.24
TRP_000002,TRN_177,Dabri Mor - Janakpuri South,Vasant Vihar,14:01:00,14:13:00,2026-03-22,12,7.5,37.48
TRP_000003,TRN_161,Dilli Haat - INA,Jafrabad,13:56:00,14:28:00,2026-03-08,32,21.25,40.33
TRP_000004,TRN_139,Vasant Vihar,Greater Kailash,10:00:00,10:14:00,2026-03-07,14,8.75,38.48
TRP_000005,TRN_112,Uttam Nagar,Tagore Garden,21:53:00,21:58:00,2026-03-28,5,3.75,41.65
TRP_000006,TRN_075,Chirag Delhi,Greater Kailash,12:26:00,12:28:00,2026-03-19,2,1.25,37.56
TRP_000007,TRN_013,Kashmere Gate,Sikanderpur,18:47:00,19:31:00,2026-03-21,44,27.5,37.81
TRP_000008,TRN_012,Dilshad Garden,Keshav Puram,14:27:00,14:53:00,2026-03-12,26,17.5,39.97
TRP_000009,TRN_056,Kalkaji Mandir,Sarai,08:44:00,09:01:00,2026-03-12,17,10.0,35.2
TRP_000010,TRN_116,Dwarka,Ramesh Nagar,13:50:00,14:12:00,2026-03-23,22,15.0,40.6
TRP_000011,TRN_055,Okhla NSIC,Sukhdev Vihar,22:45:00,22:47:00,2026-03-30,2,1.25,33.29
TRP_000012,TRN_087,Kashmere Gate,Pul Bangash,13:46:00,13:50:00,2026-03-26,4,2.5,35.13
TRP_000013,TRN_059,Kirti Nagar,Noida Sector 34,13:29:00,14:13:00,2026-03-18,44,28.75,39.02
TRP_000014,TRN_183,Central Secretariat,Millennium City Centre Gurugram,20:31:00,21:06:00,2026-03-15,35,23.75,40.37
TRP_000015,TRN_094,Chirag Delhi,Sukhdev Vihar,06:35:00,06:46:00,2026-03-06,11,6.25,32.65
TRP_000016,TRN_140,Karkarduma Court,Shiv Vihar,17:30:00,17:44:00,2026-03-29,14,8.75,38.5
TRP_000017,TRN_111,Dwarka Mor,Noida Sector 34,08:46:00,10:09:00,2026-03-12,83,45.0,32.64
TRP_000018,TRN_171,Dilshad Garden,Pratap Nagar,06:45:00,07:07:00,2026-03-29,22,12.5,34.52
TRP_000019,TRN_162,Badkhal Mor,Escorts Mujesar,18:13:00,18:21:00,2026-03-05,8,5.0,39.04
TRP_000020,TRN_063,Greater Kailash,Jasola Vihar Shaheen Bagh,15:21:00,15:36:00,2026-03-23,15,8.75,35.1
TRP_000021,TRN_028,Janakpuri East,Mayur Vihar-I,19:09:00,19:50:00,2026-03-17,41,27.5,39.98
TRP_000022,TRN_072,Jor Bagh,MG Road,07:45:00,08:11:00,2026-03-20,26,17.5,40.63
