station_name,station_code,capacity,recorded_at,passenger_count,inflow_rate,outflow_rate,hour_of_day,day_of_week,month,is_holiday,is_special_event,weather,weather_code,lag_passenger_count
Central Hub,HUB,5000,2026-01-22 14:06:49,2972,181,160,14,3,1,0,1,Clear,0,500
Central Hub,HUB,5000,2026-01-22 15:06:49,2279,209,226,15,3,1,0,0,Rainy,1,2972
Central Hub,HUB,5000,2026-01-22 16:06:49,1854,116,132,16,3,1,0,0,Clear,0,2279
Central Hub,HUB,5000,2026-01-22 17:06:49,3618,590,363,17,3,1,0,0,Clear,0,1854
Central Hub,HUB,5000,2026-01-22 18:06:49,4792,750,536,18,3,1,0,1,Clear,0,3618
Central Hub,HUB,5000,2026-01-22 19:06:49,3939,551,456,19,3,1,0,0,Rainy,1,4792
Central Hub,HUB,5000,2026-01-22 20:06:49,780,48,42,20,3,1,0,0,Clear,0,3939
Central Hub,HUB,5000,2026-01-22 21:06:49,621,73,66,21,3,1,0,0,Snowy,2,780
Central Hub,HUB,5000,2026-01-22 22:06:49,822,66,48,22,3,1,0,0,Clear,0,621
Central Hub,HUB,5000,2026-01-22 23:06:49,1841,96,209,23,3,1,0,1,Clear,0,822
Central Hub,HUB,5000,2026-01-23 00:06:49,433,37,38,0,4,1,0,0,Clear,0,1841
Central Hub,HUB,5000,2026-01-23 01:06:49,1022,120,106,1,4,1,0,0,Clear,0,433
Central Hub,HUB,5000,2026-01-23 02:06:49,804,92,45,2,4,1,0,0,Snowy,2,1022
Central Hub,HUB,5000,2026-01-23 03:06:49,970,51,70,3,4,1,0,0,Clear,0,804
Central Hub,HUB,5000,2026-01-23 04:06:49,943,70,65,4,4,1,0,0,Clear,0,970
Central Hub,HUB,5000,2026-01-23 05:06:49,615,36,65,5,4,1,0,0,Clear,0,943
Central Hub,HUB,5000,2026-01-23 06:06:49,895,90,93,6,4,1,0,0,Clear,0,615
Central Hub,HUB,5000,2026-01-23 07:06:49,971,72,56,7,4,1,0,0,Clear,0,895
Central Hub,HUB,5000,2026-01-23 08:06:49,3747,473,381,8,4,1,0,0,Rainy,1,971
Central Hub,HUB,5000,2026-01-23 09:06:49,4024,776,501,9,4,1,0,0,Clear,0,3747
Central Hub,HUB,5000,2026-01-23 10:06:49,3865,739,515,10,4,1,0,0,Rainy,1,4024
Central Hub,HUB,5000,2026-01-23 11:06:49,1981,205,167,11,4,1,0,0,Clear,0,3865
