Station ID,Station Name,Distance from Start (km),Line,Opening Date,Station Layout,Latitude,Longitude,Opening Year
1,Jhil Mil,10.3,Red line,2008-04-06,Elevated,28.67579,77.31239,2008
2,Welcome [Conn: Red],46.8,Pink line,2018-10-31,Elevated,28.6718,77.27756,2018
3,DLF Phase 3,10.0,Rapid Metro,2013-11-14,Elevated,28.4936,77.0935,2013
4,Okhla NSIC,23.8,Magenta line,2017-12-25,Elevated,28.5544828,77.2648487,2017
5,Dwarka Mor,10.2,Blue line,2005-12-30,Elevated,28.61932,77.03326,2005
6,Dilli Haat INA [Conn: Yellow],24.9,Pink line,2018-06-08,Underground,28.57440755,77.21024148,2018
7,Noida Sector 143,11.5,Aqua line,2019-01-25,Elevated,28.50266325,77.42625566,2019
8,Moolchand,15.1,Voilet line,2010-03-10,Elevated,28.56417,77.23423,2010
9,Chawri Bazar,15.3,Yellow line,2005-03-07,Underground,28.64931,77.22637,2005
10,Maya Puri,12.8,Pink line,2018-03-14,Elevated,28.6371795,77.1297333,2018
11,Central Secretariat [Conn: Violet],19.4,Yellow line,2005-03-07,Underground,28.61474,77.21191,2005
12,Noida Sector 146,15.8,Aqua line,2019-01-25,Elevated,28.4082289,76.963024,2019
13,Tikri Border,20.2,Green line,2018-06-24,Elevated,28.6880254,76.9640828,2018
14,Jangpura,12.9,Voilet line,2010-03-10,Underground,28.5843,77.23766,2010
15,Major Mohit Sharma,5.7,Red line,2019-08-03,Elevated,28.6776112,77.3581426,2019
16,Majlis Park,0.0,Pink line,2018-03-14,Elevated,28.7244312,77.181964,2018
17,Bhikaji Cama Place,22.6,Pink line,2018-06-08,Underground,28.56790025,77.18701648,2018
18,Mundka Industrial Area (MIA),15.0,Green line,2018-06-24,Elevated,28.6834491,77.0171333,2018
19,Belvedere Towers,8.0,Rapid Metro,2013-11-14,Elevated,28.4936,77.0935,2013
20,Adarsh Nagar,4.7,Yellow line,2009-04-02,Elevated,28.71642,77.17046,2009
21,Noida City Center,47.2,Blue line,2009-12-11,Elevated,28.57466,77.35608,2009
22,Arjan Garh,38.6,Yellow line,2010-06-21,Elevated,28.48076,77.12583,2010
23,Dwarka Sector 9,2.7,Blue line,2006-01-04,Elevated,28.57487,77.06454,2006
24,Azadpur [Conn: Yellow],2.1,Pink line,2018-03-14,Underground,28.7076568,77.1755473,2018
25,Qutab Minar,31.7,Yellow line,2010-06-21,Elevated,28.51302,77.18648,2010
26,R K Ashram Marg,28.9,Blue line,2005-12-30,Elevated,28.63923,77.2084,2005
27,Uttam Nagar West,12.4,Blue line,2005-12-30,Elevated,28.62481,77.0653,2005
28,Dwarka [Conn: Blue],0.0,Gray line,2019-04-10,Elevated,28.5771915,77.0442935,2019
29,Delta 1 Greater Noida,24.9,Aqua line,2019-01-25,Elevated,28.474388,77.50399,2019
30,Golf Course,45.9,Blue line,2009-12-11,Elevated,28.56714,77.34598,2009
31,Shiv Vihar,52.6,Pink line,2018-10-31,Elevated,28.61753755,77.03543017,2018
32,Kashmere Gate [Conn: Yellow],0.0,Voilet line,2017-05-28,Underground,28.6675,77.22817,2017
33,Jawaharlal Nehru Stadium,12.0,Voilet line,2010-03-10,Underground,28.5904,77.23326,2010
34,Patel Chowk,18.5,Yellow line,2005-03-07,Underground,28.62295,77.21389,2005
35,Janak Puri West [Conn: Magenta],14.7,Blue line,2005-12-30,Elevated,28.62943,77.07767,2005
36,Kalkaji Mandir [Conn: Violet],23.0,Magenta line,2017-12-25,Underground,28.5497752,77.2606671,2017
37,Dwarka Sector 21(First station) [Conn: Orange],0.0,Blue line,2010-10-30,Underground,28.55226,77.05828,2010
38,Subhash Nagar,17.6,Blue line,2005-12-30,Elevated,28.64039,77.10495,2005
39,Tughlakabad,25.2,Voilet line,2011-01-14,Elevated,28.50254,77.2993,2011
40,Old Faridabad,35.4,Voilet line,2015-06-09,Elevated,28.4808629,77.0848883,2015
41,Rohini Sector 18-19,0.8,Yellow line,2015-10-11,Elevated,28.7383477,77.1398323,2015
42,Keshav Puram,26.2,Red line,2004-03-31,Elevated,28.68894,77.1616,2004
43,Kohat Enclave,28.6,Red line,2004-03-31,Elevated,28.6981,77.14024,2004
44,Paschim Vihar (West),6.7,Green line,2010-02-04,Elevated,28.67855,77.10227,2010
45,Dwarka Sector 14,7.6,Blue line,2006-01-04,Elevated,28.60223,77.02588,2006
46,IIT Delhi,16.3,Magenta line,2018-05-29,Underground,28.544788,77.18987,2018
47,Rajouri Garden [Conn: Blue],11.3,Pink line,2018-03-14,Elevated,28.6421518,77.11606038,2018
48,Karkarduma Court,44.0,Pink line,2018-10-31,Elevated,28.6536001,77.2957877,2018
49,Rajendra Place,25.7,Blue line,2005-12-30,Elevated,28.6425,77.17815,2005
50,Hauz Khas [Conn: Yellow],17.5,Magenta line,2018-05-29,Underground,28.5442564,77.2067072,2018
51,Noida Sector 137,8.9,Aqua line,2019-01-25,Elevated,28.5090789,77.409015,2019
52,Okhla,20.0,Voilet line,2010-03-10,Elevated,28.54292,77.27504,2010
53,Jhandewalan,27.9,Blue line,2005-12-30,Elevated,28.64427,77.19988,2005
54,Raj Bagh,6.9,Red line,2019-08-03,Elevated,28.6408602,77.2094999,2019
55,Inderlok Conn:Red,0.0,Green line,2010-02-04,Elevated,28.67319,77.16994,2010
56,Noida Sector 51 [Conn: Blue],0.0,Aqua line,2019-01-25,Elevated,28.5857,77.3753,2019
57,Pari Chowk Greater Noida,22.5,Aqua line,2019-01-25,Elevated,28.4631285,77.50809851,2019
58,Noida Sector 148,18.9,Aqua line,2019-01-25,Elevated,28.4758348,77.55447875,2019
